,locusId,type,scaffoldId,begin,end,length,strand,desc,GC,nTA,pval_raw_rep1,pval_corrected_rep1,n_inserts_rep1,pval_raw_rep2,pval_corrected_rep2,n_inserts_rep2,essentiality
11,HNEAP_RS00070,1,NC_013422.1,14569,15519,950,-,IS110 family transposase,0.5741,13,1,2408,90,1,2408,87,nonessential
12,HNEAP_RS00075,1,NC_013422.1,16642,17178,536,-,prepilin-type cleavage/methylation domain-containing protein,0.5047,11,0.204680075,492.8696195,17,0.177637839,427.7519156,16,nonessential
13,HNEAP_RS00080,1,NC_013422.1,17753,18331,578,+,Tfp pilus assembly protein FimT-like protein,0.5268,23,0.99999985,2407.99964,50,0.99999076,2407.977751,44,nonessential
14,HNEAP_RS00085,1,NC_013422.1,18315,18794,479,+,type IV pilus modification protein PilV,0.5792,12,0.930573897,2240.821945,25,0.882880208,2125.97554,23,nonessential
15,HNEAP_RS00090,1,NC_013422.1,18791,19822,1031,+,prepilin-type cleavage/methylation domain-containing protein,0.5407,35,0.999920331,2407.808158,66,0.997974284,2403.122075,58,nonessential
16,HNEAP_RS00095,1,NC_013422.1,19825,20643,818,+,hypothetical protein,0.5495,15,0.513482866,1236.46674,32,0.511979595,1232.846866,31,nonessential
17,HNEAP_RS00100,1,NC_013422.1,20656,24519,3863,+,type 4 fimbrial biogenesis protein PilY1,0.5005,173,1,2408,274,1,2408,262,nonessential
18,HNEAP_RS00105,1,NC_013422.1,24658,25152,494,+,PilE protein,0.5394,19,0.999999873,2407.999694,45,0.999999947,2407.999871,45,nonessential
19,HNEAP_RS00110,1,NC_013422.1,25490,26074,584,+,pilus assembly protein,0.5556,9,0.997631103,2402.295697,37,0.998590222,2404.605255,37,nonessential
20,HNEAP_RS00115,1,NC_013422.1,26258,26629,371,+,DUF559 domain-containing protein,0.4946,11,0.075162279,180.9907676,9,0.050725101,122.1460428,8,nonessential
21,HNEAP_RS00120,1,NC_013422.1,26886,29708,2822,-,excinuclease ABC subunit UvrA,0.5912,48,0.820826639,1976.550546,121,0.687132574,1654.615238,113,nonessential
22,HNEAP_RS00125,1,NC_013422.1,29824,30381,557,+,single-stranded DNA-binding protein,0.5914,11,4.28E-05,0.10310883,6,1.83E-05,0.044139982,5,ambiguous
23,HNEAP_RS00130,1,NC_013422.1,30592,32391,1799,-,gamma-glutamyltransferase,0.5767,34,1,2408,136,1,2408,131,nonessential
24,HNEAP_RS00135,1,NC_013422.1,32408,33346,938,-,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,0.5634,27,0.999971969,2407.932501,63,0.999930366,2407.832322,60,nonessential
25,HNEAP_RS00140,1,NC_013422.1,33737,34285,548,+,metallophosphoesterase,0.5974,8,0.995454292,2397.053935,34,0.998429695,2404.218704,35,nonessential
26,HNEAP_RS00145,1,NC_013422.1,34356,35618,1262,+,ketohexokinase,0.5764,22,0.999997353,2407.993625,84,0.999956733,2407.895812,77,nonessential
27,HNEAP_RS00150,1,NC_013422.1,35755,38121,2366,+,GGDEF domain-containing protein,0.5758,27,0.999992155,2407.98111,137,0.999989936,2407.975766,133,nonessential
28,HNEAP_RS00155,1,NC_013422.1,38154,38462,308,+,BolA family transcriptional regulator,0.5793,4,0.832070565,2003.62592,15,0.858938173,2068.323121,15,nonessential
29,HNEAP_RS00160,1,NC_013422.1,38491,39528,1037,+,HDOD domain-containing protein,0.5694,17,0.468028633,1127.012949,40,0.547084982,1317.380636,40,nonessential
30,HNEAP_RS00165,1,NC_013422.1,39572,41770,2198,-,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,0.5789,30,5.67E-13,1.37E-09,30,1.20E-13,2.89E-10,27,essential
31,HNEAP_RS00170,1,NC_013422.1,41772,42095,323,-,DNA-directed RNA polymerase subunit omega,0.5772,3,0.055792998,134.34954,7,0.068376657,164.6509906,7,nonessential
32,HNEAP_RS00175,1,NC_013422.1,42146,42775,629,-,guanylate kinase,0.5794,9,8.65E-12,2.08E-08,0,1.89E-11,4.55E-08,0,essential
33,HNEAP_RS00180,1,NC_013422.1,42782,43396,614,-,DedA family protein,0.5707,11,0.894670505,2154.366576,30,0.846277397,2037.835972,28,nonessential
34,HNEAP_RS00185,1,NC_013422.1,43484,43954,470,-,glycine zipper 2TM domain-containing protein,0.6178,11,0.999963421,2407.911917,37,0.999980863,2407.953917,37,nonessential
35,HNEAP_RS00190,1,NC_013422.1,44187,44936,749,+,membrane protein,0.5427,18,3.65E-10,8.78E-07,3,8.43E-10,2.03E-06,3,essential
36,HNEAP_RS00195,1,NC_013422.1,44946,45716,770,-,exodeoxyribonuclease III,0.5551,17,0.506914847,1220.650952,30,0.574904921,1384.371049,30,nonessential
37,HNEAP_RS00200,1,NC_013422.1,46091,47482,1391,-,hypothetical protein,0.5338,27,0.726866782,1750.29521,59,0.714238711,1719.886817,57,nonessential
38,HNEAP_RS00205,1,NC_013422.1,48094,50388,2294,+,hypothetical protein,0.5712,60,1,2408,171,1,2408,170,nonessential
39,HNEAP_RS00210,1,NC_013422.1,50405,51196,791,-,TIGR01458 family HAD-type hydrolase,0.5934,13,0.999983489,2407.960241,56,0.999973308,2407.935726,54,nonessential
40,HNEAP_RS00215,1,NC_013422.1,51408,52196,788,-,competence/damage-inducible protein A,0.5805,10,0.999999563,2407.998949,61,0.999999659,2407.999179,60,nonessential
41,HNEAP_RS00220,1,NC_013422.1,52193,53305,1112,-,ferrochelatase,0.5732,27,4.10E-13,9.87E-10,6,1.79E-13,4.30E-10,5,essential
42,HNEAP_RS00225,1,NC_013422.1,53431,54390,959,+,thioredoxin-disulfide reductase,0.5594,13,1.36E-17,3.27E-14,0,4.47E-17,1.08E-13,0,essential
43,HNEAP_RS00230,1,NC_013422.1,54484,54804,320,+,hypothetical protein,0.6012,4,0.967867565,2330.625097,19,0.975559283,2349.146754,19,nonessential
44,HNEAP_RS00235,1,NC_013422.1,54801,55673,872,+,hypothetical protein,0.6174,14,0.999999917,2407.999799,68,0.999999942,2407.99986,67,nonessential
45,HNEAP_RS00240,1,NC_013422.1,55687,56304,617,-,5'-deoxynucleotidase,0.5485,12,0.275506747,663.4202473,21,0.253660791,610.8151841,20,nonessential
46,HNEAP_RS00245,1,NC_013422.1,56333,57763,1430,-,deoxyguanosinetriphosphate triphosphohydrolase,0.5947,16,0.996391349,2399.310368,77,0.996381604,2399.286901,75,nonessential
47,HNEAP_RS00250,1,NC_013422.1,57863,58720,857,+,NAD(P)-dependent oxidoreductase,0.6131,5,0.999993513,2407.98438,61,0.999994972,2407.987893,60,nonessential
48,HNEAP_RS00255,1,NC_013422.1,58846,60408,1562,+,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH,0.6065,19,3.37E-28,8.12E-25,0,2.34E-27,5.65E-24,0,essential
49,HNEAP_RS00260,1,NC_013422.1,60466,62061,1595,+,DNA recombination protein RmuC,0.5977,18,0.995462292,2397.073199,84,0.997025407,2400.837179,83,nonessential
50,HNEAP_RS00265,1,NC_013422.1,62045,62242,197,-,hypothetical protein,0.5101,0,0.202847183,488.4560169,5,0.227039094,546.7101377,5,nonessential
51,HNEAP_RS00270,1,NC_013422.1,62254,63108,854,-,metallophosphoesterase,0.5333,22,0.620260623,1493.587579,35,0.745634499,1795.487874,36,nonessential
52,HNEAP_RS00275,1,NC_013422.1,63522,63998,476,+,hypothetical protein,0.499,14,0.38439918,925.6332248,17,0.531383178,1279.570692,18,nonessential
53,HNEAP_RS00280,1,NC_013422.1,64169,64549,380,+,hypothetical protein,0.5249,9,0.559569289,1347.442847,15,0.60687901,1461.364656,15,nonessential
54,HNEAP_RS00285,1,NC_013422.1,64607,67444,2837,+,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,0.5648,41,0.68545319,1650.571282,117,0.555879621,1338.558127,110,nonessential
55,HNEAP_RS00290,1,NC_013422.1,67499,67957,458,+,hypothetical protein,0.5882,6,0.99424782,2394.14875,29,0.987954833,2378.995238,27,nonessential
56,HNEAP_RS00295,1,NC_013422.1,68056,68586,530,+,molecular chaperone Skp,0.5593,10,0.99999999,2407.999977,50,0.99999999,2407.999977,49,nonessential
57,HNEAP_RS00300,1,NC_013422.1,68944,69192,248,+,phosphopantetheine-binding protein,0.5141,4,0.346455548,834.2649593,8,0.382352846,920.705652,8,nonessential
58,HNEAP_RS00305,1,NC_013422.1,69189,70436,1247,+,3-oxoacyl-ACP synthase,0.625,16,1,2408,111,1,2408,109,nonessential
59,HNEAP_RS00310,1,NC_013422.1,70516,70800,284,+,acyl carrier protein,0.5123,3,0.660328914,1590.072026,12,0.698355883,1681.640967,12,nonessential
60,HNEAP_RS12050,1,NC_013422.1,70809,71507,698,+,membrane protein-like protein,0.5851,15,0.990721182,2385.656607,40,0.9942735,2394.210589,40,nonessential
61,HNEAP_RS00320,1,NC_013422.1,71516,73297,1781,+,AMP-dependent synthetase and ligase,0.5881,30,0.999999548,2407.998913,114,0.999999821,2407.99957,113,nonessential
62,HNEAP_RS00325,1,NC_013422.1,73294,74238,944,+,acyl-CoA synthetase,0.5831,15,0.963003295,2318.911935,48,0.96640266,2327.097606,47,nonessential
63,HNEAP_RS00330,1,NC_013422.1,74238,74837,599,+,outer membrane lipoprotein carrier protein LolA,0.5767,9,0.99998945,2407.974596,46,0.999977785,2407.946506,44,nonessential
64,HNEAP_RS00335,1,NC_013422.1,74834,77248,2414,+,MMPL domain-containing protein,0.5925,39,0.995205883,2396.455767,121,0.992189645,2389.192665,116,nonessential
65,HNEAP_RS00340,1,NC_013422.1,77245,77697,452,+,hypothetical protein,0.6004,5,0.999300932,2406.316643,32,0.999582691,2406.995121,32,nonessential
66,HNEAP_RS00345,1,NC_013422.1,78057,79043,986,+,2-hydroxyacid dehydrogenase,0.5755,20,0.974466396,2346.515081,51,0.984384485,2370.397839,51,nonessential
67,HNEAP_RS00350,1,NC_013422.1,79194,79484,290,+,PilZ domain-containing protein,0.6254,2,0.957329773,2305.250092,17,0.981909078,2364.437061,18,nonessential
68,HNEAP_RS00355,1,NC_013422.1,79586,80446,860,-,glutamate racemase,0.5877,17,0.780652736,1879.811789,38,0.831296816,2001.762734,38,nonessential
69,HNEAP_RS00360,1,NC_013422.1,80598,80861,263,-,Txe/YoeB family addiction module toxin,0.4848,7,0.177877635,428.3293441,7,0.203927541,491.0575194,7,nonessential
70,HNEAP_RS00365,1,NC_013422.1,80858,81100,242,-,prevent-host-death family protein,0.4691,7,0.151774255,365.472406,6,0.17420971,419.4969828,6,nonessential
71,HNEAP_RS00370,1,NC_013422.1,81093,81296,203,+,hypothetical protein,0.4755,11,0.992516039,2389.978622,15,0.99433623,2394.361641,15,nonessential
72,HNEAP_RS00375,1,NC_013422.1,81463,81732,269,-,hypothetical protein,0.5296,4,0.159994407,385.2665309,7,0.104675262,252.0580319,6,nonessential
73,HNEAP_RS00380,1,NC_013422.1,82067,82297,230,-,hypothetical protein,0.5022,6,0.989033421,2381.592478,16,0.991709917,2388.03748,16,nonessential
74,HNEAP_RS00385,1,NC_013422.1,82401,82835,434,-,hypothetical protein,0.4483,17,0.984369303,2370.361282,26,0.968407752,2331.925867,24,nonessential
75,HNEAP_RS00390,1,NC_013422.1,82918,83169,251,-,hypothetical protein,0.4841,11,0.33261491,800.9367036,8,0.368168541,886.5498467,8,nonessential
76,HNEAP_RS00395,1,NC_013422.1,83469,83678,209,-,hypothetical protein,0.5571,3,0.160267343,385.9237608,5,0.181741472,437.6334639,5,nonessential
77,HNEAP_RS00400,1,NC_013422.1,83787,83966,179,+,hypothetical protein,0.5833,1,0.582886786,1403.59138,7,0.61534312,1481.746234,7,nonessential
78,HNEAP_RS00405,1,NC_013422.1,84404,84736,332,-,hypothetical protein,0.3664,16,0.008569967,20.63647973,5,0.011202755,26.97623447,5,nonessential
79,HNEAP_RS00410,1,NC_013422.1,84810,85118,308,-,hypothetical protein,0.5372,10,0.433437201,1043.71678,11,0.358521706,863.3202675,10,nonessential
80,HNEAP_RS00415,1,NC_013422.1,85475,86020,545,-,yfeABCD locus regulator,0.4505,16,0.669344579,1611.781746,23,0.720568991,1735.130131,23,nonessential
81,HNEAP_RS00420,1,NC_013422.1,86050,86634,584,-,ATPase,0.5504,16,0.934924844,2251.299025,30,0.952543886,2293.725677,30,nonessential
82,HNEAP_RS00425,1,NC_013422.1,87553,87843,290,-,DUF1330 domain-containing protein,0.3746,13,0.00010303,0.248097035,1,1.14E-05,0.027388255,0,ambiguous
83,HNEAP_RS00430,1,NC_013422.1,87840,88211,371,-,VOC family protein,0.4194,16,2.98E-07,0.000718701,0,4.73E-07,0.001139274,0,essential
84,HNEAP_RS00435,1,NC_013422.1,88585,89196,611,-,cation transporter,0.4804,34,0.755240637,1818.619453,27,0.74093414,1784.169408,26,nonessential
85,HNEAP_RS00440,1,NC_013422.1,89303,89782,479,-,N-acetyltransferase,0.5375,14,7.82E-08,0.000188385,1,1.38E-07,0.00033132,1,essential
86,HNEAP_RS00445,1,NC_013422.1,90138,90461,323,-,hypothetical protein,0.4722,12,0.965103902,2323.970196,19,0.922927619,2222.409705,17,nonessential
87,HNEAP_RS12420,1,NC_013422.1,90867,91082,215,-,hypothetical protein,0.4444,5,0.76304702,1837.417224,10,0.791145059,1905.077302,10,nonessential
88,HNEAP_RS00450,1,NC_013422.1,91085,91495,410,-,mercury transporter MerC,0.4696,17,0.247797279,596.695849,13,0.287886471,693.2306232,13,nonessential
89,HNEAP_RS00455,1,NC_013422.1,91540,91896,356,-,hypothetical protein,0.5042,10,0.341690184,822.7899631,12,0.280999584,676.6469974,11,nonessential
90,HNEAP_RS00460,1,NC_013422.1,91913,92266,353,-,hypothetical protein,0.5395,11,0.985074633,2372.059717,22,0.965781053,2325.600775,20,nonessential
91,HNEAP_RS00465,1,NC_013422.1,92363,93529,1166,-,hypothetical protein,0.4053,49,0.581480081,1400.204035,47,0.605530295,1458.11695,46,nonessential
92,HNEAP_RS00470,1,NC_013422.1,93675,93935,260,+,integrase,0.5134,8,0.999206992,2406.090437,21,0.997134214,2401.099187,19,nonessential
93,GFF94,7,NC_013422.1,94056,94408,352,+,hypothetical protein,0.5354,11,0.995912985,2398.158468,24,0.998648752,2404.746194,25,nonessential
94,HNEAP_RS00480,1,NC_013422.1,94568,95170,602,+,class I SAM-dependent methyltransferase,0.5688,7,0.958804939,2308.802292,32,0.981493408,2363.436126,33,nonessential
95,HNEAP_RS00485,1,NC_013422.1,95561,98821,3260,-,SNF2-like protein,0.5747,55,1,2408,260,1,2408,252,nonessential
96,HNEAP_RS00490,1,NC_013422.1,99273,99587,314,+,ferrous iron transport protein A,0.5937,5,0.122009001,293.7976749,8,0.081601554,196.4965427,7,nonessential
97,HNEAP_RS00495,1,NC_013422.1,99584,99838,254,+,ferrous iron transport protein A,0.5725,3,0.002263132,5.449620765,2,0.002929115,7.05330997,2,nonessential
98,HNEAP_RS00500,1,NC_013422.1,99908,102244,2336,+,Fe(2+) transporter permease subunit FeoB,0.5627,41,1.27E-36,3.06E-33,3,2.10E-35,5.06E-32,3,essential
99,HNEAP_RS12055,1,NC_013422.1,102268,102612,344,+,hypothetical protein,0.5884,6,0.940659161,2265.10726,19,0.821723902,1978.711156,16,nonessential
100,HNEAP_RS00510,1,NC_013422.1,102736,103629,893,-,molecular chaperone DnaJ,0.5884,11,0.884880334,2130.791844,42,0.815232056,1963.078792,39,nonessential
101,HNEAP_RS00515,1,NC_013422.1,103831,103956,125,-,50S ribosomal protein L36,0.4683,3,0.443903112,1068.918693,4,0.471193506,1134.633963,4,nonessential
102,HNEAP_RS00520,5,NC_013422.1,104152,104227,75,-,tRNA-Phe,0.5526,2,0.196632872,473.4919558,1,0.210723436,507.4220333,1,nonessential
103,HNEAP_RS00525,1,NC_013422.1,104375,104971,596,+,imidazoleglycerol-phosphate dehydratase,0.5695,11,3.29E-11,7.93E-08,0,6.90E-11,1.66E-07,0,essential
104,HNEAP_RS00530,1,NC_013422.1,104974,105624,650,+,imidazole glycerol phosphate synthase subunit HisH,0.5822,14,3.70E-12,8.90E-09,0,8.29E-12,2.00E-08,0,essential
105,HNEAP_RS00535,1,NC_013422.1,105661,106416,755,+,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,0.5913,12,5.26E-14,1.27E-10,0,1.34E-13,3.24E-10,0,essential
106,HNEAP_RS00540,1,NC_013422.1,106496,107269,773,+,imidazole glycerol phosphate synthase subunit HisF,0.615,7,8.36E-13,2.01E-09,1,2.12E-12,5.10E-09,1,essential
107,HNEAP_RS00545,1,NC_013422.1,107266,107676,410,+,phosphoribosyl-AMP cyclohydrolase,0.5693,7,6.15E-08,0.000148122,0,1.02E-07,0.000246452,0,essential
108,HNEAP_RS00550,1,NC_013422.1,107663,108037,374,+,phosphoribosyl-ATP diphosphatase,0.5733,6,3.58E-05,0.086304565,2,6.72E-06,0.016176591,1,ambiguous
109,HNEAP_RS00555,1,NC_013422.1,108062,108343,281,+,twin-arginine translocase subunit TatA,0.5355,3,1.14E-05,0.027507972,0,1.62E-05,0.038994352,0,essential
110,HNEAP_RS12060,1,NC_013422.1,108390,109016,626,+,twin-arginine translocase subunit TatB,0.5598,6,1.14E-06,0.002748012,5,4.09E-07,0.000984716,4,essential
111,HNEAP_RS00565,1,NC_013422.1,109082,110113,1031,+,twin-arginine translocase subunit TatC,0.5601,23,1.11E-13,2.66E-10,4,2.97E-12,7.15E-09,5,essential
112,HNEAP_RS00570,1,NC_013422.1,110181,111722,1541,+,2 3-bisphosphoglycerate-independent phosphoglycerate mutase,0.5927,24,7.89E-28,1.90E-24,0,5.35E-27,1.29E-23,0,essential
113,HNEAP_RS00575,1,NC_013422.1,111734,112534,800,-,iron export ABC transporter permease subunit FetB,0.5955,12,0.284221591,684.4055916,28,0.278383729,670.3480188,27,nonessential
114,HNEAP_RS00580,1,NC_013422.1,112531,113148,617,-,ABC transporter,0.5437,10,0.208247739,501.4605544,20,0.188414465,453.7020314,19,nonessential
115,HNEAP_RS00585,1,NC_013422.1,113272,114618,1346,-,hypothetical protein,0.5828,22,0.764204534,1840.204518,58,0.704684332,1696.879872,55,nonessential
116,HNEAP_RS00590,1,NC_013422.1,114766,116844,2078,+,DNA helicase RecG,0.6013,21,1,2408,171,1,2408,168,nonessential
117,HNEAP_RS00595,1,NC_013422.1,117014,117433,419,+,Hsp20/alpha crystallin family protein,0.5571,5,0.951344838,2290.838369,23,0.941359887,2266.794608,22,nonessential
118,HNEAP_RS12065,1,NC_013422.1,117857,118837,980,+,AraC family transcriptional regulator,0.6483,14,0.999518413,2406.840338,60,0.999620022,2407.085013,59,nonessential
119,HNEAP_RS00605,1,NC_013422.1,118927,120123,1196,+,OmpA family protein,0.6708,10,0.99998012,2407.952128,77,0.999892233,2407.740496,72,nonessential
120,HNEAP_RS00610,1,NC_013422.1,120120,121379,1259,+,hypothetical protein,0.7175,6,0.999995704,2407.989655,83,0.999986333,2407.967089,79,nonessential
121,HNEAP_RS00615,1,NC_013422.1,121407,121916,509,+,hypothetical protein,0.5529,9,0.83625619,2013.704906,24,0.818003042,1969.751324,23,nonessential
122,HNEAP_RS00620,1,NC_013422.1,121913,122284,371,+,hypothetical protein,0.6075,6,0.958014655,2306.899288,21,0.915557487,2204.662429,19,nonessential
123,HNEAP_RS12070,1,NC_013422.1,122315,123301,986,+,AraC family transcriptional regulator,0.5633,20,0.999999885,2407.999723,74,0.999999927,2407.999824,73,nonessential
124,HNEAP_RS12075,1,NC_013422.1,123488,126406,2918,+,outer membrane autotransporter barrel domain-containing protein,0.5725,68,1,2408,188,1,2408,190,nonessential
125,HNEAP_RS00635,1,NC_013422.1,126577,127962,1385,-,diguanylate cyclase,0.6075,17,0.999811782,2407.54677,82,0.999539656,2406.891492,78,nonessential
126,HNEAP_RS00640,1,NC_013422.1,127966,128337,371,-,response regulator,0.5806,2,0.998967754,2405.514351,27,0.997222579,2401.311971,25,nonessential
127,HNEAP_RS00645,1,NC_013422.1,128341,130917,2576,-,sensor histidine kinase,0.5813,35,0.999664668,2407.19252,137,0.999247996,2406.189173,131,nonessential
128,HNEAP_RS00650,1,NC_013422.1,131115,131918,803,+,serine/threonine-protein phosphatase,0.5908,11,0.999952643,2407.885965,55,0.999960045,2407.903789,54,nonessential
129,HNEAP_RS00655,1,NC_013422.1,131937,133043,1106,+,magnesium and cobalt transport protein CorA,0.5402,25,0.999975668,2407.941409,72,0.999971146,2407.93052,70,nonessential
130,HNEAP_RS00660,1,NC_013422.1,133150,134403,1253,+,glycosyltransferase family 1 protein,0.5789,28,1,2408,112,1,2408,108,nonessential
131,HNEAP_RS00665,1,NC_013422.1,134342,134968,626,+,phosphatase PAP2 family protein,0.5694,11,0.999999976,2407.999942,55,0.999999707,2407.999295,51,nonessential
132,HNEAP_RS00670,1,NC_013422.1,135220,136077,857,+,general secretion pathway protein GspC,0.5967,12,0.999996673,2407.99199,62,0.999997458,2407.993879,61,nonessential
133,HNEAP_RS00675,1,NC_013422.1,136074,138251,2177,+,type II secretion system protein GspD,0.5822,38,0.999999267,2407.998234,133,0.999998938,2407.997442,129,nonessential
134,HNEAP_RS00680,1,NC_013422.1,138262,139770,1508,+,type II secretion system protein GspE,0.611,20,1,2407.999999,111,1,2407.999999,109,nonessential
135,HNEAP_RS00685,1,NC_013422.1,139777,141000,1223,+,type II secretion system protein GspF,0.5915,18,0.674309702,1623.737761,51,0.792151691,1907.501273,52,nonessential
136,HNEAP_RS00690,1,NC_013422.1,141003,141503,500,+,type II secretion system protein GspG,0.5669,10,0.010551605,25.40826453,10,0.014637445,35.24696775,10,nonessential
137,HNEAP_RS12080,1,NC_013422.1,141512,142153,641,+,prepilin-type cleavage/methylation domain-containing protein,0.5685,16,0.84701303,2039.607377,30,0.882004614,2123.86711,30,nonessential
138,HNEAP_RS12085,1,NC_013422.1,142153,142545,392,+,type II secretion system protein GspI,0.5878,10,0.999977513,2407.945851,33,0.999931204,2407.83434,31,nonessential
139,HNEAP_RS00705,1,NC_013422.1,142542,143303,761,+,type II secretion system protein GspJ,0.5945,6,0.143658662,345.9300577,24,0.065681039,158.1599412,21,nonessential
140,HNEAP_RS00710,1,NC_013422.1,143300,144247,947,+,general secretion pathway protein GspK,0.5897,20,0.90343152,2175.4631,45,0.950965215,2289.924239,46,nonessential
141,HNEAP_RS00715,1,NC_013422.1,144220,145470,1250,+,type II secretory pathway component PulL-like protein,0.5947,16,0.999999999,2407.999997,95,0.999999989,2407.999973,90,nonessential
142,HNEAP_RS00720,1,NC_013422.1,145507,146025,518,+,type II secretion system protein M,0.5896,5,0.996628583,2399.881628,33,0.993300384,2391.867324,31,nonessential
143,HNEAP_RS00725,1,NC_013422.1,146022,146858,836,+,type II secretion system protein N,0.5866,17,0.999988585,2407.972513,59,0.999937962,2407.850612,55,nonessential
144,HNEAP_RS00730,1,NC_013422.1,147180,147905,725,+,DUF4395 domain-containing protein,0.5441,18,0.817373159,1968.234567,33,0.859063441,2068.624767,33,nonessential
145,HNEAP_RS00735,1,NC_013422.1,148001,149407,1406,-,hypothetical protein,0.5245,46,0.196065125,472.1248219,49,0.179997385,433.4337028,47,nonessential
146,HNEAP_RS00740,1,NC_013422.1,150296,152344,2048,+,BCCT family transporter,0.5476,39,0.999999999,2407.999998,139,0.999999995,2407.999989,133,nonessential
147,HNEAP_RS00745,1,NC_013422.1,152452,153762,1310,+,MFS transporter,0.5873,26,0.369390031,889.4911937,49,0.512905287,1235.075931,50,nonessential
148,HNEAP_RS00750,1,NC_013422.1,153774,155000,1226,-,MFS transporter,0.577,15,0.441377902,1062.837989,47,0.409016094,984.9107548,45,nonessential
149,HNEAP_RS12090,1,NC_013422.1,155248,156309,1061,+,peptidoglycan-binding lysin domain-containing protein-containing protein,0.548,17,0.926717437,2231.535588,51,0.913400366,2199.46808,49,nonessential
150,HNEAP_RS00760,1,NC_013422.1,156405,158078,1673,-,serine/threonine protein kinase,0.5639,35,0.99999901,2407.997615,107,0.999999261,2407.99822,105,nonessential
151,HNEAP_RS00765,1,NC_013422.1,158292,158810,518,-,phosphopeptide-binding protein,0.5318,14,0.983189773,2367.520973,30,0.988553217,2380.436147,30,nonessential
152,HNEAP_RS00770,1,NC_013422.1,159004,159393,389,-,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,0.5436,6,0.713514474,1718.142854,17,0.668513754,1609.78112,16,nonessential
153,HNEAP_RS00775,1,NC_013422.1,159510,163034,3524,+,chromosome segregation protein SMC,0.6057,34,1,2408,246,1,2408,240,nonessential
154,HNEAP_RS00780,1,NC_013422.1,163039,164034,995,+,cell division protein ZipA,0.5703,11,3.93E-14,9.48E-11,3,1.23E-13,2.97E-10,3,essential
155,HNEAP_RS00785,1,NC_013422.1,164040,166097,2057,+,NAD-dependent DNA ligase LigA,0.5982,33,1.51E-30,3.64E-27,4,1.71E-29,4.12E-26,4,essential
156,HNEAP_RS00790,1,NC_013422.1,166155,167123,968,+,octaprenyl diphosphate synthase,0.6109,15,9.44E-18,2.27E-14,0,3.14E-17,7.56E-14,0,essential
157,HNEAP_RS00795,5,NC_013422.1,167157,167233,76,+,tRNA-Pro,0.5714,5,0.918538902,2211.841675,5,0.927303312,2232.946375,5,nonessential
158,HNEAP_RS00800,1,NC_013422.1,167318,167785,467,-,Lrp/AsnC family transcriptional regulator,0.5513,10,0.978372769,2355.921628,27,0.974629801,2346.908561,26,nonessential
159,GFF160,7,NC_013422.1,168060,169853,1793,+,2-isopropylmalate synthase,0.5541,35,0.999998954,2407.997481,113,0.999997962,2407.995093,109,nonessential
