,locusId,desc,HighCO2_log2AbundanceChange_rep1,LowCO2_log2AbundanceChange_rep1,HighCO2Log_log2AbundanceChange_rep2,LowCO2_log2AbundanceChange_rep2,High CO2 Requiring
69,HNEAP_RS00250,NAD(P)-dependent oxidoreductase,-0.023543564,-0.030104626,-0.028975287,-0.029834454,FALSE
70,HNEAP_RS00260,DNA recombination protein RmuC,-0.178453634,-0.201271117,-0.095824029,-0.174369683,FALSE
71,HNEAP_RS00265,hypothetical protein,-0.076172855,-0.297821303,-0.525768128,-0.797849374,FALSE
72,HNEAP_RS00270,metallophosphoesterase,-0.687327261,-0.811756986,-0.844118047,-0.915312133,FALSE
73,HNEAP_RS00275,hypothetical protein,0.218598065,-0.078885744,-0.017585365,-0.14456225,FALSE
74,HNEAP_RS00280,hypothetical protein,-0.443748163,-0.176176826,-0.081992687,0.239129128,FALSE
75,HNEAP_RS00285,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,-0.564334135,-0.789904273,-0.647531042,-0.810681273,FALSE
76,HNEAP_RS00290,hypothetical protein,-0.104455098,-0.138727294,-0.072465122,-0.085400417,FALSE
77,HNEAP_RS00295,molecular chaperone Skp,-0.23912801,-0.102734946,-0.058637606,-0.044966165,FALSE
78,HNEAP_RS00300,phosphopantetheine-binding protein,0.060330026,0.073944795,-0.08751079,-0.106743267,FALSE
79,HNEAP_RS00305,3-oxoacyl-ACP synthase,-0.138886403,-0.078261294,-0.030867772,-0.003711331,FALSE
80,HNEAP_RS00310,acyl carrier protein,0.309851743,0.808822219,-0.052554761,-0.164781116,FALSE
81,HNEAP_RS00320,AMP-dependent synthetase and ligase,-0.157383633,-0.131766954,-0.038526302,-0.015567399,FALSE
82,HNEAP_RS00325,acyl-CoA synthetase,-0.141883603,0.004049226,-0.051696126,-0.369506134,FALSE
83,HNEAP_RS00330,outer membrane lipoprotein carrier protein LolA,-0.11699024,-0.027213034,-0.090746626,-0.13865454,FALSE
84,HNEAP_RS00335,MMPL domain-containing protein,-0.021474672,-0.019142777,-0.062776307,-0.127495228,FALSE
85,HNEAP_RS00340,hypothetical protein,-0.077416728,-0.189796516,0.10304253,-0.133950808,FALSE
86,HNEAP_RS00345,2-hydroxyacid dehydrogenase,-0.20786412,-0.134565932,-0.144542267,-0.106656467,FALSE
87,HNEAP_RS00350,PilZ domain-containing protein,-0.145540456,0.031318473,-0.041556602,0.098946151,FALSE
88,HNEAP_RS00355,glutamate racemase,-0.030021752,0.002845814,0.004705973,-0.042536291,FALSE
89,HNEAP_RS00360,Txe/YoeB family addiction module toxin,-0.192744342,0.028743648,-0.106142152,0.039204548,FALSE
90,HNEAP_RS00365,prevent-host-death family protein,-0.290245641,-0.152699948,0.571942072,-0.286818883,FALSE
91,HNEAP_RS00370,hypothetical protein,0.045033807,-0.020292861,-0.032235336,0.082183241,FALSE
92,HNEAP_RS00380,hypothetical protein,-0.154022303,0.02901806,0.038426777,-0.02020022,FALSE
93,HNEAP_RS00385,hypothetical protein,0.056624715,-0.082689863,-0.159333565,-0.064571858,FALSE
94,HNEAP_RS00390,hypothetical protein,-0.187290999,-0.125247217,-0.251834246,-0.092676509,FALSE
95,HNEAP_RS00395,hypothetical protein,-0.243667654,-0.087538462,0.067298293,0.035801032,FALSE
96,HNEAP_RS00400,hypothetical protein,0.413180225,-0.155134917,0.262497307,0.179084103,FALSE
97,HNEAP_RS00405,hypothetical protein,0.116510919,-0.368557486,-0.144708767,-0.323594084,FALSE
98,HNEAP_RS00410,hypothetical protein,-0.238137179,0.076504222,-0.094210537,-0.072816572,FALSE
99,HNEAP_RS00415,yfeABCD locus regulator,-0.056854547,-0.158017049,0.056691164,-0.064639061,FALSE
100,HNEAP_RS00420,ATPase,-0.215661341,-0.043719513,-0.016359708,-0.191011148,FALSE
101,HNEAP_RS00435,cation transporter,0.102671661,0.008836387,0.237967066,0.159024114,FALSE
102,HNEAP_RS00445,hypothetical protein,-0.045104048,0.097671225,-0.180989655,-0.174959219,FALSE
103,HNEAP_RS00450,mercury transporter MerC,0.092467709,0.049832571,-0.18182187,0.107996573,FALSE
104,HNEAP_RS00455,hypothetical protein,0.222235884,0.147918526,0.061443926,0.027075829,FALSE
105,HNEAP_RS00460,hypothetical protein,-0.419793789,-0.230644033,-0.29960767,0.085328918,FALSE
106,HNEAP_RS00465,hypothetical protein,-0.199037978,-0.083871326,-0.017717771,-0.070496304,FALSE
107,HNEAP_RS00470,integrase,0.019287296,0.139291985,-0.113099074,0.102015102,FALSE
108,HNEAP_RS00480,class I SAM-dependent methyltransferase,-0.183478404,-0.062952513,-0.022099352,-0.122414784,FALSE
109,HNEAP_RS00485,SNF2-like protein,-0.070168373,-0.095293029,-0.048704914,-0.090326762,FALSE
110,HNEAP_RS00490,ferrous iron transport protein A,-0.429884374,-0.212534111,0.034753216,0.009665253,FALSE
111,HNEAP_RS00510,molecular chaperone DnaJ,-0.033047416,-0.051916105,-0.231612603,-0.061657486,FALSE
112,HNEAP_RS00565,twin-arginine translocase subunit TatC,-0.303963198,-0.317772407,-0.415721028,-0.248945815,FALSE
113,HNEAP_RS00575,iron export ABC transporter permease subunit FetB,-0.355775593,-0.340967366,-0.301276142,-0.167723683,FALSE
114,HNEAP_RS00580,ABC transporter,-0.483056437,-0.217863162,-0.58757156,-0.329088792,FALSE
115,HNEAP_RS00585,hypothetical protein,-0.296220519,-0.246181614,-0.259084825,-0.211715787,FALSE
116,HNEAP_RS00590,DNA helicase RecG,-0.37840414,-0.43266458,-0.266298037,-0.418385157,FALSE
117,HNEAP_RS00595,Hsp20/alpha crystallin family protein,-0.09558153,-0.002392992,0.243815123,0.053523528,FALSE
118,HNEAP_RS00605,OmpA family protein,-0.175199108,-0.13786068,-0.009005884,0.023909302,FALSE
119,HNEAP_RS00610,hypothetical protein,-0.04767339,-0.062993426,0.002997908,-0.016487083,FALSE
120,HNEAP_RS00615,hypothetical protein,0.000735708,-0.025633734,0.10808187,-0.178288973,FALSE
121,HNEAP_RS00620,hypothetical protein,-0.007701669,0.070641755,-0.050262626,0.119487557,FALSE
122,HNEAP_RS00635,diguanylate cyclase,0.041196703,0.008228771,-0.228402969,-0.139395768,FALSE
123,HNEAP_RS00640,response regulator,-0.277446728,-0.065896899,-0.06976468,-0.268766293,FALSE
124,HNEAP_RS00645,sensor histidine kinase,-0.0119171,0.008107074,-0.075866348,-0.175074197,FALSE
125,HNEAP_RS00650,serine/threonine-protein phosphatase,-0.142537922,-0.188139,-0.086488897,-0.068434233,FALSE
126,HNEAP_RS00655,magnesium and cobalt transport protein CorA,-0.277910134,-0.204067789,-0.184291785,-0.093367217,FALSE
127,HNEAP_RS00660,glycosyltransferase family 1 protein,-0.011357089,-0.004451885,-0.047158609,-0.119797636,FALSE
128,HNEAP_RS00665,phosphatase PAP2 family protein,-0.115024416,-0.049529108,-0.007135967,-0.013366375,FALSE
129,HNEAP_RS00670,general secretion pathway protein GspC,-0.046012914,-0.031842209,-0.136943216,-0.037162722,FALSE
130,HNEAP_RS00675,type II secretion system protein GspD,0.050197258,0.07280736,0.085316661,-0.004496388,FALSE
131,HNEAP_RS00680,type II secretion system protein GspE,-0.004068944,0.143138187,0.038978206,-0.033118691,FALSE
132,HNEAP_RS00685,type II secretion system protein GspF,0.044573734,-0.091683034,-0.029233797,-0.005384934,FALSE
133,HNEAP_RS00690,type II secretion system protein GspG,-0.084750381,-0.068154813,-0.029764609,0.143870421,FALSE
134,HNEAP_RS00705,type II secretion system protein GspJ,0.280726332,0.313970683,0.139368169,0.283120202,FALSE
135,HNEAP_RS00710,general secretion pathway protein GspK,0.007866444,0.027168705,0.12744778,0.090059303,FALSE
136,HNEAP_RS00715,type II secretory pathway component PulL-like protein,-0.059703592,0.043571841,-0.016295032,-0.018517926,FALSE
137,HNEAP_RS00720,type II secretion system protein M,-0.084153983,0.002706497,0.059789579,0.017223735,FALSE
138,HNEAP_RS00725,type II secretion system protein N,0.001378726,-0.055582383,0.058005746,-0.108031257,FALSE
139,HNEAP_RS00730,DUF4395 domain-containing protein,-0.144852543,-0.010763381,-0.207265762,-0.084482358,FALSE
140,HNEAP_RS00735,hypothetical protein,0.150507954,0.013155336,-0.078093295,-0.072637756,FALSE
141,HNEAP_RS00740,BCCT family transporter,-0.100434762,-0.013563145,0.026506276,-0.092549339,FALSE
142,HNEAP_RS00745,MFS transporter,0.104172019,-0.094842982,-0.244518904,-0.132328526,FALSE
143,HNEAP_RS00750,MFS transporter,0.12933893,0.100950586,-0.005481497,0.099519299,FALSE
144,HNEAP_RS00760,serine/threonine protein kinase,0.110653316,0.06847356,0.017608031,-0.054637588,FALSE
145,HNEAP_RS00765,phosphopeptide-binding protein,0.004498113,-0.004080336,-0.044590178,0.063258735,FALSE
146,HNEAP_RS00770,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,-0.246364816,-0.177971268,-0.365150457,-0.317222737,FALSE
147,HNEAP_RS00775,chromosome segregation protein SMC,-0.111039115,-0.118027635,-0.122942046,-0.122203897,FALSE
148,HNEAP_RS00795,tRNA-Pro,-0.196288296,-0.021762468,0.193792417,0.220794194,FALSE
149,HNEAP_RS00800,Lrp/AsnC family transcriptional regulator,0.048604592,-0.033638964,-0.069435026,-0.098536183,FALSE
150,HNEAP_RS00810,ABC transporter ATP-binding protein,0.031601827,-0.059630116,-0.042787519,0.037369001,FALSE
151,HNEAP_RS00815,phosphohistidine phosphatase SixA,0.306288245,-0.031327995,0.031036373,-0.076370308,FALSE
152,HNEAP_RS00820,rhombosortase,0.086996662,0.046024394,0.054036133,-0.118566358,FALSE
153,HNEAP_RS00825,transaldolase,0.098305044,0.059423855,-0.084238785,-0.040577998,FALSE
154,HNEAP_RS00830,hypothetical protein,-0.19489836,-0.234901108,-0.039952612,-0.003078073,FALSE
155,HNEAP_RS00835,RNA polymerase sigma factor,-0.11210281,0.04924213,0.112257641,0.061229081,FALSE
156,HNEAP_RS00840,hypothetical protein,-0.029175507,-0.009307346,-0.073680889,-0.055927866,FALSE
157,HNEAP_RS00845,phosphate porin,-0.077885348,-0.013513753,-0.035531959,-0.060080579,FALSE
158,HNEAP_RS00850,sensor domain-containing diguanylate cyclase,-0.048824188,-0.159079507,0.057872653,-0.012055044,FALSE
159,HNEAP_RS00855,protein disulfide oxidoreductase,-0.070897695,-0.141513917,-0.027552008,0.127783236,FALSE
160,HNEAP_RS00865,dUTP diphosphatase,-1.35214503,-1.526372726,-1.3529661,-1.371861925,FALSE
161,HNEAP_RS00875,hypothetical protein,-0.052552923,-0.175531006,0.311659166,-0.105864771,FALSE
162,HNEAP_RS00880,DUF4124 domain-containing protein,-0.179289638,-0.033068885,-0.159078917,-0.175580085,FALSE
163,HNEAP_RS00885,MFS transporter,0.157180702,0.008795798,0.047462787,0.094726961,FALSE
164,HNEAP_RS00890,ArsR family transcriptional regulator,-0.28037127,-0.052975273,0.211075705,-0.082216482,FALSE
165,HNEAP_RS00895,ATPase AAA,-2.19167257,-1.753487095,-2.649431906,-2.059864496,FALSE
166,HNEAP_RS00900,DUF58 domain-containing protein,-1.774617142,-1.649760706,-2.140996371,-1.62056245,FALSE
167,HNEAP_RS00905,hypothetical protein,-1.276036611,-1.271013047,-1.751413861,-1.351260499,FALSE
168,HNEAP_RS00910,VWA domain-containing protein,-2.457345377,-1.720452372,-2.388218224,-1.91098701,FALSE
169,HNEAP_RS00915,hypothetical protein,-1.78920764,-1.707204709,-2.02553215,-1.682879005,FALSE
170,HNEAP_RS00920,hypothetical protein,-1.105179509,-1.078394285,-1.37004257,-1.19755329,FALSE
171,HNEAP_RS00925,hypothetical protein,0.31245438,0.116999709,0.029673051,-0.015102866,FALSE
172,HNEAP_RS00930,High potential iron-sulfur protein,0.208178057,0.297606435,0.056810486,0.231942778,FALSE
173,HNEAP_RS00935,SELO family protein,0.004277444,-0.042555704,-0.084104344,-0.002870549,FALSE
174,HNEAP_RS00940,hypothetical protein,-0.013483725,0.036057604,-0.07481722,-0.058109944,FALSE
175,HNEAP_RS00945,diaminobutyrate acetyltransferase,0.131934321,0.064647671,-0.076369736,0.007040256,FALSE
176,HNEAP_RS00950,diaminobutyrate--2-oxoglutarate transaminase,0.069311853,0.028856192,0.044338329,0.065148753,FALSE
177,HNEAP_RS00955,ectoine synthase,-0.04158802,0.023918859,-0.110007123,0.075132076,FALSE
178,HNEAP_RS00960,inositol monophosphatase,0.013327765,-0.099621405,-0.019515026,-0.236705185,FALSE
179,HNEAP_RS00965,rhodanese,0.136860746,0.085461288,0.049825343,-0.016844308,FALSE
180,HNEAP_RS00970,DUF2076 domain-containing protein,0.004011675,-0.064158021,-0.0827424,0.019866363,FALSE
181,HNEAP_RS00980,type II restriction endonuclease,0.20124826,-0.04469689,0.118730868,0.25468719,FALSE
182,HNEAP_RS00990,DUF3240 domain-containing protein,0.571627365,0.35591406,0.130778092,-0.022948927,FALSE
183,HNEAP_RS00995,CusA/CzcA family heavy metal efflux RND transporter,0.089281444,0.102057072,-0.014108836,0.042562418,FALSE
184,HNEAP_RS01000,efflux RND transporter periplasmic adaptor subunit,0.059223194,0.013534915,0.125624725,0.098610319,FALSE
185,HNEAP_RS01005,TolC family protein,-0.019891176,0.015958619,0.15413317,0.087707166,FALSE
186,HNEAP_RS01010,DNA-binding response regulator,-0.015460673,-0.006572628,0.061837939,-0.053865482,FALSE
187,HNEAP_RS01015,two-component sensor histidine kinase,-0.074168329,-0.05631989,-0.056941703,-0.015128755,FALSE
188,HNEAP_RS01025,tryptophan-rich sensory protein,-0.182509087,-0.169949418,-0.180686362,0.027677327,FALSE
189,HNEAP_RS01030,DUF2309 domain-containing protein,-0.009401225,-2.953392697,-0.026933542,-2.713514799,TRUE
190,HNEAP_RS01035,NADH dehydrogenase subunit 5,0.052684455,-3.018988215,-0.088164042,-2.763632208,TRUE
191,HNEAP_RS01040,LysR family transcriptional regulator,0.104180285,-2.532413014,-0.066606522,-2.515327801,TRUE
192,HNEAP_RS01045,DUF3817 domain-containing protein,-0.117097597,-0.011848924,-0.07680989,-0.276927826,FALSE
193,HNEAP_RS01050,aminoacyl-tRNA hydrolase,-0.033465578,-0.034320439,0.018755087,0.368360928,FALSE
194,HNEAP_RS01055,hypothetical protein,0.161714447,0.132769233,-0.073531308,-0.125387053,FALSE
195,HNEAP_RS01060,thioredoxin domain-containing protein,-0.023247621,-0.075973286,0.026849421,0.128308831,FALSE
196,HNEAP_RS01065,DUF839 domain-containing protein,-0.017807833,0.005809616,0.018105752,0.19563222,FALSE
197,HNEAP_RS01070,hypothetical protein,0.013132235,0.051610623,-0.070661195,-0.058761338,FALSE
198,HNEAP_RS01080,hypothetical protein,-0.01573685,0.091205942,-0.03035927,0.116101466,FALSE
199,HNEAP_RS01085,DUF2892 domain-containing protein,-0.006706042,-0.026235764,0.281455699,0.171157127,FALSE
200,HNEAP_RS01090,hypothetical protein,0.055961292,0.152292058,-0.10038917,-0.087555014,FALSE
201,HNEAP_RS01105,alkaline invertase,-0.004285803,-0.07646017,-0.062123317,0.029317752,FALSE
202,HNEAP_RS01110,sucrose-phosphate synthase,0.000595377,-0.001365583,-0.015289277,-0.002481454,FALSE
203,HNEAP_RS01115,haloacid dehalogenase,-1.706217921,-1.040403935,-1.499438442,-1.260621168,FALSE
204,HNEAP_RS01120,Small-conductance mechanosensitive channel-like protein,-0.052973377,-0.165132184,-0.092819863,-0.134928752,FALSE
205,HNEAP_RS01125,pilin,-0.000826291,-0.096596984,-0.189572064,-0.195733332,FALSE
206,HNEAP_RS01130,monofunctional biosynthetic peptidoglycan transglycosylase,-0.168966085,-0.0168984,-0.163305542,-0.032231943,FALSE
207,HNEAP_RS01135,Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB,0.307979147,0.217949192,0.292762587,0.366447297,FALSE
208,HNEAP_RS01140,nucleotidyltransferase domain-containing protein,0.247536166,-0.018933403,-0.023755752,0.073569531,FALSE
209,HNEAP_RS01145,hypothetical protein,0.181456449,0.138359646,0.099757838,0.050572025,FALSE
210,HNEAP_RS01155,group 1 glycosyl transferase,0.157984284,0.157219564,0.299110758,0.219060891,FALSE
211,HNEAP_RS01165,hypothetical protein,-0.029541946,-0.113623331,-0.054560552,0.075749341,FALSE
212,HNEAP_RS01170,DegT/DnrJ/EryC1/StrS family aminotransferase,0.093642434,0.029303315,0.248294863,0.159357498,FALSE
213,HNEAP_RS01180,nucleotidyltransferase domain-containing protein,0.071683821,0.047631019,-0.004015613,0.244813589,FALSE
214,HNEAP_RS01185,type II toxin-antitoxin system RelE/ParE family toxin,0.10239836,0.206244517,-0.0096856,0.198003317,FALSE
215,HNEAP_RS01195,Txe/YoeB family addiction module toxin,0.193011769,0.093842746,0.351491874,0.237819298,FALSE
216,HNEAP_RS01200,type II toxin-antitoxin system prevent-host-death family antitoxin,-0.363376766,-0.419117153,0.363465723,0.30872182,FALSE
217,HNEAP_RS01215,carbohydrate porin,-0.099430274,-0.118720007,-0.06862207,-0.037122261,FALSE
218,HNEAP_RS01220,succinyldiaminopimelate transaminase,-0.243978571,-0.098647974,-0.14306871,-0.078203502,FALSE
219,HNEAP_RS01225,glyoxalase,0.142051835,0.405745882,-0.041645626,0.369997272,FALSE
220,HNEAP_RS01235,ParA family protein,0.113853275,0.153423471,-0.111786865,-0.030316727,FALSE
221,HNEAP_RS01240,nitrogen regulation protein NR(I),-0.04423979,-0.09134245,0.078353939,-0.072063758,FALSE
222,HNEAP_RS01245,hypothetical protein,0.127553526,0.045556519,0.038935235,0.094948479,FALSE
223,HNEAP_RS01250,DUF4124 domain-containing protein,-0.135901967,0.293960384,-0.00209076,-0.028292621,FALSE
224,HNEAP_RS01265,hypothetical protein,-0.123429472,-0.007411423,-0.185785783,-0.223461134,FALSE
225,HNEAP_RS01270,C4-dicarboxylate ABC transporter,-0.078480152,-0.02643965,-0.030434776,-0.034599623,FALSE
226,HNEAP_RS01275,integral membrane protein,-0.095340957,0.060246459,-0.178860564,-0.10902146,FALSE
227,HNEAP_RS01280,cytochrome c554,-1.56207163,-1.160234528,-2.247218639,-0.712609472,FALSE
228,HNEAP_RS01315,hypothetical protein,-0.065228702,0.015939158,0.062544528,0.234607286,FALSE
229,HNEAP_RS01320,copper oxidase,0.066040162,0.079588022,-0.025208083,0.027079418,FALSE
230,HNEAP_RS01325,copper resistance protein B,-0.027861145,0.033032987,-0.003254071,0.128812725,FALSE
231,HNEAP_RS01330,hypothetical protein,-0.573347093,-0.329653162,0.052053824,-0.128521662,FALSE
232,HNEAP_RS01335,bilirubin oxidase,-0.046038068,0.050890251,-0.184266983,-0.047167177,FALSE
233,HNEAP_RS01340,TolC family protein,-0.336923091,-0.313235801,-0.258529317,-0.203968458,FALSE
234,HNEAP_RS01350,AcrB/AcrD/AcrF family protein,-0.283324526,-0.160260788,-0.212581834,-0.157462854,FALSE
235,HNEAP_RS01355,DUF4332 domain-containing protein,-0.009145534,0.26166345,0.173164543,-0.130580314,FALSE
236,HNEAP_RS01360,type II toxin-antitoxin system RelE/ParE family toxin,-0.174467288,0.056743173,-0.81496482,-0.377294977,FALSE
237,HNEAP_RS01365,hypothetical protein,0.022018909,-0.116210716,0.328480887,0.270639005,FALSE
238,HNEAP_RS01375,ATP-dependent RNA helicase HrpA,0.013094993,0.10755149,0.008323357,0.014534717,FALSE
239,HNEAP_RS01380,hypothetical protein,0.059713873,0.075362661,-0.028575919,0.063854901,FALSE
240,HNEAP_RS01385,DUF3024 domain-containing protein,-0.141492515,-0.185792502,-0.02044603,-0.296325102,FALSE
241,HNEAP_RS01390,type II toxin-antitoxin system RelE/ParE family toxin,-0.035397004,0.053237955,0.017758414,-0.007741051,FALSE
242,HNEAP_RS01395,type II toxin-antitoxin system ParD family antitoxin,0.281208768,0.008791451,0.001697117,0.010625549,FALSE
243,HNEAP_RS01400,anti-sigma-K factor RskA,0.037188269,0.062766263,0.058826988,0.122306892,FALSE
244,HNEAP_RS01405,hypothetical protein,0.05792741,0.153132124,0.003538969,0.017492259,FALSE
245,HNEAP_RS01415,hypothetical protein,0.164605575,0.187371581,-0.046402613,-0.021626759,FALSE
