,locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,pval_raw_rep1,pval_corr_rep1,length_rep1,n_inserts_rep1,pval_raw_rep2,pval_corr_rep2,length_rep2,n_inserts_rep2,essentiality
82,HNEAP_RS00425,HNEAP_RS00425,1,NC_013422.1,87553,87843,-,,DUF1330 domain-containing protein,0.3746,13,0.0001030303302763804,0.24809703530552402,290.0,1.0,1.1373860104542275e-05,0.027388255131737798,290.0,0.0,nonessential
83,HNEAP_RS00430,HNEAP_RS00430,1,NC_013422.1,87840,88211,-,,VOC family protein,0.4194,16,2.9846385027129754e-07,0.0007187009514532845,371.0,0.0,4.7312054556039764e-07,0.0011392742737094375,371.0,0.0,essential
84,HNEAP_RS00435,HNEAP_RS00435,1,NC_013422.1,88585,89196,-,,cation transporter,0.4804,34,0.7552406368023853,1818.6194534201438,611.0,27.0,0.7409341396917469,1784.1694083777265,611.0,26.0,nonessential
85,HNEAP_RS00440,HNEAP_RS00440,1,NC_013422.1,89303,89782,-,,N-acetyltransferase,0.5375,14,7.823296108960763e-08,0.00018838497030377517,479.0,1.0,1.3759131338064925e-07,0.0003313198826206034,479.0,1.0,essential
86,HNEAP_RS00445,HNEAP_RS00445,1,NC_013422.1,90138,90461,-,,hypothetical protein,0.4722,12,0.9651039021698768,2323.9701964250635,323.0,19.0,0.9229276185351314,2222.409705432596,323.0,17.0,nonessential
87,HNEAP_RS12420,HNEAP_RS12420,1,NC_013422.1,90867,91082,-,,hypothetical protein,0.4444,5,0.7630470200471857,1837.417224273623,215.0,10.0,0.7911450589732266,1905.0773020075296,215.0,10.0,nonessential
88,HNEAP_RS00450,HNEAP_RS00450,1,NC_013422.1,91085,91495,-,,mercury transporter MerC,0.4696,17,0.2477972794794962,596.6958489866269,410.0,13.0,0.287886471427251,693.2306231968204,410.0,13.0,nonessential
89,HNEAP_RS00455,HNEAP_RS00455,1,NC_013422.1,91540,91896,-,,hypothetical protein,0.5042,10,0.3416901840198305,822.7899631197517,356.0,12.0,0.28099958363009453,676.6469973812676,356.0,11.0,nonessential
90,HNEAP_RS00460,HNEAP_RS00460,1,NC_013422.1,91913,92266,-,,hypothetical protein,0.5395,11,0.985074633382873,2372.059717185958,353.0,22.0,0.9657810526364793,2325.600774748642,353.0,20.0,nonessential
91,HNEAP_RS00465,HNEAP_RS00465,1,NC_013422.1,92363,93529,-,,hypothetical protein,0.4053,49,0.5814800809086098,1400.2040348279324,1166.0,47.0,0.6055302949974755,1458.1169503539209,1166.0,46.0,nonessential
92,HNEAP_RS00470,HNEAP_RS00470,1,NC_013422.1,93675,93935,+,,integrase,0.5134,8,0.999206992235946,2406.090437304158,260.0,21.0,0.9971342136649366,2401.0991865051674,260.0,19.0,nonessential
93,GFF94,,7,NC_013422.1,94056,94408,+,,hypothetical protein,0.5354,11,0.9959129852223912,2398.158468415518,352.0,24.0,0.998648751865679,2404.746194492555,352.0,25.0,nonessential
94,HNEAP_RS00480,HNEAP_RS00480,1,NC_013422.1,94568,95170,+,,class I SAM-dependent methyltransferase,0.5688,7,0.9588049385868774,2308.802292117201,602.0,32.0,0.9814934077978813,2363.436125977298,602.0,33.0,nonessential
95,HNEAP_RS00485,HNEAP_RS00485,1,NC_013422.1,95561,98821,-,,SNF2-like protein,0.5747,55,0.9999999999999999,2407.9999999999995,3260.0,260.0,0.9999999999999999,2407.9999999999995,3260.0,252.0,nonessential
96,HNEAP_RS00490,HNEAP_RS00490,1,NC_013422.1,99273,99587,+,,ferrous iron transport protein A,0.5937,5,0.12200900121445168,293.79767492439964,314.0,8.0,0.0816015542570382,196.496542650948,314.0,7.0,nonessential
97,HNEAP_RS00495,HNEAP_RS00495,1,NC_013422.1,99584,99838,+,,ferrous iron transport protein A,0.5725,3,0.0022631315471143467,5.449620765451347,254.0,2.0,0.0029291154360035735,7.053309969896605,254.0,2.0,nonessential
98,HNEAP_RS00500,HNEAP_RS00500,1,NC_013422.1,99908,102244,+,,Fe(2+) transporter permease subunit FeoB,0.5627,41,1.2697730515568852e-36,3.0576135081489794e-33,2336.0,3.0,2.1017438205109138e-35,5.060999119790281e-32,2336.0,3.0,essential
99,HNEAP_RS12055,HNEAP_RS12055,1,NC_013422.1,102268,102612,+,,hypothetical protein,0.5884,6,0.9406591610995321,2265.107259927673,344.0,19.0,0.8217239021576471,1978.7111563956144,344.0,16.0,nonessential
100,HNEAP_RS00510,HNEAP_RS00510,1,NC_013422.1,102736,103629,-,,molecular chaperone DnaJ,0.5884,11,0.8848803340069067,2130.791844288631,893.0,42.0,0.8152320562729654,1963.0787915053006,893.0,39.0,nonessential
101,HNEAP_RS00515,HNEAP_RS00515,1,NC_013422.1,103831,103956,-,,50S ribosomal protein L36,0.4683,3,0.44390311162655405,1068.918692796742,125.0,4.0,0.4711935061993171,1134.6339629279555,125.0,4.0,nonessential
102,HNEAP_RS00520,HNEAP_RS00520,5,NC_013422.1,104152,104227,-,,tRNA-Phe,0.5526,2,0.19663287202442295,473.4919558348105,75.0,1.0,0.21072343573728922,507.4220332553924,75.0,1.0,nonessential
103,HNEAP_RS00525,HNEAP_RS00525,1,NC_013422.1,104375,104971,+,,imidazoleglycerol-phosphate dehydratase,0.5695,11,3.293182785868707e-11,7.929984148371847e-08,596.0,0.0,6.903006277537521e-11,1.662243911631035e-07,596.0,0.0,essential
104,HNEAP_RS00530,HNEAP_RS00530,1,NC_013422.1,104974,105624,+,,imidazole glycerol phosphate synthase subunit HisH,0.5822,14,3.697171703262828e-12,8.90278946145689e-09,650.0,0.0,8.287322101887595e-12,1.995587162134533e-08,650.0,0.0,essential
105,HNEAP_RS00535,HNEAP_RS00535,1,NC_013422.1,105661,106416,+,,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,0.5913,12,5.261879119061181e-14,1.2670604918699323e-10,755.0,0.0,1.343729650454468e-13,3.235700998294359e-10,755.0,0.0,essential
106,HNEAP_RS00540,HNEAP_RS00540,1,NC_013422.1,106496,107269,+,,imidazole glycerol phosphate synthase subunit HisF,0.615,7,8.363289503297002e-13,2.013880112393918e-09,773.0,1.0,2.1177959874051087e-12,5.099652737671502e-09,773.0,1.0,essential
107,HNEAP_RS00545,HNEAP_RS00545,1,NC_013422.1,107266,107676,+,,phosphoribosyl-AMP cyclohydrolase,0.5693,7,6.151257597423119e-08,0.00014812228294594872,410.0,0.0,1.0234736385815477e-07,0.0002464524521704367,410.0,0.0,essential
108,HNEAP_RS00550,HNEAP_RS00550,1,NC_013422.1,107663,108037,+,,phosphoribosyl-ATP diphosphatase,0.5733,6,3.5840766346883923e-05,0.08630456536329649,374.0,2.0,6.717853384192799e-06,0.01617659094913626,374.0,1.0,nonessential
109,HNEAP_RS00555,HNEAP_RS00555,1,NC_013422.1,108062,108343,+,,twin-arginine translocase subunit TatA,0.5355,3,1.1423576581245333e-05,0.02750797240763876,281.0,0.0,1.619366772529103e-05,0.0389943518825008,281.0,0.0,essential
110,HNEAP_RS12060,HNEAP_RS12060,1,NC_013422.1,108390,109016,+,,twin-arginine translocase subunit TatB,0.5598,6,1.1412008909096482e-06,0.002748011745310433,626.0,5.0,4.089352812406245e-07,0.0009847161572274239,626.0,4.0,essential
111,HNEAP_RS00565,HNEAP_RS00565,1,NC_013422.1,109082,110113,+,,twin-arginine translocase subunit TatC,0.5601,23,1.1066710556861106e-13,2.6648639020921546e-10,1031.0,4.0,2.9703869959275977e-12,7.152691886193656e-09,1031.0,5.0,essential
112,HNEAP_RS00570,HNEAP_RS00570,1,NC_013422.1,110181,111722,+,,2 3-bisphosphoglycerate-independent phosphoglycerate mutase,0.5927,24,7.889637583657186e-28,1.8998247301446505e-24,1541.0,0.0,5.347088865061906e-27,1.2875789987069069e-23,1541.0,0.0,essential
