,Locus Id,NCBI Accession number,NCBI gi number,First base pair in the CDS,Last base pair in the CDS,Gene length,Direction of CDS,Gene description,Fraction GC,Number of TA pairs,Uncorrected replicate 1 p value,Bonferroni corrected replicate 1 p value,Number of transposon insertions seen in replicate 1,Uncorrected replicate 2 p value,Bonferroni corrected replicate 2 p value,Number of transposon insertions seen in replicate 2,Is the gene essential?
22,HNEAP_RS00125,WP_012822928.1,502585134.0,29824,30381,557.0,+,single-stranded DNA-binding protein,0.5914,11,4.281928176545009e-05,0.10310883049120381,6.0,1.8330557343315856e-05,0.04413998208270458,5.0,ambiguous
23,HNEAP_RS00130,WP_012822929.1,502585135.0,30592,32391,1799.0,-,gamma-glutamyltransferase,0.5767,34,0.9999999999989695,2407.9999999975184,136.0,0.9999999999957478,2407.999999989761,131.0,nonessential
24,HNEAP_RS00135,WP_012822930.1,502585136.0,32408,33346,938.0,-,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,0.5634,27,0.9999719688222672,2407.9325009240197,63.0,0.9999303662443342,2407.8323219163567,60.0,nonessential
25,HNEAP_RS00140,WP_012822931.1,502585137.0,33737,34285,548.0,+,metallophosphoesterase,0.5974,8,0.9954542918208757,2397.053934704669,34.0,0.9984296945228398,2404.2187044109983,35.0,nonessential
26,HNEAP_RS00145,WP_012822932.1,502585138.0,34356,35618,1262.0,+,ketohexokinase,0.5764,22,0.999997352549531,2407.993624939271,84.0,0.9999567326518641,2407.895812225689,77.0,nonessential
27,HNEAP_RS00150,WP_012822933.1,502585139.0,35755,38121,2366.0,+,GGDEF domain-containing protein,0.5758,27,0.9999921552069254,2407.9811097382762,137.0,0.9999899361111558,2407.975766155663,133.0,nonessential
28,HNEAP_RS00155,WP_012822934.1,502585140.0,38154,38462,308.0,+,BolA family transcriptional regulator,0.5793,4,0.8320705648670255,2003.6259201997973,15.0,0.8589381732857772,2068.323121272151,15.0,nonessential
29,HNEAP_RS00160,WP_012822935.1,502585141.0,38491,39528,1037.0,+,HDOD domain-containing protein,0.5694,17,0.4680286334117149,1127.0129492554095,40.0,0.5470849815897351,1317.380635668082,40.0,nonessential
30,HNEAP_RS00165,WP_012822936.1,502585142.0,39572,41770,2198.0,-,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,0.5789,30,5.671204438665351e-13,1.3656260288306165e-09,30.0,1.2021720902583739e-13,2.894830393342164e-10,27.0,essential
31,HNEAP_RS00170,WP_012822937.1,502585143.0,41772,42095,323.0,-,DNA-directed RNA polymerase subunit omega,0.5772,3,0.05579299832696444,134.34953997133036,7.0,0.06837665721811485,164.65099058122055,7.0,nonessential
32,HNEAP_RS00175,WP_012822938.1,502585144.0,42146,42775,629.0,-,guanylate kinase,0.5794,9,8.653969717934253e-12,2.083875908078568e-08,0.0,1.8898819733406782e-11,4.550835791804353e-08,0.0,essential
33,HNEAP_RS00180,WP_012822939.1,502585145.0,42782,43396,614.0,-,DedA family protein,0.5707,11,0.8946705050949242,2154.3665762685773,30.0,0.8462773971293702,2037.8359722875234,28.0,nonessential
34,HNEAP_RS00185,WP_012822940.1,502585146.0,43484,43954,470.0,-,glycine zipper 2TM domain-containing protein,0.6178,11,0.9999634205545669,2407.911916695397,37.0,0.9999808625081664,2407.9539169196646,37.0,nonessential
35,HNEAP_RS00190,WP_012822941.1,502585147.0,44187,44936,749.0,+,membrane protein,0.5427,18,3.6460022719070175e-10,8.779573470752098e-07,3.0,8.428772472484245e-10,2.029648411374206e-06,3.0,essential
36,HNEAP_RS00195,WP_012822942.1,502585148.0,44946,45716,770.0,-,exodeoxyribonuclease III,0.5551,17,0.50691484724787,1220.6509521728708,30.0,0.574904920627717,1384.3710488715426,30.0,nonessential
37,HNEAP_RS00200,WP_041600478.1,753844861.0,46091,47482,1391.0,-,hypothetical protein,0.5338,27,0.7268667817538201,1750.2952104631988,59.0,0.7142387112529963,1719.8868166972152,57.0,nonessential
38,HNEAP_RS00205,WP_081441063.1,1174219882.0,48094,50388,2294.0,+,hypothetical protein,0.5712,60,0.9999999999999938,2407.999999999985,171.0,0.9999999999999991,2407.9999999999977,170.0,nonessential
39,HNEAP_RS00210,WP_012822946.1,502585152.0,50405,51196,791.0,-,TIGR01458 family HAD-type hydrolase,0.5934,13,0.999983488819831,2407.960241078153,56.0,0.9999733082097038,2407.9357261689665,54.0,nonessential
40,HNEAP_RS00215,WP_012822947.1,502585153.0,51408,52196,788.0,-,competence/damage-inducible protein A,0.5805,10,0.9999995634595247,2407.9989488105352,61.0,0.9999996591185446,2407.9991791574553,60.0,nonessential
41,HNEAP_RS00220,WP_012822948.1,502585154.0,52193,53305,1112.0,-,ferrochelatase,0.5732,27,4.0991846315237596e-13,9.870836592709214e-10,6.0,1.7876547004628826e-13,4.3046725187146213e-10,5.0,essential
42,HNEAP_RS00225,WP_012822949.1,502585155.0,53431,54390,959.0,+,thioredoxin-disulfide reductase,0.5594,13,1.358972651620654e-17,3.2724061451025346e-14,0.0,4.4709398219400884e-17,1.0766023091231732e-13,0.0,essential
43,HNEAP_RS00230,WP_012822950.1,502585156.0,54484,54804,320.0,+,hypothetical protein,0.6012,4,0.9678675653444477,2330.6250973494302,19.0,0.9755592832367852,2349.1467540341787,19.0,nonessential
44,HNEAP_RS00235,WP_012822951.1,502585157.0,54801,55673,872.0,+,hypothetical protein,0.6174,14,0.9999999166372723,2407.9997992625517,68.0,0.9999999418687959,2407.9998600200606,67.0,nonessential
45,HNEAP_RS00240,WP_012822952.1,502585158.0,55687,56304,617.0,-,5'-deoxynucleotidase,0.5485,12,0.275506747198851,663.4202472548332,21.0,0.2536607907569922,610.8151841428372,20.0,nonessential
46,HNEAP_RS00245,WP_012822953.1,502585159.0,56333,57763,1430.0,-,deoxyguanosinetriphosphate triphosphohydrolase,0.5947,16,0.9963913489821341,2399.310368348979,77.0,0.9963816035122246,2399.286901257437,75.0,nonessential
47,HNEAP_RS00250,WP_012822954.1,502585160.0,57863,58720,857.0,+,NAD(P)-dependent oxidoreductase,0.6131,5,0.9999935132763954,2407.98437996956,61.0,0.9999949719877603,2407.987892546527,60.0,nonessential
48,HNEAP_RS00255,WP_012822955.1,502585161.0,58846,60408,1562.0,+,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH,0.6065,19,3.3706317186257887e-28,8.1164811784508995e-25,0.0,2.3447521251210183e-27,5.646163117291412e-24,0.0,essential
49,HNEAP_RS00260,WP_012822956.1,502585162.0,60466,62061,1595.0,+,DNA recombination protein RmuC,0.5977,18,0.9954622918678522,2397.073198817788,84.0,0.9970254065301537,2400.8371789246103,83.0,nonessential
50,HNEAP_RS00265,WP_012822957.1,502585163.0,62045,62242,197.0,-,hypothetical protein,0.5101,0,0.2028471830892292,488.4560168788639,5.0,0.2270390937117781,546.7101376579617,5.0,nonessential
51,HNEAP_RS00270,WP_012822958.1,502585164.0,62254,63108,854.0,-,metallophosphoesterase,0.5333,22,0.6202606225414429,1493.5875790797945,35.0,0.7456344992133018,1795.487874105631,36.0,nonessential
52,HNEAP_RS00275,WP_012822959.1,502585165.0,63522,63998,476.0,+,hypothetical protein,0.499,14,0.3843991797292737,925.6332247880911,17.0,0.531383177584035,1279.5706916223562,18.0,nonessential
53,HNEAP_RS00280,WP_012822960.1,502585166.0,64169,64549,380.0,+,hypothetical protein,0.5249,9,0.5595692886020251,1347.4428469536765,15.0,0.6068790100803254,1461.3646562734236,15.0,nonessential
54,HNEAP_RS00285,WP_081441064.1,1174219883.0,64607,67444,2837.0,+,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,0.5648,41,0.6854531902671444,1650.5712821632835,117.0,0.5558796206541846,1338.5581265352766,110.0,nonessential
55,HNEAP_RS00290,WP_012822962.1,502585168.0,67499,67957,458.0,+,hypothetical protein,0.5882,6,0.994247819808227,2394.1487500982107,29.0,0.9879548330681669,2378.995238028146,27.0,nonessential
56,HNEAP_RS00295,WP_012822963.1,502585169.0,68056,68586,530.0,+,molecular chaperone Skp,0.5593,10,0.9999999904500528,2407.999977003727,50.0,0.9999999903749393,2407.9999768228536,49.0,nonessential
57,HNEAP_RS00300,WP_012822964.1,502585170.0,68944,69192,248.0,+,phosphopantetheine-binding protein,0.5141,4,0.34645554788066857,834.2649592966499,8.0,0.38235284551251864,920.7056519941449,8.0,nonessential
58,HNEAP_RS00305,WP_012822965.1,502585171.0,69189,70436,1247.0,+,3-oxoacyl-ACP synthase,0.625,16,0.9999999999999967,2407.999999999992,111.0,0.9999999999999973,2407.9999999999936,109.0,nonessential
59,HNEAP_RS00310,WP_012822966.1,502585172.0,70516,70800,284.0,+,acyl carrier protein,0.5123,3,0.6603289142992348,1590.0720256325574,12.0,0.6983558831137529,1681.640966537917,12.0,nonessential
60,HNEAP_RS12050,WP_012822967.1,502585173.0,70809,71507,698.0,+,membrane protein-like protein,0.5851,15,0.990721182325493,2385.656607039787,40.0,0.9942735003450649,2394.210588830916,40.0,nonessential
61,HNEAP_RS00320,WP_012822968.1,502585174.0,71516,73297,1781.0,+,AMP-dependent synthetase and ligase,0.5881,30,0.9999995484354304,2407.9989126325163,114.0,0.9999998214707404,2407.9995701015428,113.0,nonessential
62,HNEAP_RS00325,WP_012822969.1,502585175.0,73294,74238,944.0,+,acyl-CoA synthetase,0.5831,15,0.963003295327953,2318.911935149711,48.0,0.9664026604708236,2327.097606413743,47.0,nonessential
63,HNEAP_RS00330,WP_012822970.1,502585176.0,74238,74837,599.0,+,outer membrane lipoprotein carrier protein LolA,0.5767,9,0.9999894503513542,2407.974596446061,46.0,0.99997778481039,2407.946505823419,44.0,nonessential
64,HNEAP_RS00335,WP_012822971.1,502585177.0,74834,77248,2414.0,+,MMPL domain-containing protein,0.5925,39,0.9952058832088277,2396.4557667668573,121.0,0.9921896451017566,2389.19266540503,116.0,nonessential
65,HNEAP_RS00340,WP_012822972.1,502585178.0,77245,77697,452.0,+,hypothetical protein,0.6004,5,0.9993009315213002,2406.316643103291,32.0,0.9995826914672766,2406.995121053202,32.0,nonessential
66,HNEAP_RS00345,WP_012822974.1,502585180.0,78057,79043,986.0,+,2-hydroxyacid dehydrogenase,0.5755,20,0.9744663958331857,2346.515081166311,51.0,0.9843844846160512,2370.3978389554513,51.0,nonessential
67,HNEAP_RS00350,WP_012822975.1,502585181.0,79194,79484,290.0,+,PilZ domain-containing protein,0.6254,2,0.9573297725595713,2305.250092323448,17.0,0.981909078295393,2364.4370605353065,18.0,nonessential
68,HNEAP_RS00355,WP_012822976.1,502585182.0,79586,80446,860.0,-,glutamate racemase,0.5877,17,0.7806527364073809,1879.8117892689731,38.0,0.8312968162746901,2001.7627335894538,38.0,nonessential
69,HNEAP_RS00360,WP_012822977.1,502585183.0,80598,80861,263.0,-,Txe/YoeB family addiction module toxin,0.4848,7,0.17787763460762213,428.3293441351541,7.0,0.20392754126508178,491.0575193663169,7.0,nonessential
70,HNEAP_RS00365,WP_012822978.1,502585184.0,80858,81100,242.0,-,prevent-host-death family protein,0.4691,7,0.15177425499807334,365.4724060353606,6.0,0.17420971045019795,419.4969827640767,6.0,nonessential
71,HNEAP_RS00370,WP_041600304.1,753844687.0,81093,81296,203.0,+,hypothetical protein,0.4755,11,0.9925160391497837,2389.9786222726793,15.0,0.9943362298133998,2394.3616413906666,15.0,nonessential
72,HNEAP_RS00375,WP_012822979.1,502585186.0,81463,81732,269.0,-,hypothetical protein,0.5296,4,0.15999440653029162,385.26653092494223,7.0,0.10467526240971751,252.05803188259978,6.0,nonessential
73,HNEAP_RS00380,WP_012822981.1,502585188.0,82067,82297,230.0,-,hypothetical protein,0.5022,6,0.9890334211633658,2381.592478161385,16.0,0.9917099168504269,2388.0374797758277,16.0,nonessential
74,HNEAP_RS00385,WP_041600305.1,753844688.0,82401,82835,434.0,-,hypothetical protein,0.4483,17,0.9843693033435497,2370.3612824512675,26.0,0.9684077522627816,2331.9258674487783,24.0,nonessential
75,HNEAP_RS00390,WP_012822983.1,502585190.0,82918,83169,251.0,-,hypothetical protein,0.4841,11,0.3326149101348987,800.936703604836,8.0,0.3681685410038038,886.5498467371596,8.0,nonessential
76,HNEAP_RS00395,WP_041600306.1,753844689.0,83469,83678,209.0,-,hypothetical protein,0.5571,3,0.16026734250727015,385.9237607575065,5.0,0.18174147172690586,437.6334639183893,5.0,nonessential
77,HNEAP_RS00400,WP_012822986.1,502585193.0,83787,83966,179.0,+,hypothetical protein,0.5833,1,0.5828867856408165,1403.5913798230863,7.0,0.6153431204402358,1481.7462340200877,7.0,nonessential
78,HNEAP_RS00405,WP_012822987.1,502585194.0,84404,84736,332.0,-,hypothetical protein,0.3664,16,0.008569966664109521,20.636479727175725,5.0,0.011202755178093977,26.976234468850297,5.0,nonessential
79,HNEAP_RS00410,WP_012822988.1,502585195.0,84810,85118,308.0,-,hypothetical protein,0.5372,10,0.43343720101339905,1043.716780040265,11.0,0.3585217057655346,863.3202674834073,10.0,nonessential
80,HNEAP_RS00415,WP_012822990.1,502585197.0,85475,86020,545.0,-,yfeABCD locus regulator,0.4505,16,0.669344579005153,1611.7817462444084,23.0,0.7205689914718383,1735.1301314641867,23.0,nonessential
81,HNEAP_RS00420,WP_012822991.1,502585198.0,86050,86634,584.0,-,ATPase,0.5504,16,0.9349248443935692,2251.2990252997147,30.0,0.9525438858008904,2293.725677008544,30.0,nonessential
82,HNEAP_RS00425,WP_012822993.1,502585200.0,87553,87843,290.0,-,DUF1330 domain-containing protein,0.3746,13,0.0001030303302763804,0.24809703530552402,1.0,1.1373860104542275e-05,0.027388255131737798,0.0,ambiguous
83,HNEAP_RS00430,WP_041600487.1,753844870.0,87840,88211,371.0,-,VOC family protein,0.4194,16,2.9846385027129754e-07,0.0007187009514532845,0.0,4.7312054556039764e-07,0.0011392742737094375,0.0,essential
84,HNEAP_RS00435,WP_012822995.1,502585202.0,88585,89196,611.0,-,cation transporter,0.4804,34,0.7552406368023853,1818.6194534201438,27.0,0.7409341396917469,1784.1694083777265,26.0,nonessential
85,HNEAP_RS00440,WP_041600307.1,753844690.0,89303,89782,479.0,-,N-acetyltransferase,0.5375,14,7.823296108960763e-08,0.00018838497030377517,1.0,1.3759131338064925e-07,0.0003313198826206034,1.0,essential
86,HNEAP_RS00445,WP_012822997.1,502585204.0,90138,90461,323.0,-,hypothetical protein,0.4722,12,0.9651039021698768,2323.9701964250635,19.0,0.9229276185351314,2222.409705432596,17.0,nonessential
87,HNEAP_RS12420,WP_012822998.1,502585205.0,90867,91082,215.0,-,hypothetical protein,0.4444,5,0.7630470200471857,1837.417224273623,10.0,0.7911450589732266,1905.0773020075296,10.0,nonessential
88,HNEAP_RS00450,WP_012822999.1,502585206.0,91085,91495,410.0,-,mercury transporter MerC,0.4696,17,0.2477972794794962,596.6958489866269,13.0,0.287886471427251,693.2306231968204,13.0,nonessential
89,HNEAP_RS00455,WP_012823000.1,502585207.0,91540,91896,356.0,-,hypothetical protein,0.5042,10,0.3416901840198305,822.7899631197517,12.0,0.28099958363009453,676.6469973812676,11.0,nonessential
90,HNEAP_RS00460,WP_012823001.1,502585208.0,91913,92266,353.0,-,hypothetical protein,0.5395,11,0.985074633382873,2372.059717185958,22.0,0.9657810526364793,2325.600774748642,20.0,nonessential
91,HNEAP_RS00465,WP_012823002.1,502585209.0,92363,93529,1166.0,-,hypothetical protein,0.4053,49,0.5814800809086098,1400.2040348279324,47.0,0.6055302949974755,1458.1169503539209,46.0,nonessential
92,HNEAP_RS00470,WP_041600489.1,753844872.0,93675,93935,260.0,+,integrase,0.5134,8,0.999206992235946,2406.090437304158,21.0,0.9971342136649366,2401.0991865051674,19.0,nonessential
93,HNEAP_RS00480,WP_012823003.1,502585210.0,94568,95170,602.0,+,class I SAM-dependent methyltransferase,0.5688,7,0.9588049385868774,2308.802292117201,32.0,0.9814934077978813,2363.436125977298,33.0,nonessential
94,HNEAP_RS00485,WP_012823004.1,502585211.0,95561,98821,3260.0,-,SNF2-like protein,0.5747,55,0.9999999999999999,2407.9999999999995,260.0,0.9999999999999999,2407.9999999999995,252.0,nonessential
95,HNEAP_RS00490,WP_012823005.1,502585212.0,99273,99587,314.0,+,ferrous iron transport protein A,0.5937,5,0.12200900121445168,293.79767492439964,8.0,0.0816015542570382,196.496542650948,7.0,nonessential
96,HNEAP_RS00495,WP_012823006.1,502585213.0,99584,99838,254.0,+,ferrous iron transport protein A,0.5725,3,0.0022631315471143467,5.449620765451347,2.0,0.0029291154360035735,7.053309969896605,2.0,nonessential
97,HNEAP_RS00500,WP_012823007.1,502585214.0,99908,102244,2336.0,+,Fe(2+) transporter permease subunit FeoB,0.5627,41,1.2697730515568852e-36,3.0576135081489794e-33,3.0,2.1017438205109138e-35,5.060999119790281e-32,3.0,essential
98,HNEAP_RS12055,WP_012823008.1,502585215.0,102268,102612,344.0,+,hypothetical protein,0.5884,6,0.9406591610995321,2265.107259927673,19.0,0.8217239021576471,1978.7111563956144,16.0,nonessential
99,HNEAP_RS00510,WP_012823009.1,502585216.0,102736,103629,893.0,-,molecular chaperone DnaJ,0.5884,11,0.8848803340069067,2130.791844288631,42.0,0.8152320562729654,1963.0787915053006,39.0,nonessential
100,HNEAP_RS00515,WP_012823010.1,502585217.0,103831,103956,125.0,-,50S ribosomal protein L36,0.4683,3,0.44390311162655405,1068.918692796742,4.0,0.4711935061993171,1134.6339629279555,4.0,nonessential
101,HNEAP_RS00525,WP_012823011.1,502585218.0,104375,104971,596.0,+,imidazoleglycerol-phosphate dehydratase,0.5695,11,3.293182785868707e-11,7.929984148371847e-08,0.0,6.903006277537521e-11,1.662243911631035e-07,0.0,essential
102,HNEAP_RS00530,WP_012823012.1,502585219.0,104974,105624,650.0,+,imidazole glycerol phosphate synthase subunit HisH,0.5822,14,3.697171703262828e-12,8.90278946145689e-09,0.0,8.287322101887595e-12,1.995587162134533e-08,0.0,essential
103,HNEAP_RS00535,WP_012823013.1,502585220.0,105661,106416,755.0,+,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,0.5913,12,5.261879119061181e-14,1.2670604918699323e-10,0.0,1.343729650454468e-13,3.235700998294359e-10,0.0,essential
104,HNEAP_RS00540,WP_012823014.1,502585221.0,106496,107269,773.0,+,imidazole glycerol phosphate synthase subunit HisF,0.615,7,8.363289503297002e-13,2.013880112393918e-09,1.0,2.1177959874051087e-12,5.099652737671502e-09,1.0,essential
105,HNEAP_RS00545,WP_012823015.1,502585222.0,107266,107676,410.0,+,phosphoribosyl-AMP cyclohydrolase,0.5693,7,6.151257597423119e-08,0.00014812228294594872,0.0,1.0234736385815477e-07,0.0002464524521704367,0.0,essential
106,HNEAP_RS00550,WP_012823016.1,502585223.0,107663,108037,374.0,+,phosphoribosyl-ATP diphosphatase,0.5733,6,3.5840766346883923e-05,0.08630456536329649,2.0,6.717853384192799e-06,0.01617659094913626,1.0,ambiguous
107,HNEAP_RS00555,WP_012823017.1,502585225.0,108062,108343,281.0,+,twin-arginine translocase subunit TatA,0.5355,3,1.1423576581245333e-05,0.02750797240763876,0.0,1.619366772529103e-05,0.0389943518825008,0.0,essential
108,HNEAP_RS12060,WP_012823018.1,502585226.0,108390,109016,626.0,+,twin-arginine translocase subunit TatB,0.5598,6,1.1412008909096482e-06,0.002748011745310433,5.0,4.089352812406245e-07,0.0009847161572274239,4.0,essential
109,HNEAP_RS00565,WP_081441171.1,1174219990.0,109082,110113,1031.0,+,twin-arginine translocase subunit TatC,0.5601,23,1.1066710556861106e-13,2.6648639020921546e-10,4.0,2.9703869959275977e-12,7.152691886193656e-09,5.0,essential
110,HNEAP_RS00570,WP_012823020.1,502585228.0,110181,111722,1541.0,+,2 3-bisphosphoglycerate-independent phosphoglycerate mutase,0.5927,24,7.889637583657186e-28,1.8998247301446505e-24,0.0,5.347088865061906e-27,1.2875789987069069e-23,0.0,essential
111,HNEAP_RS00575,WP_012823021.1,502585229.0,111734,112534,800.0,-,iron export ABC transporter permease subunit FetB,0.5955,12,0.2842215911903855,684.4055915864483,28.0,0.2783837287175238,670.3480187517973,27.0,nonessential
112,HNEAP_RS00580,WP_012823022.1,502585230.0,112531,113148,617.0,-,ABC transporter,0.5437,10,0.20824773852441608,501.46055436679393,20.0,0.18841446487242056,453.7020314127887,19.0,nonessential
113,HNEAP_RS00585,WP_041600309.1,753844692.0,113272,114618,1346.0,-,hypothetical protein,0.5828,22,0.764204533878809,1840.2045175801723,58.0,0.7046843323394623,1696.8798722734252,55.0,nonessential
114,HNEAP_RS00590,WP_012823024.1,502585232.0,114766,116844,2078.0,+,DNA helicase RecG,0.6013,21,0.9999999999999999,2407.9999999999995,171.0,0.9999999999999999,2407.9999999999995,168.0,nonessential
115,HNEAP_RS00595,WP_012823025.1,502585233.0,117014,117433,419.0,+,Hsp20/alpha crystallin family protein,0.5571,5,0.9513448376382747,2290.8383690329656,23.0,0.9413598871585739,2266.794608277846,22.0,nonessential
116,HNEAP_RS12065,WP_012823026.1,502585234.0,117857,118837,980.0,+,AraC family transcriptional regulator,0.6483,14,0.9995184127151077,2406.840337817979,60.0,0.9996200218286914,2407.085012563489,59.0,nonessential
117,HNEAP_RS00605,WP_081441065.1,1174219884.0,118927,120123,1196.0,+,OmpA family protein,0.6708,10,0.9999801197193813,2407.95212828427,77.0,0.9998922326437633,2407.740496206182,72.0,nonessential
118,HNEAP_RS00610,WP_012823028.1,502585236.0,120120,121379,1259.0,+,hypothetical protein,0.7175,6,0.9999957039848516,2407.9896551955226,83.0,0.9999863326319113,2407.9670889776426,79.0,nonessential
119,HNEAP_RS00615,WP_012823029.1,502585237.0,121407,121916,509.0,+,hypothetical protein,0.5529,9,0.8362561903542918,2013.7049063731347,24.0,0.8180030415198308,1969.7513239797527,23.0,nonessential
120,HNEAP_RS00620,WP_012823030.1,502585238.0,121913,122284,371.0,+,hypothetical protein,0.6075,6,0.9580146546689022,2306.8992884427166,21.0,0.9155574872202125,2204.662429226272,19.0,nonessential
121,HNEAP_RS12070,WP_012823031.1,502585239.0,122315,123301,986.0,+,AraC family transcriptional regulator,0.5633,20,0.9999998849719653,2407.9997230124927,74.0,0.9999999269881624,2407.999824187495,73.0,nonessential
122,HNEAP_RS12075,WP_012823032.1,502585240.0,123488,126406,2918.0,+,outer membrane autotransporter barrel domain-containing protein,0.5725,68,0.9999999998934647,2407.999999743463,188.0,0.9999999999969409,2407.9999999926335,190.0,nonessential
