,locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,pvalInitial_r1,pvalCorrected_r1,length_r1,inserts_r1,lg_r1,predictedInsertionRate_r1,pvalInitial_r2,pvalCorrected_r2,length_r2,inserts_r2,lg_r2,predictedInsertionRate_r2
14,HNEAP_RS00530,HNEAP_RS00530,1,NC_013422.1,104974,105624,+,,imidazole glycerol phosphate synthase subunit HisH,0.5822,14,3.697171703262828e-12,4.592220820180979e-17,650,0,378.43,0.056233298181757596,8.287322101887595e-12,1.2800625280220339e-16,650,0,378.43,0.05474368719796164
15,HNEAP_RS00535,HNEAP_RS00535,1,NC_013422.1,105661,106416,+,,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,0.5913,12,5.261879119061181e-14,5.215508589520088e-20,755,0,446.4315,0.05711224530208393,1.343729650454468e-13,1.749802267666161e-19,755,0,446.4315,0.055599351151073034
16,HNEAP_RS00540,HNEAP_RS00540,1,NC_013422.1,106496,107269,+,,imidazole glycerol phosphate synthase subunit HisF,0.615,7,8.363289503297002e-13,1.3769998022957377e-19,773,1,475.395,0.05940137131875802,2.1177959874051087e-12,4.87463228385083e-19,773,1,475.395,0.057827838589396094
17,HNEAP_RS00545,HNEAP_RS00545,1,NC_013422.1,107266,107676,+,,phosphoribosyl-AMP cyclohydrolase,0.5693,7,6.151257597423119e-08,8.50023689626052e-11,410,0,233.413,0.054987318197998285,1.0234736385815477e-07,1.5983633324936353e-10,410,0,233.413,0.05353071302267187
18,HNEAP_RS00550,HNEAP_RS00550,1,NC_013422.1,107663,108037,+,,phosphoribosyl-ATP diphosphatase,0.5733,6,3.5840766346883923e-05,1.4674500461271631e-07,374,2,214.41420000000002,0.05537366858055931,6.717853384192799e-06,2.227302300113141e-08,374,1,214.41420000000002,0.05390682904601754
19,HNEAP_RS00555,HNEAP_RS00555,1,NC_013422.1,108062,108343,+,,twin-arginine translocase subunit TatA,0.5355,3,1.1423576581245333e-05,3.302479135988579e-07,281,0,150.47549999999998,0.05172265746535759,1.619366772529103e-05,4.9549403824643e-07,281,0,150.47549999999998,0.050352532625400986
20,HNEAP_RS12060,HNEAP_RS12060,1,NC_013422.1,108390,109016,+,,twin-arginine translocase subunit TatB,0.5598,6,1.1412008909096482e-06,4.3019698265413215e-10,626,5,350.4348,0.05406973603941584,4.089352812406245e-07,1.3544964925039275e-10,626,4,350.4348,0.05263743746722591
21,HNEAP_RS00565,HNEAP_RS00565,1,NC_013422.1,109082,110113,+,,twin-arginine translocase subunit TatC,0.5601,23,1.1066710556861106e-13,6.710210176179791e-20,1031,4,577.4631,0.054098712318107915,2.9703869959275977e-12,3.3260943306471444e-18,1031,5,577.4631,0.05266564616897684
22,HNEAP_RS00570,HNEAP_RS00570,1,NC_013422.1,110181,111722,+,,2 3-bisphosphoglycerate-independent phosphoglycerate mutase,0.5927,24,7.889637583657186e-28,3.522632053003345e-40,1541,0,913.3507,0.05724746793598029,5.347088865061906e-27,4.1930414096207446e-39,1541,0,913.3507,0.05573099175924401
23,HNEAP_RS00780,HNEAP_RS00780,1,NC_013422.1,163039,164034,+,,cell division protein ZipA,0.5703,11,3.9348350720241143e-14,1.1216981886645805e-20,995,3,567.4485000000001,0.05508390579363854,1.2336370531648716e-13,4.789903026642175e-20,995,3,567.4485000000001,0.053624742028508296
24,HNEAP_RS00785,HNEAP_RS00785,1,NC_013422.1,164040,166097,+,,NAD-dependent DNA ligase LigA,0.5982,33,1.5096557927804854e-30,7.385342889849232e-47,2057,4,1230.4974,0.0577786997120017,1.712797798441671e-29,1.8590533109210543e-45,2057,4,1230.4974,0.056248151291344306
25,HNEAP_RS00790,HNEAP_RS00790,1,NC_013422.1,166155,167123,+,,octaprenyl diphosphate synthase,0.6109,15,9.438862963834639e-18,2.7061999899792323e-26,968,0,591.3512,0.05900536217663296,3.140230177204023e-17,1.3492195009988126e-25,968,0,591.3512,0.057442319665466784
26,HNEAP_RS00860,HNEAP_RS00860,1,NC_013422.1,179601,180782,+,,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,0.5854,16,1.693161930066249e-21,1.4033017612530716e-30,1181,0,691.3574,0.05654237848780641,7.33856364819193e-21,9.136278540832985e-30,1181,0,691.3574,0.055044580016638166
27,HNEAP_RS00870,HNEAP_RS00870,1,NC_013422.1,181310,182197,+,,acetylglutamate kinase,0.5631,12,1.778612275746413e-13,3.874099061437945e-19,887,2,499.46970000000005,0.05438847510502869,5.030497527793401e-13,1.4141518546224852e-18,887,2,499.46970000000005,0.052947733186486094
28,HNEAP_RS00975,HNEAP_RS00975,1,NC_013422.1,202943,203884,-,,bifunctional riboflavin kinase/FAD synthetase,0.604,9,1.5685245794117706e-10,1.6255500188081528e-17,941,6,568.364,0.0583389077667152,6.5147322718773e-11,6.715693218354142e-18,941,5,568.364,0.05679351952519553
29,HNEAP_RS00980,HNEAP_RS00980,1,NC_013422.1,204104,204946,+,,type II restriction endonuclease,0.3689,62,1.4656494923780437e-06,1.7395050982286865e-05,842,10,310.6138,0.03563116403169079,8.852243608988415e-07,9.696467911309718e-06,842,9,310.6138,0.03468730025305402
30,HNEAP_RS00985,HNEAP_RS00985,1,NC_013422.1,204946,205860,+,,DNA adenine methylase,0.3858,52,7.901926912683676e-12,6.14117507477215e-11,914,4,352.6212,0.037263494398011125,2.172864416583593e-11,1.4063267153790987e-10,914,4,352.6212,0.03627639045168945
31,HNEAP_RS01020,HNEAP_RS01020,1,NC_013422.1,214686,216095,+,,glutamate--ammonia ligase,0.5504,30,9.799810629978494e-24,2.993943987319947e-32,1409,1,775.5136,0.053161812640397425,5.464248163217042e-23,2.3634056344276036e-31,1409,1,775.5136,0.0517535648123636
32,HNEAP_RS01095,HNEAP_RS01095,1,NC_013422.1,234504,235751,+,,lipoprotein-releasing system transmembrane subunit LolC,0.5825,19,1.1692235769639836e-22,4.3610516683421366e-32,1247,0,726.3775,0.05626227446044968,5.500521843060631e-22,3.120128276434265e-31,1247,0,726.3775,0.05477189589971256
33,HNEAP_RS01100,HNEAP_RS01100,1,NC_013422.1,235744,236451,+,,ABC transporter ATP-binding protein,0.6102,5,1.1108278675838614e-11,1.0094122247399569e-17,707,1,431.41139999999996,0.058937750859684786,2.5917813660207757e-11,3.1691550003418894e-17,707,1,431.41139999999996,0.05737649936138129
34,HNEAP_RS01205,HNEAP_RS01205,1,NC_013422.1,254253,254816,-,,Uma2 family endonuclease,0.5319,20,3.690517656905293e-08,6.299418220469669e-11,563,2,299.4597,0.05137494212105267,6.987504729377314e-08,1.3368317631237537e-10,563,2,299.4597,0.05001402820438989
35,HNEAP_RS01210,HNEAP_RS01210,1,NC_013422.1,255234,256067,-,,2 3 4 5-tetrahydropyridine-2 6-dicarboxylate N-succinyltransferase,0.5779,14,2.2350395948898673e-15,1.6650333988279961e-21,833,0,481.3907,0.05581797152050449,6.288131374133034e-15,6.130770594851507e-21,833,0,481.3907,0.05433936247286505
36,HNEAP_RS01255,HNEAP_RS01255,1,NC_013422.1,264454,265569,-,,5-(carboxyamino)imidazole ribonucleotide synthase,0.5654,16,1.1543860555150378e-18,4.1838977694716524e-26,1115,1,630.421,0.05461062657500128,4.468593249675573e-18,2.2379974161985894e-25,1115,1,630.421,0.05316399989990985
37,HNEAP_RS01285,HNEAP_RS01285,1,NC_013422.1,269152,270015,-,,phosphate transport system regulatory protein PhoU,0.5359,16,0.001480216477158382,3.2917076121489074e-06,863,18,462.48170000000005,0.05176129250361371,0.0025108815079773893,6.999073856686909e-06,863,18,462.48170000000005,0.050390144227735564
38,HNEAP_RS01290,HNEAP_RS01290,1,NC_013422.1,270053,272128,+,,polyphosphate kinase 1,0.54,42,1.8856131963983265e-28,1.7224463845282978e-39,2075,6,1120.5,0.05215730164573874,1.5374578040765403e-22,9.357121467945656e-33,2075,11,1120.5,0.05077566315166487
39,HNEAP_RS01295,HNEAP_RS01295,1,NC_013422.1,272175,273347,-,,glutamate 5-kinase,0.624,14,5.975627211009861e-15,4.853955763751717e-25,1172,5,731.328,0.06027065967952033,2.291094585969135e-15,2.087147654664255e-25,1172,4,731.328,0.05867409964192385
40,HNEAP_RS01300,HNEAP_RS01300,1,NC_013422.1,273354,274481,-,,Obg family GTPase CgtA,0.5922,18,1.7062479524542258e-17,3.5675753532188044e-26,1127,2,667.4093999999999,0.057199174138160155,9.983895585370254e-16,4.6275210010171146e-24,1127,3,667.4093999999999,0.05568397725632579
41,HNEAP_RS01310,HNEAP_RS01310,1,NC_013422.1,274945,275256,-,,50S ribosomal protein L21,0.5545,5,3.389731589983961e-06,3.6750298315873565e-08,311,0,172.4495,0.05355782178252247,4.987551792005968e-06,5.855656709848763e-08,311,0,172.4495,0.0521390837362929
42,HNEAP_RS01370,HNEAP_RS01370,1,NC_013422.1,288905,289603,-,,sulfite exporter TauE/SafE family protein,0.588,19,0.000556674824068054,1.5124603142277358e-07,698,12,410.424,0.05679350623647107,1.0282970254883351e-06,4.2327304295588745e-11,698,6,410.424,0.05528905543181285
43,HNEAP_RS01495,HNEAP_RS01495,1,NC_013422.1,315601,317409,+,,peptidase M61 domain-containing protein,0.5871,26,0.02181293002893393,9.975383807445917e-08,1808,55,1061.4768,0.05670657740039484,0.051102043006697656,7.129100449269647e-07,1808,56,1061.4768,0.05520442932656008
44,HNEAP_RS12125,HNEAP_RS12125,1,NC_013422.1,317310,318233,+,,biotin--[acetyl-CoA-carboxylase] ligase,0.5963,11,5.701872785553841e-12,7.499119006333115e-19,923,4,550.3849,0.05759518328028521,1.5854581828790762e-11,2.9847983058953394e-18,923,4,550.3849,0.05606949618025511
45,HNEAP_RS01505,HNEAP_RS01505,1,NC_013422.1,318234,319001,+,,type III pantothenate kinase,0.5833,8,3.236578554192792e-14,4.827084927495794e-20,767,0,447.39110000000005,0.05633954453696188,8.38935897972748e-14,1.6221159220825696e-19,767,0,447.39110000000005,0.05484711910438171
46,HNEAP_RS01530,HNEAP_RS01530,1,NC_013422.1,319633,320823,+,,elongation factor Tu,0.5592,30,1.1605772912481189e-12,2.507563050069164e-19,1190,8,665.4480000000001,0.05401178348203169,3.9688718820819384e-12,1.2117307645989019e-18,1190,8,665.4480000000001,0.052581020063724074
47,HNEAP_RS01540,HNEAP_RS01540,1,NC_013422.1,321067,321441,+,,preprotein translocase subunit SecE,0.5413,6,2.643188027862392e-07,1.8960334836092524e-09,374,0,202.4462,0.05228286552007109,4.205581246808277e-07,3.2736880321591186e-09,374,0,202.4462,0.050897900859252214
48,HNEAP_RS01545,HNEAP_RS01545,1,NC_013422.1,321454,321987,+,,transcription termination/antitermination protein NusG,0.5206,11,4.2233112450491573e-10,1.1418066207209679e-12,533,0,277.47979999999995,0.05028350229031776,8.186526263376754e-10,2.410018095184449e-12,533,0,277.47979999999995,0.048951500438438385
49,HNEAP_RS01550,HNEAP_RS01550,1,NC_013422.1,322062,322493,+,,50S ribosomal protein L11,0.5255,13,2.6279564488818132e-08,1.7770672630361053e-10,431,0,226.4905,0.050756781508955025,4.488034610290027e-08,3.27073542689772e-10,431,0,226.4905,0.04941224256703683
50,HNEAP_RS01555,HNEAP_RS01555,1,NC_013422.1,322493,323188,+,,50S ribosomal protein L1,0.5417,11,5.976052998158998e-13,6.017473762862078e-17,695,0,376.4815,0.05232150055832718,1.416535656501136e-12,1.661604103574893e-16,695,0,376.4815,0.05093551246158678
51,HNEAP_RS01560,HNEAP_RS01560,1,NC_013422.1,323424,323951,+,,50S ribosomal protein L10,0.5492,7,5.384934760688834e-10,3.35230578722364e-13,527,0,289.4284,0.05304590752562911,1.0360750619784375e-09,7.323437382956357e-13,527,0,289.4284,0.0516407300053599
52,HNEAP_RS01565,HNEAP_RS01565,1,NC_013422.1,323983,324360,+,,50S ribosomal protein L7/L12,0.4894,4,2.3408003831232981e-07,1.1793296503762516e-08,377,0,184.5038,0.04726996930634175,3.7383524747495e-07,1.9350095497625234e-08,377,0,184.5038,0.0460177954563422
53,HNEAP_RS01570,HNEAP_RS01570,1,NC_013422.1,324553,328719,+,,DNA-directed RNA polymerase subunit beta,0.5476,77,4.6332298638788484e-68,1.0204927543073394e-92,4166,3,2281.3016,0.0528913673726047,7.438078637445456e-66,4.431933765676322e-90,4166,3,2281.3016,0.051490283596021626
54,HNEAP_RS01575,HNEAP_RS01575,1,NC_013422.1,328797,333002,+,,DNA-directed RNA polymerase subunit beta',0.5573,84,1.1038508357102497e-74,8.989195498496044e-102,4205,0,2343.4465,0.053828267050315196,2.0448633563774312e-72,5.055756477276403e-99,4205,0,2343.4465,0.052402364952634874
55,HNEAP_RS01580,HNEAP_RS01580,1,NC_013422.1,333122,333499,+,,30S ribosomal protein S12,0.5423,16,2.3408003831232981e-07,1.5530832421518609e-09,377,0,204.4471,0.05237945311571134,3.7383524747495e-07,2.696214270278309e-09,377,0,204.4471,0.050991929865088624
56,HNEAP_RS01585,HNEAP_RS01585,1,NC_013422.1,333527,333997,+,,30S ribosomal protein S7,0.5287,12,5.416145726588819e-09,1.9996466987229948e-11,470,0,248.48899999999998,0.05106586181500384,9.708699306712034e-09,3.905901954281231e-11,470,0,248.48899999999998,0.049713135385713356
57,HNEAP_RS01590,HNEAP_RS01590,1,NC_013422.1,334015,336114,+,,elongation factor G,0.5357,45,1.2106338713185451e-37,3.704927519754594e-49,2099,0,1124.4343,0.05174197498448564,1.640598172858669e-36,7.681667675032426e-48,2099,0,1124.4343,0.05037133842656827
58,HNEAP_RS01595,HNEAP_RS01595,1,NC_013422.1,336147,337337,+,,elongation factor Tu,0.5508,33,1.1760003716350139e-21,5.585631113247183e-29,1190,0,655.452,0.05320044767865353,5.1543478425493224e-21,3.2790715024894007e-28,1190,0,655.452,0.051791176414698166
59,HNEAP_RS01600,HNEAP_RS01600,1,NC_013422.1,337343,337654,+,,30S ribosomal protein S10,0.5128,3,3.389731589983961e-06,1.3766696066772287e-07,311,0,159.48080000000002,0.049530119044323764,4.987551792005968e-06,2.114209371330048e-07,311,0,159.48080000000002,0.04821807419291435
60,HNEAP_RS01605,HNEAP_RS01605,1,NC_013422.1,337802,338446,+,,50S ribosomal protein L3,0.5426,18,4.71408031896153e-12,8.791147371082228e-16,644,0,349.4344,0.05240842939440342,1.0488316392216421e-11,2.2568649867095385e-15,644,0,349.4344,0.05102013856683954
61,HNEAP_RS01610,HNEAP_RS01610,1,NC_013422.1,338455,339063,+,,50S ribosomal protein L4,0.5238,15,5.292563977549742e-10,6.530293184018472e-13,608,1,318.47040000000004,0.05059258259636659,1.0921936138957708e-09,1.4979810159576998e-12,608,1,318.47040000000004,0.049252393257114925
62,HNEAP_RS01615,HNEAP_RS01615,1,NC_013422.1,339060,339353,+,,50S ribosomal protein L23,0.517,5,7.02663480829533e-06,3.031217590384395e-07,293,0,151.481,0.04993578694601284,1.0110254819482885e-05,4.5568411177804243e-07,293,0,151.481,0.04861299601742729
63,HNEAP_RS01620,HNEAP_RS01620,1,NC_013422.1,339383,340207,+,,50S ribosomal protein L2,0.5539,24,3.2179275156153725e-15,2.1059057152228495e-20,824,0,456.4136,0.053499869225138316,8.952801348859737e-15,7.225419298994567e-20,824,0,456.4136,0.05208266633279105
64,HNEAP_RS12435,HNEAP_RS12435,1,NC_013422.1,340232,340507,+,,30S ribosomal protein S19,0.5399,5,1.4565636074265443e-05,4.015050074724249e-07,275,0,148.47250000000003,0.05214764288617473,2.0494474398984764e-05,5.992675734232547e-07,275,0,148.47250000000003,0.05076626025108124
65,HNEAP_RS01630,HNEAP_RS01630,1,NC_013422.1,340517,340849,+,,50S ribosomal protein L22,0.5465,2,1.4481700450341268e-06,1.516721285298652e-08,332,0,181.438,0.05278512101740041,2.1870915106479613e-06,2.4751097123462343e-08,332,0,181.438,0.051386851689601575
66,HNEAP_RS01635,HNEAP_RS01635,1,NC_013422.1,340860,341534,+,,30S ribosomal protein S3,0.5437,12,1.3988147110721759e-12,1.621285496993827e-16,674,0,366.4538,0.0525146757496077,3.2303380620454504e-12,4.358228303368509e-16,674,0,366.4538,0.05112357047325961
67,HNEAP_RS01640,HNEAP_RS01640,1,NC_013422.1,341566,341979,+,,50S ribosomal protein L16,0.5145,10,5.4475375905749834e-08,7.203667118111391e-10,413,0,212.4885,0.0496943179569122,9.097684683980207e-08,1.2759746614991434e-09,413,0,212.4885,0.04837792350283624
68,HNEAP_RS01650,HNEAP_RS01650,1,NC_013422.1,342178,342447,+,,30S ribosomal protein S17,0.4926,8,1.857192033852629e-05,2.018296010260194e-06,269,0,132.5094,0.047579049612390574,2.593751384898774e-05,2.880582062575952e-06,269,0,132.5094,0.04631868827501873
69,HNEAP_RS01655,HNEAP_RS01655,1,NC_013422.1,342460,342828,+,,50S ribosomal protein L14,0.5149,10,3.370197994987483e-07,7.0340633641307825e-09,368,0,189.4832,0.0497329529951683,5.322523510899915e-07,1.17117650141567e-08,368,0,189.4832,0.04841553510517082
70,HNEAP_RS01660,HNEAP_RS01660,1,NC_013422.1,342839,343162,+,,50S ribosomal protein L24,0.4691,9,2.085021780312084e-06,3.1308204031473773e-07,323,0,151.51930000000002,0.04530924111484454,3.1138973824808796e-06,4.6978958025298194e-07,323,0,151.51930000000002,0.04410900663786295
71,HNEAP_RS01665,HNEAP_RS01665,1,NC_013422.1,343174,343713,+,,50S ribosomal protein L5,0.5,14,3.312270002371776e-10,2.5885876330439484e-12,539,0,269.5,0.04829379782012847,6.468567261234991e-10,5.339628903781736e-12,539,0,269.5,0.04701450291820821
72,HNEAP_RS01670,HNEAP_RS01670,1,NC_013422.1,343725,344030,+,,30S ribosomal protein S14,0.5163,3,4.32207867457261e-06,1.6752467834540713e-07,305,0,157.4715,0.049868175629064655,6.312174255325463e-06,2.559258660988316e-07,305,0,157.4715,0.04854717571334179
73,HNEAP_RS01675,HNEAP_RS01675,1,NC_013422.1,344043,344435,+,,30S ribosomal protein S8,0.5038,10,1.2751051108754277e-07,3.217127488024586e-09,392,0,197.4896,0.048660830683561446,2.0746810697119665e-07,5.469952801327207e-09,392,0,197.4896,0.0473718131403866
74,HNEAP_RS01680,HNEAP_RS01680,1,NC_013422.1,344449,344976,+,,50S ribosomal protein L6,0.4905,14,5.384934760688834e-10,7.79091674075527e-12,527,0,258.4935,0.04737621566154603,1.0360750619784375e-09,1.5592224704455356e-11,527,0,258.4935,0.04612122736276225
75,HNEAP_RS01685,HNEAP_RS01685,1,NC_013422.1,344986,345342,+,,50S ribosomal protein L18,0.5406,8,5.479111401128739e-07,5.1127953338405645e-09,356,0,192.4536,0.0522152542031229,8.525124117491939e-07,8.592632601403621e-09,356,0,192.4536,0.05083208055516672
76,HNEAP_RS01690,HNEAP_RS01690,1,NC_013422.1,345354,345869,+,,30S ribosomal protein S5,0.5136,15,8.754576878126184e-10,4.169378410527977e-12,515,0,264.50399999999996,0.04960738912083596,1.6594888646928559e-09,8.493973213093252e-12,515,0,264.50399999999996,0.048293297397583465
77,HNEAP_RS01700,HNEAP_RS01700,1,NC_013422.1,346057,346485,+,,50S ribosomal protein L15,0.5431,6,2.967439288505232e-08,9.647067416526604e-11,428,0,232.44680000000002,0.05245672319222355,5.048960556702721e-08,1.8062812139522278e-10,428,0,232.44680000000002,0.051067153069757766
78,HNEAP_RS01705,HNEAP_RS01705,1,NC_013422.1,346489,347823,+,,preprotein translocase subunit SecY,0.5079,54,3.4494581681585215e-24,7.214093377952857e-30,1334,0,677.5386,0.0490568398256865,1.8079077160626738e-23,4.460137560986547e-29,1334,0,677.5386,0.0477573320643159
79,HNEAP_RS01710,HNEAP_RS01710,1,NC_013422.1,347900,348256,+,,30S ribosomal protein S13,0.5294,7,8.609362784616608e-06,1.548968758921333e-07,356,1,188.4664,0.05113347313195202,8.525124117491939e-07,1.2751856214687612e-08,356,0,188.4664,0.04977895568979885
80,HNEAP_RS01715,HNEAP_RS01715,1,NC_013422.1,348299,348688,+,,30S ribosomal protein S11,0.5359,7,1.4398248512054138e-07,1.0494875632203491e-09,389,0,208.4651,0.0517612925036137,2.3339799708087836e-07,1.8411450966855101e-09,389,0,208.4651,0.050390144227735564
81,HNEAP_RS01720,HNEAP_RS01720,1,NC_013422.1,348702,349325,+,,30S ribosomal protein S4,0.492,12,1.1034247690525183e-11,6.71262506347138e-14,623,0,306.516,0.047521097055006414,2.3918076112703026e-11,1.5284250743708937e-13,623,0,306.516,0.04626227087151689
82,HNEAP_RS01725,HNEAP_RS01725,1,NC_013422.1,349342,350337,+,,DNA-directed RNA polymerase subunit alpha,0.504,25,3.16261679451243e-18,2.722242081469201e-22,995,0,501.48,0.048680148202689504,1.0880515150938812e-17,1.0478032706788032e-21,995,0,501.48,0.04739061894155388
83,HNEAP_RS01730,HNEAP_RS01730,1,NC_013422.1,350367,350747,+,,50S ribosomal protein L17,0.5354,8,2.0730066782503761e-07,1.7263269183008942e-09,380,0,203.452,0.05171299870579357,3.3230315633711524e-07,2.9877998691492576e-09,380,0,203.452,0.05034312972481735
84,HNEAP_RS01745,HNEAP_RS01745,1,NC_013422.1,353784,356195,+,,ribonuclease R,0.5717,31,1.0420593180244904e-28,3.853599487630693e-44,2411,11,1378.3687,0.05521912842753489,1.4726070736764425e-27,1.1780141260063472e-42,2411,11,1378.3687,0.05375638263667927
85,HNEAP_RS01755,HNEAP_RS01755,1,NC_013422.1,357115,358290,+,,pyridoxal phosphate-dependent aminotransferase,0.5816,20,2.1588668236036243e-21,3.1426664932163835e-30,1175,0,683.38,0.05617534562437344,9.28758125488133e-21,2.0008754448090558e-29,1175,0,683.38,0.054687269794459786
86,HNEAP_RS01770,HNEAP_RS01770,1,NC_013422.1,360107,362722,+,,alanine--tRNA ligase,0.5826,43,1.0177944736463988e-46,1.6771366488255992e-66,2615,0,1523.499,0.0562719332200137,2.617748820818452e-45,1.039870124399985e-64,2615,0,1523.499,0.05478129880029621
87,HNEAP_RS01775,HNEAP_RS01775,1,NC_013422.1,362922,364154,+,,aspartate kinase,0.5312,33,2.1464261836697096e-22,6.586748019553996e-29,1232,0,654.4384,0.05130733080410449,9.911349626029118e-22,3.8428268828109834e-28,1232,0,654.4384,0.0499482079003044
88,HNEAP_RS01815,HNEAP_RS01815,1,NC_013422.1,370195,371868,-,,hypothetical protein,0.601,30,1.286643349098031e-07,1.0601147155020649e-16,1673,29,1005.473,0.05804914497979442,1.7945928662896429e-07,2.0863286407083023e-16,1673,28,1005.473,0.05651143250768626
89,HNEAP_RS01830,HNEAP_RS01830,1,NC_013422.1,372792,376835,-,,hypothetical protein,0.5883,78,2.2375491936532548e-35,1.2822432553821965e-61,4043,33,2378.4969,0.05682248251516316,2.441903817762378e-34,4.444147849800862e-60,4043,32,2378.4969,0.05531726413356378
90,HNEAP_RS01850,HNEAP_RS01850,1,NC_013422.1,378823,386097,-,,hypothetical protein,0.5783,140,0.451161297166469,6.217754061193347e-11,7274,286,4206.5542000000005,0.055856606558760596,0.5155280595474188,2.0271262499916956e-10,7274,280,4206.5542000000005,0.054376974075199626
