locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,length,nBegin,nEnd,nStrains,insertionIndex,normalizedGCInsertions,normalizedGCStrains,gammaLikelyRatio,ones
HNEAP_RS00145,HNEAP_RS00145,1,NC_013422.1,34356,35618,+,,ketohexokinase,0.5764,22,1262,34482.2,35491.8,74,0.073296355,1.827226164,1.827226164,-11.08422069,1
HNEAP_RS00150,HNEAP_RS00150,1,NC_013422.1,35755,38121,+,,GGDEF domain-containing protein,0.5758,27,2366,35991.6,37884.4,111,0.05864328,1.463323766,1.463323766,-9.884639496,1
HNEAP_RS00155,HNEAP_RS00155,1,NC_013422.1,38154,38462,+,,BolA family transcriptional regulator,0.5793,4,308,38184.8,38431.2,10,0.040584416,1.00712226,1.00712226,-7.219330074,1
HNEAP_RS00160,HNEAP_RS00160,1,NC_013422.1,38491,39528,+,,HDOD domain-containing protein,0.5694,17,1037,38594.7,39424.3,27,0.032545805,0.820425251,0.820425251,-5.638199409,1
HNEAP_RS00165,HNEAP_RS00165,1,NC_013422.1,39572,41770,-,,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,0.5789,30,2198,39791.8,41550.2,18,0.010236579,0.254185786,0.254185786,2.321100922,1
HNEAP_RS00170,HNEAP_RS00170,1,NC_013422.1,41772,42095,-,,DNA-directed RNA polymerase subunit omega,0.5772,3,323,41804.3,42062.7,6,0.023219814,0.578122156,0.578122156,-3.099605786,1
HNEAP_RS00175,HNEAP_RS00175,1,NC_013422.1,42146,42775,-,,guanylate kinase,0.5794,9,629,42208.9,42712.1,0,0,0,0,13.366775,1
HNEAP_RS00180,HNEAP_RS00180,1,NC_013422.1,42782,43396,-,,DedA family protein,0.5707,11,614,42843.4,43334.6,29,0.059039088,1.485189272,1.485189272,-9.961729832,1
HNEAP_RS00185,HNEAP_RS00185,1,NC_013422.1,43484,43954,-,,glycine zipper 2TM domain-containing protein,0.6178,11,470,43531,43907,32,0.085106383,1.99128052,1.99128052,-11.57434679,1
HNEAP_RS00190,HNEAP_RS00190,1,NC_013422.1,44187,44936,+,,membrane protein,0.5427,18,749,44261.9,44861.1,3,0.005006676,0.131838548,0.131838548,6.216165974,1
HNEAP_RS00195,HNEAP_RS00195,1,NC_013422.1,44946,45716,-,,exodeoxyribonuclease III,0.5551,17,770,45023,45639,25,0.040584416,1.047005754,1.047005754,-7.528795393,1
HNEAP_RS00200,HNEAP_RS00200,1,NC_013422.1,46091,47482,-,,hypothetical protein,0.5338,27,1391,46230.1,47342.9,43,0.038641265,1.032877726,1.032877726,-7.420141631,1
HNEAP_RS00205,HNEAP_RS00205,1,NC_013422.1,48094,50388,+,,hypothetical protein,0.5712,60,2294,48323.4,50158.6,145,0.079010462,1.986005305,1.986005305,-11.55901206,1
HNEAP_RS00210,HNEAP_RS00210,1,NC_013422.1,50405,51196,-,,TIGR01458 family HAD-type hydrolase,0.5934,13,791,50484.1,51116.9,50,0.079013906,1.918195368,1.918195368,-11.35943431,1
HNEAP_RS00215,HNEAP_RS00215,1,NC_013422.1,51408,52196,-,,competence/damage-inducible protein A,0.5805,10,788,51486.8,52117.2,40,0.063451777,1.571618449,1.571618449,-10.25972895,1
HNEAP_RS00220,HNEAP_RS00220,1,NC_013422.1,52193,53305,-,,ferrochelatase,0.5732,27,1112,52304.2,53193.8,0,0,0,0,13.366775,1
HNEAP_RS00225,HNEAP_RS00225,1,NC_013422.1,53431,54390,+,,thioredoxin-disulfide reductase,0.5594,13,959,53526.9,54294.1,0,0,0,0,13.366775,1
HNEAP_RS00230,HNEAP_RS00230,1,NC_013422.1,54484,54804,+,,hypothetical protein,0.6012,4,320,54516,54772,15,0.05859375,1.405578932,1.405578932,-9.677590702,1
HNEAP_RS00235,HNEAP_RS00235,1,NC_013422.1,54801,55673,+,,hypothetical protein,0.6174,14,872,54888.2,55585.8,60,0.086009174,2.01359901,2.01359901,-11.63892712,1
HNEAP_RS00240,HNEAP_RS00240,1,NC_013422.1,55687,56304,-,,5'-deoxynucleotidase,0.5485,12,617,55748.7,56242.3,17,0.034440843,0.89821356,0.89821356,-6.326603353,1
HNEAP_RS00245,HNEAP_RS00245,1,NC_013422.1,56333,57763,-,,deoxyguanosinetriphosphate triphosphohydrolase,0.5947,16,1430,56476,57620,53,0.046328671,1.122459324,1.122459324,-8.092465384,1
HNEAP_RS00250,HNEAP_RS00250,1,NC_013422.1,57863,58720,+,,NAD(P)-dependent oxidoreductase,0.6131,5,857,57948.7,58634.3,49,0.071470245,1.683974885,1.683974885,-10.63204221,1
HNEAP_RS00255,HNEAP_RS00255,1,NC_013422.1,58846,60408,+,,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH,0.6065,19,1562,59002.2,60251.8,0,0,0,0,13.366775,1
HNEAP_RS00260,HNEAP_RS00260,1,NC_013422.1,60466,62061,+,,DNA recombination protein RmuC,0.5977,18,1595,60625.5,61901.5,73,0.057210031,1.379733598,1.379733598,-9.58324413,1
HNEAP_RS00265,HNEAP_RS00265,1,NC_013422.1,62045,62242,-,,hypothetical protein,0.5101,0,197,62064.7,62222.3,4,0.025380711,0.70682729,0.70682729,-4.535787081,1
HNEAP_RS00270,HNEAP_RS00270,1,NC_013422.1,62254,63108,-,,metallophosphoesterase,0.5333,22,854,62339.4,63022.6,25,0.036592506,0.978944473,0.978944473,-6.995383372,1
HNEAP_RS00275,HNEAP_RS00275,1,NC_013422.1,63522,63998,+,,hypothetical protein,0.499,14,476,63569.6,63950.4,14,0.036764706,1.044337732,1.044337732,-7.508355851,1
HNEAP_RS00280,HNEAP_RS00280,1,NC_013422.1,64169,64549,+,,hypothetical protein,0.5249,9,380,64207,64511,13,0.042763158,1.160568716,1.160568716,-8.367403073,1
HNEAP_RS00285,HNEAP_RS00285,1,NC_013422.1,64607,67444,+,,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,0.5648,41,2837,64890.7,67160.3,77,0.033926683,0.861572098,0.861572098,-6.008225297,1
HNEAP_RS00290,HNEAP_RS00290,1,NC_013422.1,67499,67957,+,,hypothetical protein,0.5882,6,458,67544.8,67911.2,23,0.062772926,1.53621959,1.53621959,-10.13894777,1
HNEAP_RS00295,HNEAP_RS00295,1,NC_013422.1,68056,68586,+,,molecular chaperone Skp,0.5593,10,530,68109,68533,39,0.091981132,2.356751743,2.356751743,-12.57631922,1
HNEAP_RS00300,HNEAP_RS00300,1,NC_013422.1,68944,69192,+,,phosphopantetheine-binding protein,0.5141,4,248,68968.8,69167.2,6,0.030241935,0.83629821,0.83629821,-5.782588696,1
HNEAP_RS00305,HNEAP_RS00305,1,NC_013422.1,69189,70436,+,,3-oxoacyl-ACP synthase,0.625,16,1247,69313.7,70311.3,88,0.088211708,2.042115784,2.042115784,-11.72075055,1
HNEAP_RS00310,HNEAP_RS00310,1,NC_013422.1,70516,70800,+,,acyl carrier protein,0.5123,3,284,70544.4,70771.6,4,0.017605634,0.488401131,0.488401131,-1.932667884,1
HNEAP_RS12050,HNEAP_RS12050,1,NC_013422.1,70809,71507,+,,membrane protein-like protein,0.5851,15,698,70878.8,71437.2,27,0.048352436,1.189033971,1.189033971,-8.56888142,1
HNEAP_RS00320,HNEAP_RS00320,1,NC_013422.1,71516,73297,+,,AMP-dependent synthetase and ligase,0.5881,30,1781,71694.1,73118.9,90,0.06316676,1.546097769,1.546097769,-10.17282648,1
HNEAP_RS00325,HNEAP_RS00325,1,NC_013422.1,73294,74238,+,,acyl-CoA synthetase,0.5831,15,944,73388.4,74143.6,39,0.051641949,1.273900525,1.273900525,-9.151698398,1
HNEAP_RS00330,HNEAP_RS00330,1,NC_013422.1,74238,74837,+,,outer membrane lipoprotein carrier protein LolA,0.5767,9,599,74297.9,74777.1,35,0.073038397,1.819932102,1.819932102,-11.06176652,1
HNEAP_RS00335,HNEAP_RS00335,1,NC_013422.1,74834,77248,+,,MMPL domain-containing protein,0.5925,39,2414,75075.4,77006.6,96,0.049710025,1.208469235,1.208469235,-8.704642487,1
HNEAP_RS00340,HNEAP_RS00340,1,NC_013422.1,77245,77697,+,,hypothetical protein,0.6004,5,452,77290.2,77651.8,24,0.066371681,1.594100714,1.594100714,-10.33555099,1
HNEAP_RS00345,HNEAP_RS00345,1,NC_013422.1,78057,79043,+,,2-hydroxyacid dehydrogenase,0.5755,20,986,78155.6,78944.4,25,0.031693712,0.791227825,0.791227825,-5.366875176,1
HNEAP_RS00350,HNEAP_RS00350,1,NC_013422.1,79194,79484,+,,PilZ domain-containing protein,0.6254,2,290,79223,79455,8,0.034482759,0.797813005,0.797813005,-5.428739105,1
HNEAP_RS00355,HNEAP_RS00355,1,NC_013422.1,79586,80446,-,,glutamate racemase,0.5877,17,860,79672,80360,34,0.049418605,1.21034345,1.21034345,-8.717659561,1
HNEAP_RS00360,HNEAP_RS00360,1,NC_013422.1,80598,80861,-,,Txe/YoeB family addiction module toxin,0.4848,7,263,80624.3,80834.7,7,0.033269962,0.969881571,0.969881571,-6.922367306,1
HNEAP_RS00365,HNEAP_RS00365,1,NC_013422.1,80858,81100,-,,prevent-host-death family protein,0.4691,7,242,80882.2,81075.8,6,0.030991736,0.930480406,0.930480406,-6.599016149,1
HNEAP_RS00370,HNEAP_RS00370,1,NC_013422.1,81093,81296,+,,hypothetical protein,0.4755,11,203,81113.3,81275.7,14,0.086206897,2.557066273,2.557066273,-13.08126729,1
HNEAP_RS00375,HNEAP_RS00375,1,NC_013422.1,81463,81732,-,,hypothetical protein,0.5296,4,269,81489.9,81705.1,3,0.01394052,0.375301517,0.375301517,-0.169613549,1
HNEAP_RS00380,HNEAP_RS00380,1,NC_013422.1,82067,82297,-,,hypothetical protein,0.5022,6,230,82090,82274,10,0.054347826,1.534953245,1.534953245,-10.13459479,1
HNEAP_RS00385,HNEAP_RS00385,1,NC_013422.1,82401,82835,-,,hypothetical protein,0.4483,17,434,82444.4,82791.6,17,0.048963134,1.530678458,1.530678458,-10.11988387,1
HNEAP_RS00390,HNEAP_RS00390,1,NC_013422.1,82918,83169,-,,hypothetical protein,0.4841,11,251,82943.1,83143.9,5,0.024900398,0.726833968,0.726833968,-4.73961878,1
HNEAP_RS00395,HNEAP_RS00395,1,NC_013422.1,83469,83678,-,,hypothetical protein,0.5571,3,209,83489.9,83657.1,4,0.023923445,0.615168986,0.615168986,-3.53777966,1
HNEAP_RS00400,HNEAP_RS00400,1,NC_013422.1,83787,83966,+,,hypothetical protein,0.5833,1,179,83804.9,83948.1,6,0.041899441,1.033249572,1.033249572,-7.423014737,1
HNEAP_RS00405,HNEAP_RS00405,1,NC_013422.1,84404,84736,-,,hypothetical protein,0.3664,16,332,84437.2,84702.8,3,0.011295181,0.42157502,0.42157502,-0.939421249,1
HNEAP_RS00410,HNEAP_RS00410,1,NC_013422.1,84810,85118,-,,hypothetical protein,0.5372,10,308,84840.8,85087.2,9,0.036525974,0.970740074,0.970740074,-6.929305069,1
HNEAP_RS00415,HNEAP_RS00415,1,NC_013422.1,85475,86020,-,,yfeABCD locus regulator,0.4505,16,545,85529.5,85965.5,18,0.041284404,1.285021097,1.285021097,-9.226236586,1
HNEAP_RS00420,HNEAP_RS00420,1,NC_013422.1,86050,86634,-,,ATPase,0.5504,16,584,86108.4,86575.6,26,0.055650685,1.446816451,1.446816451,-9.825969172,1
HNEAP_RS00425,HNEAP_RS00425,1,NC_013422.1,87553,87843,-,,DUF1330 domain-containing protein,0.3746,13,290,87582,87814,0,0,0,0,13.366775,1
HNEAP_RS00430,HNEAP_RS00430,1,NC_013422.1,87840,88211,-,,VOC family protein,0.4194,16,371,87877.1,88173.9,0,0,0,0,13.366775,1
HNEAP_RS00435,HNEAP_RS00435,1,NC_013422.1,88585,89196,-,,cation transporter,0.4804,34,611,88646.1,89134.9,22,0.045008183,1.322835598,1.322835598,-9.37173862,1
HNEAP_RS00440,HNEAP_RS00440,1,NC_013422.1,89303,89782,-,,N-acetyltransferase,0.5375,14,479,89350.9,89734.1,1,0.002609603,0.069319603,0.069319603,9.619386875,1
HNEAP_RS00445,HNEAP_RS00445,1,NC_013422.1,90138,90461,-,,hypothetical protein,0.4722,12,323,90170.3,90428.7,16,0.061919505,1.848129399,1.848129399,-11.14824542,1
HNEAP_RS12420,HNEAP_RS12420,1,NC_013422.1,90867,91082,-,,hypothetical protein,0.4444,5,215,90888.5,91060.5,10,0.058139535,1.831715669,1.831715669,-11.09801204,1
HNEAP_RS00450,HNEAP_RS00450,1,NC_013422.1,91085,91495,-,,mercury transporter MerC,0.4696,17,410,91126,91454,12,0.036585366,1.097375829,1.097375829,-7.908051487,1
HNEAP_RS00455,HNEAP_RS00455,1,NC_013422.1,91540,91896,-,,hypothetical protein,0.5042,10,356,91575.6,91860.4,12,0.042134831,1.185771293,1.185771293,-8.545949605,1
HNEAP_RS00460,HNEAP_RS00460,1,NC_013422.1,91913,92266,-,,hypothetical protein,0.5395,11,353,91948.3,92230.7,18,0.063739377,1.687439885,1.687439885,-10.643268,1
HNEAP_RS00465,HNEAP_RS00465,1,NC_013422.1,92363,93529,-,,hypothetical protein,0.4053,49,1166,92479.6,93412.4,39,0.041809605,1.428884889,1.428884889,-9.761770011,1
HNEAP_RS00470,HNEAP_RS00470,1,NC_013422.1,93675,93935,+,,integrase,0.5134,8,260,93701,93909,20,0.096153846,2.662268378,2.662268378,-13.33570056,1
GFF94,,7,NC_013422.1,94056,94408,+,,hypothetical protein,0.5354,11,352,94091.2,94372.8,19,0.067471591,1.798630484,1.798630484,-10.99585186,1
HNEAP_RS00480,HNEAP_RS00480,1,NC_013422.1,94568,95170,+,,class I SAM-dependent methyltransferase,0.5688,7,602,94628.2,95109.8,24,0.049833887,1.257435232,1.257435232,-9.040590034,1
HNEAP_RS00485,HNEAP_RS00485,1,NC_013422.1,95561,98821,-,,SNF2-like protein,0.5747,55,3260,95887,98495,211,0.080904908,2.022338486,2.022338486,-11.66408526,1
HNEAP_RS00490,HNEAP_RS00490,1,NC_013422.1,99273,99587,+,,ferrous iron transport protein A,0.5937,5,314,99304.4,99555.6,6,0.02388535,0.579589266,0.579589266,-3.117393053,1
HNEAP_RS00495,HNEAP_RS00495,1,NC_013422.1,99584,99838,+,,ferrous iron transport protein A,0.5725,3,254,99609.4,99812.6,0,0,0,0,13.366775,1
HNEAP_RS00500,HNEAP_RS00500,1,NC_013422.1,99908,102244,+,,Fe(2+) transporter permease subunit FeoB,0.5627,41,2336,100141.6,102010.4,0,0,0,0,13.366775,1
HNEAP_RS12055,HNEAP_RS12055,1,NC_013422.1,102268,102612,+,,hypothetical protein,0.5884,6,344,102302.4,102577.6,11,0.03997093,0.977890822,0.977890822,-6.986919762,1
HNEAP_RS00510,HNEAP_RS00510,1,NC_013422.1,102736,103629,-,,molecular chaperone DnaJ,0.5884,11,893,102825.3,103539.7,29,0.040593505,0.993122146,0.993122146,-7.108633239,1
HNEAP_RS00515,HNEAP_RS00515,1,NC_013422.1,103831,103956,-,,50S ribosomal protein L36,0.4683,3,125,103843.5,103943.5,1,0.01,0.300693133,0.300693133,1.263470139,1
HNEAP_RS00520,HNEAP_RS00520,5,NC_013422.1,104152,104227,-,,tRNA-Phe,0.5526,2,75,104159.5,104219.5,0,0,0,0,13.366775,1
HNEAP_RS00525,HNEAP_RS00525,1,NC_013422.1,104375,104971,+,,imidazoleglycerol-phosphate dehydratase,0.5695,11,596,104434.6,104911.4,0,0,0,0,13.366775,1
HNEAP_RS00530,HNEAP_RS00530,1,NC_013422.1,104974,105624,+,,imidazole glycerol phosphate synthase subunit HisH,0.5822,14,650,105039,105559,0,0,0,0,13.366775,1
HNEAP_RS00535,HNEAP_RS00535,1,NC_013422.1,105661,106416,+,,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,0.5913,12,755,105736.5,106340.5,0,0,0,0,13.366775,1
HNEAP_RS00540,HNEAP_RS00540,1,NC_013422.1,106496,107269,+,,imidazole glycerol phosphate synthase subunit HisF,0.615,7,773,106573.3,107191.7,0,0,0,0,13.366775,1
HNEAP_RS00545,HNEAP_RS00545,1,NC_013422.1,107266,107676,+,,phosphoribosyl-AMP cyclohydrolase,0.5693,7,410,107307,107635,0,0,0,0,13.366775,1
HNEAP_RS00550,HNEAP_RS00550,1,NC_013422.1,107663,108037,+,,phosphoribosyl-ATP diphosphatase,0.5733,6,374,107700.4,107999.6,1,0.003342246,0.083730273,0.083730273,8.667178965,1
HNEAP_RS00555,HNEAP_RS00555,1,NC_013422.1,108062,108343,+,,twin-arginine translocase subunit TatA,0.5355,3,281,108090.1,108314.9,0,0,0,0,13.366775,1
HNEAP_RS12060,HNEAP_RS12060,1,NC_013422.1,108390,109016,+,,twin-arginine translocase subunit TatB,0.5598,6,626,108452.6,108953.4,4,0.00798722,0.204483364,0.204483364,3.654440666,1
HNEAP_RS00565,HNEAP_RS00565,1,NC_013422.1,109082,110113,+,,twin-arginine translocase subunit TatC,0.5601,23,1031,109185.1,110009.9,3,0.003637245,0.09307293,0.09307293,8.115785901,1
HNEAP_RS00570,HNEAP_RS00570,1,NC_013422.1,110181,111722,+,,2 3-bisphosphoglycerate-independent phosphoglycerate mutase,0.5927,24,1541,110335.1,111567.9,0,0,0,0,13.366775,1
HNEAP_RS00575,HNEAP_RS00575,1,NC_013422.1,111734,112534,-,,iron export ABC transporter permease subunit FetB,0.5955,12,800,111814,112454,26,0.040625,0.983061116,0.983061116,-7.028387942,1
HNEAP_RS00580,HNEAP_RS00580,1,NC_013422.1,112531,113148,-,,ABC transporter,0.5437,10,617,112592.7,113086.3,19,0.038492707,1.011920997,1.011920997,-7.257019626,1
HNEAP_RS00585,HNEAP_RS00585,1,NC_013422.1,113272,114618,-,,hypothetical protein,0.5828,22,1346,113406.6,114483.4,49,0.045505201,1.123046756,1.123046756,-8.096750532,1
HNEAP_RS00590,HNEAP_RS00590,1,NC_013422.1,114766,116844,+,,DNA helicase RecG,0.6013,21,2078,114973.8,116636.2,147,0.088426372,2.120897455,2.120897455,-11.94289096,1
HNEAP_RS00595,HNEAP_RS00595,1,NC_013422.1,117014,117433,+,,Hsp20/alpha crystallin family protein,0.5571,5,419,117055.9,117391.1,18,0.053699284,1.380826804,1.380826804,-9.587256295,1
HNEAP_RS12065,HNEAP_RS12065,1,NC_013422.1,117857,118837,+,,AraC family transcriptional regulator,0.6483,14,980,117955,118739,50,0.06377551,1.427569499,1.427569499,-9.757041277,1
HNEAP_RS00605,HNEAP_RS00605,1,NC_013422.1,118927,120123,+,,OmpA family protein,0.6708,10,1196,119046.6,120003.4,60,0.06270903,1.360241308,1.360241308,-9.511382702,1
HNEAP_RS00610,HNEAP_RS00610,1,NC_013422.1,120120,121379,+,,hypothetical protein,0.7175,6,1259,120245.9,121253.1,67,0.066521048,1.355811021,1.355811021,-9.494963825,1
HNEAP_RS00615,HNEAP_RS00615,1,NC_013422.1,121407,121916,+,,hypothetical protein,0.5529,9,509,121457.9,121865.1,14,0.034381139,0.890177016,0.890177016,-6.257622182,1
HNEAP_RS00620,HNEAP_RS00620,1,NC_013422.1,121913,122284,+,,hypothetical protein,0.6075,6,371,121950.1,122246.9,18,0.0606469,1.441017023,1.441017023,-9.805259393,1
HNEAP_RS12070,HNEAP_RS12070,1,NC_013422.1,122315,123301,+,,AraC family transcriptional regulator,0.5633,20,986,122413.6,123202.4,51,0.064655172,1.645902652,1.645902652,-10.50770846,1
HNEAP_RS12075,HNEAP_RS12075,1,NC_013422.1,123488,126406,+,,outer membrane autotransporter barrel domain-containing protein,0.5725,68,2918,123779.8,126114.2,157,0.067254969,1.687022723,1.687022723,-10.64191728,1
HNEAP_RS00635,HNEAP_RS00635,1,NC_013422.1,126577,127962,-,,diguanylate cyclase,0.6075,17,1385,126715.5,127823.5,54,0.048736462,1.158015846,1.158015846,-8.349175311,1
HNEAP_RS00640,HNEAP_RS00640,1,NC_013422.1,127966,128337,-,,response regulator,0.5806,2,371,128003.1,128299.9,27,0.09097035,2.252863981,2.252863981,-12.30286126,1
HNEAP_RS00645,HNEAP_RS00645,1,NC_013422.1,128341,130917,-,,sensor histidine kinase,0.5813,35,2576,128598.6,130659.4,114,0.055318323,1.36844333,1.36844333,-9.541695555,1
HNEAP_RS00650,HNEAP_RS00650,1,NC_013422.1,131115,131918,+,,serine/threonine-protein phosphatase,0.5908,11,803,131195.3,131837.7,46,0.071606476,1.745355531,1.745355531,-10.82873815,1
HNEAP_RS00655,HNEAP_RS00655,1,NC_013422.1,131937,133043,+,,magnesium and cobalt transport protein CorA,0.5402,25,1106,132047.6,132932.4,64,0.072332731,1.912692443,1.912692443,-11.34303397,1
HNEAP_RS00660,HNEAP_RS00660,1,NC_013422.1,133150,134403,+,,glycosyltransferase family 1 protein,0.5789,28,1253,133275.3,134277.7,85,0.084796488,2.105592375,2.105592375,-11.90017439,1
HNEAP_RS00665,HNEAP_RS00665,1,NC_013422.1,134342,134968,+,,phosphatase PAP2 family protein,0.5694,11,626,134404.6,134905.4,31,0.061900958,1.560419508,1.560419508,-10.22170469,1
HNEAP_RS00670,HNEAP_RS00670,1,NC_013422.1,135220,136077,+,,general secretion pathway protein GspC,0.5967,12,857,135305.7,135991.3,50,0.072928821,1.761518195,1.761518195,-10.87978435,1
HNEAP_RS00675,HNEAP_RS00675,1,NC_013422.1,136074,138251,+,,type II secretion system protein GspD,0.5822,38,2177,136291.7,138033.3,100,0.057418466,1.418392752,1.418392752,-9.723977387,1
HNEAP_RS00680,HNEAP_RS00680,1,NC_013422.1,138262,139770,+,,type II secretion system protein GspE,0.611,20,1508,138412.8,139619.2,90,0.074602122,1.763302157,1.763302157,-10.88539991,1
HNEAP_RS00685,HNEAP_RS00685,1,NC_013422.1,139777,141000,+,,type II secretion system protein GspF,0.5915,18,1223,139899.3,140877.7,46,0.047015536,1.144730423,1.144730423,-8.25388262,1
HNEAP_RS00690,HNEAP_RS00690,1,NC_013422.1,141003,141503,+,,type II secretion system protein GspG,0.5669,10,500,141053,141453,8,0.02,0.506190011,0.506190011,-2.177560276,1
HNEAP_RS12080,HNEAP_RS12080,1,NC_013422.1,141512,142153,+,,prepilin-type cleavage/methylation domain-containing protein,0.5685,16,641,141576.1,142088.9,22,0.042901716,1.083039029,1.083039029,-7.80135141,1
