locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,length,nBegin,nEnd,nStrains,insertionIndex,normalizedGCInsertions,normalizedGCStrains,gammaLikelyRatio
HNEAP_RS12060,HNEAP_RS12060,1,NC_013422.1,108390,109016,+,,twin-arginine translocase subunit TatB,0.5598,6,626,108452.6,108953.4,4,0.007987220447284345,0.20448336425163416,0.20448336425163416,3.6544406660131603
HNEAP_RS00565,HNEAP_RS00565,1,NC_013422.1,109082,110113,+,,twin-arginine translocase subunit TatC,0.5601,23,1031,109185.1,110009.9,3,0.0036372453928225023,0.09307292978356427,0.09307292978356427,8.11578590127574
HNEAP_RS00570,HNEAP_RS00570,1,NC_013422.1,110181,111722,+,,2 3-bisphosphoglycerate-independent phosphoglycerate mutase,0.5927,24,1541,110335.1,111567.9,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00780,HNEAP_RS00780,1,NC_013422.1,163039,164034,+,,cell division protein ZipA,0.5703,11,995,163138.5,163934.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00785,HNEAP_RS00785,1,NC_013422.1,164040,166097,+,,NAD-dependent DNA ligase LigA,0.5982,33,2057,164245.7,165891.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00790,HNEAP_RS00790,1,NC_013422.1,166155,167123,+,,octaprenyl diphosphate synthase,0.6109,15,968,166251.8,167026.2,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00860,HNEAP_RS00860,1,NC_013422.1,179601,180782,+,,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,0.5854,16,1181,179719.1,180663.9,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00870,HNEAP_RS00870,1,NC_013422.1,181310,182197,+,,acetylglutamate kinase,0.5631,12,887,181398.7,182108.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00975,HNEAP_RS00975,1,NC_013422.1,202943,203884,-,,bifunctional riboflavin kinase/FAD synthetase,0.604,9,941,203037.1,203789.9,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00985,HNEAP_RS00985,1,NC_013422.1,204946,205860,+,,DNA adenine methylase,0.3858,52,914,205037.4,205768.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01020,HNEAP_RS01020,1,NC_013422.1,214686,216095,+,,glutamate--ammonia ligase,0.5504,30,1409,214826.9,215954.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01095,HNEAP_RS01095,1,NC_013422.1,234504,235751,+,,lipoprotein-releasing system transmembrane subunit LolC,0.5825,19,1247,234628.7,235626.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01100,HNEAP_RS01100,1,NC_013422.1,235744,236451,+,,ABC transporter ATP-binding protein,0.6102,5,707,235814.7,236380.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01190,HNEAP_RS01190,1,NC_013422.1,253166,253417,-,,type II toxin-antitoxin system prevent-host-death family antitoxin,0.5278,5,251,253191.1,253391.9,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01205,HNEAP_RS01205,1,NC_013422.1,254253,254816,-,,Uma2 family endonuclease,0.5319,20,563,254309.3,254759.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01210,HNEAP_RS01210,1,NC_013422.1,255234,256067,-,,2 3 4 5-tetrahydropyridine-2 6-dicarboxylate N-succinyltransferase,0.5779,14,833,255317.3,255983.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01255,HNEAP_RS01255,1,NC_013422.1,264454,265569,-,,5-(carboxyamino)imidazole ribonucleotide synthase,0.5654,16,1115,264565.5,265457.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01260,HNEAP_RS01260,1,NC_013422.1,265585,266127,-,,5-(carboxyamino)imidazole ribonucleotide mutase,0.6188,7,542,265639.2,266072.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01290,HNEAP_RS01290,1,NC_013422.1,270053,272128,+,,polyphosphate kinase 1,0.54,42,2075,270260.5,271920.5,2,0.0012048192771084338,0.03186969478474807,0.03186969478474807,13.043837459342885
HNEAP_RS01295,HNEAP_RS01295,1,NC_013422.1,272175,273347,-,,glutamate 5-kinase,0.624,14,1172,272292.2,273229.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01300,HNEAP_RS01300,1,NC_013422.1,273354,274481,-,,Obg family GTPase CgtA,0.5922,18,1127,273466.7,274368.3,1,0.0011091393078970719,0.026976069538115762,0.026976069538115762,13.664139931730665
HNEAP_RS01305,HNEAP_RS01305,1,NC_013422.1,274634,274891,-,,50S ribosomal protein L27,0.5814,3,257,274659.7,274865.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01310,HNEAP_RS01310,1,NC_013422.1,274945,275256,-,,50S ribosomal protein L21,0.5545,5,311,274976.1,275224.9,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01370,HNEAP_RS01370,1,NC_013422.1,288905,289603,-,,sulfite exporter TauE/SafE family protein,0.588,19,698,288974.8,289533.2,6,0.010744985673352437,0.2630398960990734,0.2630398960990734,2.1075554956124045
HNEAP_RS12125,HNEAP_RS12125,1,NC_013422.1,317310,318233,+,,biotin--[acetyl-CoA-carboxylase] ligase,0.5963,11,923,317402.3,318140.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01505,HNEAP_RS01505,1,NC_013422.1,318234,319001,+,,type III pantothenate kinase,0.5833,8,767,318310.7,318924.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01510,HNEAP_RS01510,5,NC_013422.1,319074,319149,+,,tRNA-Thr,0.5658,3,75,319081.5,319141.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01515,HNEAP_RS01515,5,NC_013422.1,319250,319334,+,,tRNA-Tyr,0.5765,1,84,319258.4,319325.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01520,HNEAP_RS01520,5,NC_013422.1,319388,319461,+,,tRNA-Gly,0.5405,2,73,319395.3,319453.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01525,HNEAP_RS01525,5,NC_013422.1,319485,319560,+,,tRNA-Thr,0.5789,2,75,319492.5,319552.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01530,HNEAP_RS01530,1,NC_013422.1,319633,320823,+,,elongation factor Tu,0.5592,30,1190,319752.0,320704.0,5,0.005252100840336135,0.13459184050250697,0.13459184050250697,6.099551824740789
HNEAP_RS01535,HNEAP_RS01535,5,NC_013422.1,320906,320981,+,,tRNA-Trp,0.5658,2,75,320913.5,320973.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01540,HNEAP_RS01540,1,NC_013422.1,321067,321441,+,,preprotein translocase subunit SecE,0.5413,6,374,321104.4,321403.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01545,HNEAP_RS01545,1,NC_013422.1,321454,321987,+,,transcription termination/antitermination protein NusG,0.5206,11,533,321507.3,321933.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01550,HNEAP_RS01550,1,NC_013422.1,322062,322493,+,,50S ribosomal protein L11,0.5255,13,431,322105.1,322449.9,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01555,HNEAP_RS01555,1,NC_013422.1,322493,323188,+,,50S ribosomal protein L1,0.5417,11,695,322562.5,323118.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01560,HNEAP_RS01560,1,NC_013422.1,323424,323951,+,,50S ribosomal protein L10,0.5492,7,527,323476.7,323898.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01565,HNEAP_RS01565,1,NC_013422.1,323983,324360,+,,50S ribosomal protein L7/L12,0.4894,4,377,324020.7,324322.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01570,HNEAP_RS01570,1,NC_013422.1,324553,328719,+,,DNA-directed RNA polymerase subunit beta,0.5476,77,4166,324969.6,328302.4,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01575,HNEAP_RS01575,1,NC_013422.1,328797,333002,+,,DNA-directed RNA polymerase subunit beta',0.5573,84,4205,329217.5,332581.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01580,HNEAP_RS01580,1,NC_013422.1,333122,333499,+,,30S ribosomal protein S12,0.5423,16,377,333159.7,333461.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01585,HNEAP_RS01585,1,NC_013422.1,333527,333997,+,,30S ribosomal protein S7,0.5287,12,470,333574.0,333950.0,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01590,HNEAP_RS01590,1,NC_013422.1,334015,336114,+,,elongation factor G,0.5357,45,2099,334224.9,335904.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01595,HNEAP_RS01595,1,NC_013422.1,336147,337337,+,,elongation factor Tu,0.5508,33,1190,336266.0,337218.0,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01600,HNEAP_RS01600,1,NC_013422.1,337343,337654,+,,30S ribosomal protein S10,0.5128,3,311,337374.1,337622.9,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01605,HNEAP_RS01605,1,NC_013422.1,337802,338446,+,,50S ribosomal protein L3,0.5426,18,644,337866.4,338381.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01610,HNEAP_RS01610,1,NC_013422.1,338455,339063,+,,50S ribosomal protein L4,0.5238,15,608,338515.8,339002.2,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01615,HNEAP_RS01615,1,NC_013422.1,339060,339353,+,,50S ribosomal protein L23,0.517,5,293,339089.3,339323.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01620,HNEAP_RS01620,1,NC_013422.1,339383,340207,+,,50S ribosomal protein L2,0.5539,24,824,339465.4,340124.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS12435,HNEAP_RS12435,1,NC_013422.1,340232,340507,+,,30S ribosomal protein S19,0.5399,5,275,340259.5,340479.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01630,HNEAP_RS01630,1,NC_013422.1,340517,340849,+,,50S ribosomal protein L22,0.5465,2,332,340550.2,340815.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01635,HNEAP_RS01635,1,NC_013422.1,340860,341534,+,,30S ribosomal protein S3,0.5437,12,674,340927.4,341466.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01640,HNEAP_RS01640,1,NC_013422.1,341566,341979,+,,50S ribosomal protein L16,0.5145,10,413,341607.3,341937.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01645,HNEAP_RS01645,1,NC_013422.1,341979,342176,+,,50S ribosomal protein L29,0.4646,1,197,341998.7,342156.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01650,HNEAP_RS01650,1,NC_013422.1,342178,342447,+,,30S ribosomal protein S17,0.4926,8,269,342204.9,342420.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01655,HNEAP_RS01655,1,NC_013422.1,342460,342828,+,,50S ribosomal protein L14,0.5149,10,368,342496.8,342791.2,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01660,HNEAP_RS01660,1,NC_013422.1,342839,343162,+,,50S ribosomal protein L24,0.4691,9,323,342871.3,343129.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01665,HNEAP_RS01665,1,NC_013422.1,343174,343713,+,,50S ribosomal protein L5,0.5,14,539,343227.9,343659.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01670,HNEAP_RS01670,1,NC_013422.1,343725,344030,+,,30S ribosomal protein S14,0.5163,3,305,343755.5,343999.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01675,HNEAP_RS01675,1,NC_013422.1,344043,344435,+,,30S ribosomal protein S8,0.5038,10,392,344082.2,344395.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01680,HNEAP_RS01680,1,NC_013422.1,344449,344976,+,,50S ribosomal protein L6,0.4905,14,527,344501.7,344923.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01685,HNEAP_RS01685,1,NC_013422.1,344986,345342,+,,50S ribosomal protein L18,0.5406,8,356,345021.6,345306.4,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01690,HNEAP_RS01690,1,NC_013422.1,345354,345869,+,,30S ribosomal protein S5,0.5136,15,515,345405.5,345817.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01695,HNEAP_RS01695,1,NC_013422.1,345866,346057,+,,50S ribosomal protein L30,0.4688,5,191,345885.1,346037.9,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01700,HNEAP_RS01700,1,NC_013422.1,346057,346485,+,,50S ribosomal protein L15,0.5431,6,428,346099.8,346442.2,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01705,HNEAP_RS01705,1,NC_013422.1,346489,347823,+,,preprotein translocase subunit SecY,0.5079,54,1334,346622.4,347689.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01710,HNEAP_RS01710,1,NC_013422.1,347900,348256,+,,30S ribosomal protein S13,0.5294,7,356,347935.6,348220.4,1,0.0035112359550561797,0.09456048704208758,0.09456048704208758,8.032058740863624
HNEAP_RS01715,HNEAP_RS01715,1,NC_013422.1,348299,348688,+,,30S ribosomal protein S11,0.5359,7,389,348337.9,348649.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01720,HNEAP_RS01720,1,NC_013422.1,348702,349325,+,,30S ribosomal protein S4,0.492,12,623,348764.3,349262.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01725,HNEAP_RS01725,1,NC_013422.1,349342,350337,+,,DNA-directed RNA polymerase subunit alpha,0.504,25,995,349441.5,350237.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01730,HNEAP_RS01730,1,NC_013422.1,350367,350747,+,,50S ribosomal protein L17,0.5354,8,380,350405.0,350709.0,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01745,HNEAP_RS01745,1,NC_013422.1,353784,356195,+,,ribonuclease R,0.5717,31,2411,354025.1,355953.9,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01755,HNEAP_RS01755,1,NC_013422.1,357115,358290,+,,pyridoxal phosphate-dependent aminotransferase,0.5816,20,1175,357232.5,358172.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01770,HNEAP_RS01770,1,NC_013422.1,360107,362722,+,,alanine--tRNA ligase,0.5826,43,2615,360368.5,362460.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01775,HNEAP_RS01775,1,NC_013422.1,362922,364154,+,,aspartate kinase,0.5312,33,1232,363045.2,364030.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01780,HNEAP_RS01780,1,NC_013422.1,364233,364448,+,,carbon storage regulator,0.4815,5,215,364254.5,364426.5,1,0.005813953488372093,0.17052820672023372,0.17052820672023372,4.735558387609833
HNEAP_RS01790,HNEAP_RS01790,5,NC_013422.1,365792,365881,+,,tRNA-Ser,0.5667,4,89,365800.9,365872.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS12440,HNEAP_RS12440,1,NC_013422.1,366741,366911,+,,AlpA family phage regulatory protein,0.5263,3,170,366758.0,366894.0,1,0.007352941176470588,0.19907501129061628,0.19907501129061628,3.815862235455553
HNEAP_RS01815,HNEAP_RS01815,1,NC_013422.1,370195,371868,-,,hypothetical protein,0.601,30,1673,370362.3,371700.7,2,0.0014943215780035862,0.035857515952275446,0.035857515952275446,12.579663784274668
HNEAP_RS01830,HNEAP_RS01830,1,NC_013422.1,372792,376835,-,,hypothetical protein,0.5883,78,4043,373196.3,376430.7,2,0.0006183527083848627,0.015130378185429894,0.015130378185429894,15.483293580281163
HNEAP_RS01845,HNEAP_RS01845,1,NC_013422.1,378521,378835,-,,hypothetical protein,0.4603,12,314,378552.4,378803.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01895,HNEAP_RS01895,1,NC_013422.1,393520,394365,-,,diaminopimelate epimerase,0.5485,11,845,393604.5,394280.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01910,HNEAP_RS01910,1,NC_013422.1,396964,398319,+,,signal recognition particle protein,0.5789,22,1355,397099.5,398183.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01915,HNEAP_RS01915,5,NC_013422.1,398461,398544,+,,tRNA-Leu,0.5476,3,83,398469.3,398535.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS01950,HNEAP_RS01950,1,NC_013422.1,407619,408407,-,,enoyl-ACP reductase,0.5779,12,788,407697.8,408328.2,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02015,HNEAP_RS02015,1,NC_013422.1,423167,424231,-,,fructose-bisphosphate aldolase class II,0.5615,18,1064,423273.4,424124.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02020,HNEAP_RS02020,1,NC_013422.1,424313,425788,-,,pyruvate kinase,0.5542,30,1475,424460.5,425640.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02025,HNEAP_RS02025,1,NC_013422.1,425798,426997,-,,phosphoglycerate kinase,0.5567,13,1199,425917.9,426877.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02030,HNEAP_RS02030,1,NC_013422.1,427153,428151,-,,type I glyceraldehyde-3-phosphate dehydrogenase,0.5415,13,998,427252.8,428051.2,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02035,HNEAP_RS02035,1,NC_013422.1,428269,430257,-,,transketolase,0.5726,30,1988,428467.8,430058.2,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02055,HNEAP_RS02055,1,NC_013422.1,433325,434497,+,,methionine adenosyltransferase,0.5772,20,1172,433442.2,434379.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02060,HNEAP_RS02060,1,NC_013422.1,434628,436040,+,,adenosylhomocysteinase,0.5548,21,1412,434769.2,435898.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02065,HNEAP_RS02065,1,NC_013422.1,436040,436909,+,,methylenetetrahydrofolate reductase [NAD(P)H],0.577,14,869,436126.9,436822.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02085,HNEAP_RS02085,1,NC_013422.1,438898,440259,+,,adenosylmethionine--8-amino-7-oxononanoate transaminase,0.5808,29,1361,439034.1,440122.9,2,0.0018368846436443791,0.04547582270503363,0.04547582270503363,11.581795569762122
HNEAP_RS02095,HNEAP_RS02095,1,NC_013422.1,441043,442227,+,,peptide chain release factor 2,0.546,20,1184,441161.4,442108.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02100,HNEAP_RS02100,1,NC_013422.1,442272,443807,+,,lysine--tRNA ligase,0.5671,34,1535,442425.5,443653.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02195,HNEAP_RS02195,1,NC_013422.1,464290,464739,+,,division/cell wall cluster transcriptional repressor MraZ,0.5422,4,449,464334.9,464694.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02200,HNEAP_RS02200,1,NC_013422.1,464736,465689,+,,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,0.5671,12,953,464831.3,465593.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02205,HNEAP_RS02205,1,NC_013422.1,465686,465946,+,,cell division protein FtsL,0.5747,2,260,465712.0,465920.0,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02210,HNEAP_RS02210,1,NC_013422.1,465988,467802,+,,hypothetical protein,0.5901,47,1814,466169.4,467620.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02215,HNEAP_RS02215,1,NC_013422.1,467799,469358,+,,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2 6-diaminopimelate ligase,0.5821,30,1559,467954.9,469202.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02220,HNEAP_RS02220,1,NC_013422.1,469355,470779,+,,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,0.567,21,1424,469497.4,470636.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02225,HNEAP_RS02225,1,NC_013422.1,470781,471863,+,,phospho-N-acetylmuramoyl-pentapeptide-transferase,0.5596,19,1082,470889.2,471754.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02230,HNEAP_RS02230,1,NC_013422.1,471863,473278,+,,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,0.5819,21,1415,472004.5,473136.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02235,HNEAP_RS02235,1,NC_013422.1,473275,474522,+,,cell division protein FtsW,0.5633,17,1247,473399.7,474397.3,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02240,HNEAP_RS02240,1,NC_013422.1,474519,475643,+,,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,0.5991,15,1124,474631.4,475530.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02245,HNEAP_RS02245,1,NC_013422.1,475640,477115,+,,UDP-N-acetylmuramate--L-alanine ligase,0.5982,22,1475,475787.5,476967.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02250,HNEAP_RS02250,1,NC_013422.1,477108,478082,+,,D-alanine--D-alanine ligase,0.5877,13,974,477205.4,477984.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02255,HNEAP_RS02255,1,NC_013422.1,478085,478900,+,,cell division protein FtsQ,0.5821,12,815,478166.5,478818.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02260,HNEAP_RS02260,1,NC_013422.1,478931,480181,+,,cell division protein FtsA,0.5987,18,1250,479056.0,480056.0,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02265,HNEAP_RS02265,1,NC_013422.1,480248,481393,+,,cell division protein FtsZ,0.5777,15,1145,480362.5,481278.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS12130,HNEAP_RS12130,1,NC_013422.1,483018,483551,-,,hypothetical protein,0.5974,9,533,483071.3,483497.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02290,HNEAP_RS02290,5,NC_013422.1,484996,485072,-,,tRNA-Met,0.5455,3,76,485003.6,485064.4,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02295,HNEAP_RS02295,1,NC_013422.1,485265,487091,-,,RNA polymerase sigma factor RpoD,0.5523,24,1826,485447.6,486908.4,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS02300,HNEAP_RS02300,1,NC_013422.1,487230,488909,-,,DNA primase,0.5643,27,1679,487397.9,488741.1,0,0.0,0.0,0.0,13.36677499962062
