,locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,pvalInitial,pvalCorrected,length,inserts,lg,predictedInsertionRate
16,HNEAP_RS00095,HNEAP_RS00095,1,NC_013422.1,19825,20643,+,,hypothetical protein,0.5495,15,0.5134828656414041,0.03975794038192128,818,32,449.491,0.05307488380432119
17,HNEAP_RS00100,HNEAP_RS00100,1,NC_013422.1,20656,24519,+,,type 4 fimbrial biogenesis protein PilY1,0.5005,173,0.9999999999999999,0.9999999996822527,3863,274,1933.4314999999997,0.04834209161794859
18,HNEAP_RS00105,HNEAP_RS00105,1,NC_013422.1,24658,25152,+,,PilE protein,0.5394,19,0.9999998728114703,0.9998719294380448,494,45,266.4636,0.05209934908835459
19,HNEAP_RS00110,HNEAP_RS00110,1,NC_013422.1,25490,26074,+,,pilus assembly protein,0.5556,9,0.9976311034222265,0.8697693797671439,584,37,324.4704,0.053664068137726756
20,HNEAP_RS00115,HNEAP_RS00115,1,NC_013422.1,26258,26629,+,,DUF559 domain-containing protein,0.4946,11,0.07516227890141101,0.015895911694406427,371,9,183.4966,0.04777222480367108
21,HNEAP_RS00120,HNEAP_RS00120,1,NC_013422.1,26886,29708,-,,excinuclease ABC subunit UvrA,0.5912,48,0.8208266388500045,0.0004152824742805957,2822,121,1668.3663999999999,0.0571025865425199
22,HNEAP_RS00125,HNEAP_RS00125,1,NC_013422.1,29824,30381,+,,single-stranded DNA-binding protein,0.5914,11,4.281928176545009e-05,1.4274475288729901e-08,557,6,329.4098,0.05712190406164796
23,HNEAP_RS00130,HNEAP_RS00130,1,NC_013422.1,30592,32391,-,,gamma-glutamyltransferase,0.5767,34,0.9999999999989695,0.9998148754419565,1799,136,1037.4832999999999,0.055702066405736175
24,HNEAP_RS00135,HNEAP_RS00135,1,NC_013422.1,32408,33346,-,,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,0.5634,27,0.9999719688222672,0.9600303893815977,938,63,528.4692,0.05441745138372076
25,HNEAP_RS00140,HNEAP_RS00140,1,NC_013422.1,33737,34285,+,,metallophosphoesterase,0.5974,8,0.9954542918208757,0.7077959503356561,548,34,327.3752,0.0577014296354895
26,HNEAP_RS00145,HNEAP_RS00145,1,NC_013422.1,34356,35618,+,,ketohexokinase,0.5764,22,0.999997352549531,0.9567885896261232,1262,84,727.4168000000001,0.05567309012704411
27,HNEAP_RS00150,HNEAP_RS00150,1,NC_013422.1,35755,38121,+,,GGDEF domain-containing protein,0.5758,27,0.9999921552069254,0.7054332799523411,2366,137,1362.3428,0.055615137569659946
28,HNEAP_RS00155,HNEAP_RS00155,1,NC_013422.1,38154,38462,+,,BolA family transcriptional regulator,0.5793,4,0.8320705648670255,0.34488934104394564,308,15,178.42440000000002,0.05595319415440085
29,HNEAP_RS00160,HNEAP_RS00160,1,NC_013422.1,38491,39528,+,,HDOD domain-containing protein,0.5694,17,0.4680286334117149,0.00944051643098132,1037,40,590.4678,0.0549969769575623
30,HNEAP_RS00165,HNEAP_RS00165,1,NC_013422.1,39572,41770,-,,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,0.5789,30,5.671204438665351e-13,1.3039516588991149e-24,2198,30,1272.4222,0.05591455911614474
31,HNEAP_RS00170,HNEAP_RS00170,1,NC_013422.1,41772,42095,-,,DNA-directed RNA polymerase subunit omega,0.5772,3,0.05579299832696444,0.0023459399386996935,323,7,186.43560000000002,0.055750360203556316
32,HNEAP_RS00175,HNEAP_RS00175,1,NC_013422.1,42146,42775,-,,guanylate kinase,0.5794,9,8.653969717934253e-12,1.854102281785201e-16,629,0,364.4426,0.055962852913964876
33,HNEAP_RS00180,HNEAP_RS00180,1,NC_013422.1,42782,43396,-,,DedA family protein,0.5707,11,0.8946705050949242,0.2828856550372374,614,30,350.4098,0.05512254083189465
34,HNEAP_RS00185,HNEAP_RS00185,1,NC_013422.1,43484,43954,-,,glycine zipper 2TM domain-containing protein,0.6178,11,0.9999634205545669,0.9626988672536266,470,37,290.366,0.059671816586550734
35,HNEAP_RS00190,HNEAP_RS00190,1,NC_013422.1,44187,44936,+,,membrane protein,0.5427,18,3.6460022719070175e-10,3.890372755736011e-14,749,3,406.48229999999995,0.05241808815396744
36,HNEAP_RS00195,HNEAP_RS00195,1,NC_013422.1,44946,45716,-,,exodeoxyribonuclease III,0.5551,17,0.50691484724787,0.03752907815211815,770,30,427.427,0.053615774339906636
37,HNEAP_RS00200,HNEAP_RS00200,1,NC_013422.1,46091,47482,-,,hypothetical protein,0.5338,27,0.7268667817538201,0.06608929955822782,1391,59,742.5158000000001,0.05155845855276917
38,HNEAP_RS00205,HNEAP_RS00205,1,NC_013422.1,48094,50388,+,,hypothetical protein,0.5712,60,0.9999999999999938,0.9999561185316295,2294,171,1310.3328000000001,0.05517083462971477
39,HNEAP_RS00210,HNEAP_RS00210,1,NC_013422.1,50405,51196,-,,TIGR01458 family HAD-type hydrolase,0.5934,13,0.999983488819831,0.9524980347201155,791,56,469.37940000000003,0.057315079252928475
40,HNEAP_RS00215,HNEAP_RS00215,1,NC_013422.1,51408,52196,-,,competence/damage-inducible protein A,0.5805,10,0.9999995634595247,0.9947797901252841,788,61,457.434,0.056069099269169156
41,HNEAP_RS00220,HNEAP_RS00220,1,NC_013422.1,52193,53305,-,,ferrochelatase,0.5732,27,4.0991846315237596e-13,3.603568111461212e-20,1112,6,637.3984,0.055364009820995284
42,HNEAP_RS00225,HNEAP_RS00225,1,NC_013422.1,53431,54390,+,,thioredoxin-disulfide reductase,0.5594,13,1.358972651620654e-17,7.343565569623915e-24,959,0,536.4646,0.05403110100115973
43,HNEAP_RS00230,HNEAP_RS00230,1,NC_013422.1,54484,54804,+,,hypothetical protein,0.6012,4,0.9678675653444477,0.5998252800681276,320,19,192.384,0.05806846249892247
44,HNEAP_RS00235,HNEAP_RS00235,1,NC_013422.1,54801,55673,+,,hypothetical protein,0.6174,14,0.9999999166372723,0.988577304809226,872,68,538.3728,0.05963318154829463
45,HNEAP_RS00240,HNEAP_RS00240,1,NC_013422.1,55687,56304,-,,5'-deoxynucleotidase,0.5485,12,0.275506747198851,0.017446623015447207,617,21,338.42449999999997,0.05297829620868093
46,HNEAP_RS00245,HNEAP_RS00245,1,NC_013422.1,56333,57763,-,,deoxyguanosinetriphosphate triphosphohydrolase,0.5947,16,0.9963913489821341,0.3032243857006074,1430,77,850.421,0.05744064312726081
47,HNEAP_RS00250,HNEAP_RS00250,1,NC_013422.1,57863,58720,+,,NAD(P)-dependent oxidoreductase,0.6131,5,0.9999935132763954,0.9368692628663042,857,61,525.4267,0.05921785488704153
48,HNEAP_RS00255,HNEAP_RS00255,1,NC_013422.1,58846,60408,+,,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH,0.6065,19,3.3706317186257887e-28,1.1205500082749098e-41,1562,0,947.3530000000001,0.05858037675581584
49,HNEAP_RS00260,HNEAP_RS00260,1,NC_013422.1,60466,62061,+,,DNA recombination protein RmuC,0.5977,18,0.9954622918678522,0.20939493896081612,1595,84,953.3315,0.057730405914181576
50,HNEAP_RS00265,HNEAP_RS00265,1,NC_013422.1,62045,62242,-,,hypothetical protein,0.5101,0,0.2028471830892292,0.07395796848414748,197,5,100.4897,0.04926933253609506
51,HNEAP_RS00270,HNEAP_RS00270,1,NC_013422.1,62254,63108,-,,metallophosphoesterase,0.5333,22,0.6202606225414429,0.09113203261298361,854,35,455.4382,0.051510164754949024
52,HNEAP_RS00275,HNEAP_RS00275,1,NC_013422.1,63522,63998,+,,hypothetical protein,0.499,14,0.3843991797292737,0.11914534618641982,476,17,237.524,0.04819721022448822
53,HNEAP_RS00280,HNEAP_RS00280,1,NC_013422.1,64169,64549,+,,hypothetical protein,0.5249,9,0.5595692886020251,0.19120110391152667,380,15,199.46200000000002,0.05069882895157088
54,HNEAP_RS00285,HNEAP_RS00285,1,NC_013422.1,64607,67444,+,,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,0.5648,41,0.6854531902671444,0.0006917157709247429,2837,117,1602.3375999999998,0.05455267401761711
55,HNEAP_RS00290,HNEAP_RS00290,1,NC_013422.1,67499,67957,+,,hypothetical protein,0.5882,6,0.994247819808227,0.7635292311052928,458,29,269.3956,0.05681282375559914
56,HNEAP_RS00295,HNEAP_RS00295,1,NC_013422.1,68056,68586,+,,molecular chaperone Skp,0.5593,10,0.9999999904500528,0.9999383082936153,530,50,296.42900000000003,0.05402144224159571
57,HNEAP_RS00300,HNEAP_RS00300,1,NC_013422.1,68944,69192,+,,phosphopantetheine-binding protein,0.5141,4,0.34645554788066857,0.12907102308416535,248,8,127.49680000000001,0.049655682918656095
58,HNEAP_RS00305,HNEAP_RS00305,1,NC_013422.1,69189,70436,+,,3-oxoacyl-ACP synthase,0.625,16,0.9999999999999967,0.9999746311071087,1247,111,779.375,0.06036724727516059
59,HNEAP_RS00310,HNEAP_RS00310,1,NC_013422.1,70516,70800,+,,acyl carrier protein,0.5123,3,0.6603289142992348,0.34816617614002315,284,12,145.4932,0.04948182524650363
60,HNEAP_RS12050,HNEAP_RS12050,1,NC_013422.1,70809,71507,+,,membrane protein-like protein,0.5851,15,0.990721182325493,0.577766221818913,698,40,408.39979999999997,0.056513402209114334
61,HNEAP_RS00320,HNEAP_RS00320,1,NC_013422.1,71516,73297,+,,AMP-dependent synthetase and ligase,0.5881,30,0.9999995484354304,0.9119808052559519,1781,114,1047.4061,0.056803164996035105
62,HNEAP_RS00325,HNEAP_RS00325,1,NC_013422.1,73294,74238,+,,acyl-CoA synthetase,0.5831,15,0.963003295327953,0.2588469037321098,944,48,550.4463999999999,0.05632022701783381
63,HNEAP_RS00330,HNEAP_RS00330,1,NC_013422.1,74238,74837,+,,outer membrane lipoprotein carrier protein LolA,0.5767,9,0.9999894503513542,0.9874585930912733,599,46,345.4433,0.05570206640573618
64,HNEAP_RS00335,HNEAP_RS00335,1,NC_013422.1,74834,77248,+,,MMPL domain-containing protein,0.5925,39,0.9952058832088277,0.07015953054696135,2414,121,1430.295,0.05722815041685224
65,HNEAP_RS00340,HNEAP_RS00340,1,NC_013422.1,77245,77697,+,,hypothetical protein,0.6004,5,0.9993009315213002,0.894485189364487,452,32,271.3808,0.05799119242241027
66,HNEAP_RS00345,HNEAP_RS00345,1,NC_013422.1,78057,79043,+,,2-hydroxyacid dehydrogenase,0.5755,20,0.9744663958331857,0.32874755954399787,986,51,567.443,0.05558616129096787
67,HNEAP_RS00350,HNEAP_RS00350,1,NC_013422.1,79194,79484,+,,PilZ domain-containing protein,0.6254,2,0.9573297725595713,0.512769885576587,290,17,181.36599999999999,0.06040588231341669
68,HNEAP_RS00355,HNEAP_RS00355,1,NC_013422.1,79586,80446,-,,glutamate racemase,0.5877,17,0.7806527364073809,0.06019812253753768,860,38,505.422,0.05676452995777901
69,HNEAP_RS00360,HNEAP_RS00360,1,NC_013422.1,80598,80861,-,,Txe/YoeB family addiction module toxin,0.4848,7,0.17787763460762213,0.07183143706009143,263,7,127.50240000000001,0.04682566636639657
70,HNEAP_RS00365,HNEAP_RS00365,1,NC_013422.1,80858,81100,-,,prevent-host-death family protein,0.4691,7,0.15177425499807334,0.07534722993010005,242,6,113.5222,0.04530924111484453
71,HNEAP_RS00370,HNEAP_RS00370,1,NC_013422.1,81093,81296,+,,hypothetical protein,0.4755,11,0.9925160391497837,0.9740858083567223,203,15,96.5265,0.04592740172694217
72,HNEAP_RS00375,HNEAP_RS00375,1,NC_013422.1,81463,81732,-,,hypothetical protein,0.5296,4,0.15999440653029162,0.03268940224171544,269,7,142.4624,0.051152790651080075
73,HNEAP_RS00380,HNEAP_RS00380,1,NC_013422.1,82067,82297,-,,hypothetical protein,0.5022,6,0.9890334211633658,0.9428191708384285,230,16,115.506,0.04850629053053704
74,HNEAP_RS00385,HNEAP_RS00385,1,NC_013422.1,82401,82835,-,,hypothetical protein,0.4483,17,0.9843693033435497,0.9599162095357956,434,26,194.5622,0.04330021912552719
75,HNEAP_RS00390,HNEAP_RS00390,1,NC_013422.1,82918,83169,-,,hypothetical protein,0.4841,11,0.3326149101348987,0.16672357644904856,251,8,121.50909999999999,0.04675805504944838
76,HNEAP_RS00395,HNEAP_RS00395,1,NC_013422.1,83469,83678,-,,hypothetical protein,0.5571,3,0.16026734250727015,0.029103924184490985,209,5,116.43390000000001,0.053808949531187145
77,HNEAP_RS00400,HNEAP_RS00400,1,NC_013422.1,83787,83966,+,,hypothetical protein,0.5833,1,0.5828867856408165,0.20485193820187433,179,7,104.4107,0.056339544536961876
78,HNEAP_RS00405,HNEAP_RS00405,1,NC_013422.1,84404,84736,-,,hypothetical protein,0.3664,16,0.008569966664109521,0.02203665176700703,332,5,121.6448,0.035389695042590145
79,HNEAP_RS00410,HNEAP_RS00410,1,NC_013422.1,84810,85118,-,,hypothetical protein,0.5372,10,0.43343720101339905,0.12137730839630032,308,11,165.4576,0.05188685637794604
80,HNEAP_RS00415,HNEAP_RS00415,1,NC_013422.1,85475,86020,-,,yfeABCD locus regulator,0.4505,16,0.669344579005153,0.49484603084360146,545,23,245.5225,0.043512711835935754
81,HNEAP_RS00420,HNEAP_RS00420,1,NC_013422.1,86050,86634,-,,ATPase,0.5504,16,0.9349248443935692,0.47074263595984456,584,30,321.4336,0.053161812640397425
82,HNEAP_RS00425,HNEAP_RS00425,1,NC_013422.1,87553,87843,-,,DUF1330 domain-containing protein,0.3746,13,0.0001030303302763804,0.000271427812054713,290,1,108.634,0.036181713326840254
83,HNEAP_RS00430,HNEAP_RS00430,1,NC_013422.1,87840,88211,-,,VOC family protein,0.4194,16,2.9846385027129754e-07,2.1737178915454603e-07,371,0,155.5974,0.04050883761152376
84,HNEAP_RS00435,HNEAP_RS00435,1,NC_013422.1,88585,89196,-,,cation transporter,0.4804,34,0.7552406368023853,0.4462867703016308,611,27,293.5244,0.046400680945579434
85,HNEAP_RS00440,HNEAP_RS00440,1,NC_013422.1,89303,89782,-,,N-acetyltransferase,0.5375,14,7.823296108960763e-08,2.211568621225533e-10,479,1,257.4625,0.0519158326566381
86,HNEAP_RS00445,HNEAP_RS00445,1,NC_013422.1,90138,90461,-,,hypothetical protein,0.4722,12,0.9651039021698768,0.8948006731095766,323,19,152.5206,0.04560866266132933
87,HNEAP_RS12420,HNEAP_RS12420,1,NC_013422.1,90867,91082,-,,hypothetical protein,0.4444,5,0.7630470200471857,0.680662728297875,215,10,95.546,0.04292352750253019
88,HNEAP_RS00450,HNEAP_RS00450,1,NC_013422.1,91085,91495,-,,mercury transporter MerC,0.4696,17,0.2477972794794962,0.1091521568590666,410,13,192.536,0.04535753491266466
89,HNEAP_RS00455,HNEAP_RS00455,1,NC_013422.1,91540,91896,-,,hypothetical protein,0.5042,10,0.3416901840198305,0.11288294886588035,356,12,179.49519999999998,0.04869946572181754
90,HNEAP_RS00460,HNEAP_RS00460,1,NC_013422.1,91913,92266,-,,hypothetical protein,0.5395,11,0.985074633382873,0.8379647517746277,353,22,190.4435,0.052109007847918616
91,HNEAP_RS00465,HNEAP_RS00465,1,NC_013422.1,92363,93529,-,,hypothetical protein,0.4053,49,0.5814800809086098,0.6184256922250653,1166,47,472.5798,0.03914695251299614
92,HNEAP_RS00470,HNEAP_RS00470,1,NC_013422.1,93675,93935,+,,integrase,0.5134,8,0.999206992235946,0.9890589609310179,260,21,133.48399999999998,0.0495880716017079
93,GFF94,,7,NC_013422.1,94056,94408,+,,hypothetical protein,0.5354,11,0.9959129852223912,0.9302015551235738,352,24,188.4608,0.05171299870579357
94,HNEAP_RS00480,HNEAP_RS00480,1,NC_013422.1,94568,95170,+,,class I SAM-dependent methyltransferase,0.5688,7,0.9588049385868774,0.4696695730191781,602,32,342.4176,0.054939024400178144
95,HNEAP_RS00485,HNEAP_RS00485,1,NC_013422.1,95561,98821,-,,SNF2-like protein,0.5747,55,0.9999999999999999,0.9999999952201097,3260,260,1873.522,0.05550889121445566
96,HNEAP_RS00490,HNEAP_RS00490,1,NC_013422.1,99273,99587,+,,ferrous iron transport protein A,0.5937,5,0.12200900121445168,0.005888886715181033,314,8,186.4218,0.05734405553162055
97,HNEAP_RS00495,HNEAP_RS00495,1,NC_013422.1,99584,99838,+,,ferrous iron transport protein A,0.5725,3,0.0022631315471143467,6.687754145195873e-05,254,2,145.415,0.05529639850404709
98,HNEAP_RS00500,HNEAP_RS00500,1,NC_013422.1,99908,102244,+,,Fe(2+) transporter permease subunit FeoB,0.5627,41,1.2697730515568852e-36,8.342758428857078e-52,2336,3,1314.4672,0.054349840066772584
99,HNEAP_RS12055,HNEAP_RS12055,1,NC_013422.1,102268,102612,+,,hypothetical protein,0.5884,6,0.9406591610995321,0.5091458668122624,344,19,202.4096,0.05683214127472719
100,HNEAP_RS00510,HNEAP_RS00510,1,NC_013422.1,102736,103629,-,,molecular chaperone DnaJ,0.5884,11,0.8848803340069067,0.11445956987589462,893,42,525.4412,0.05683214127472719
101,HNEAP_RS00515,HNEAP_RS00515,1,NC_013422.1,103831,103956,-,,50S ribosomal protein L36,0.4683,3,0.44390311162655405,0.32831218363867476,125,4,58.5375,0.045231971038332326
102,HNEAP_RS00520,HNEAP_RS00520,5,NC_013422.1,104152,104227,-,,tRNA-Phe,0.5526,2,0.19663287202442295,0.08546181362038764,75,1,41.445,0.053374305350805985
103,HNEAP_RS00525,HNEAP_RS00525,1,NC_013422.1,104375,104971,+,,imidazoleglycerol-phosphate dehydratase,0.5695,11,3.293182785868707e-11,2.2674635481610817e-15,596,0,339.422,0.055006635717126336
104,HNEAP_RS00530,HNEAP_RS00530,1,NC_013422.1,104974,105624,+,,imidazole glycerol phosphate synthase subunit HisH,0.5822,14,3.697171703262828e-12,4.592220820180979e-17,650,0,378.43,0.056233298181757596
105,HNEAP_RS00535,HNEAP_RS00535,1,NC_013422.1,105661,106416,+,,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,0.5913,12,5.261879119061181e-14,5.215508589520088e-20,755,0,446.4315,0.05711224530208393
106,HNEAP_RS00540,HNEAP_RS00540,1,NC_013422.1,106496,107269,+,,imidazole glycerol phosphate synthase subunit HisF,0.615,7,8.363289503297002e-13,1.3769998022957377e-19,773,1,475.395,0.05940137131875802
107,HNEAP_RS00545,HNEAP_RS00545,1,NC_013422.1,107266,107676,+,,phosphoribosyl-AMP cyclohydrolase,0.5693,7,6.151257597423119e-08,8.50023689626052e-11,410,0,233.413,0.054987318197998285
108,HNEAP_RS00550,HNEAP_RS00550,1,NC_013422.1,107663,108037,+,,phosphoribosyl-ATP diphosphatase,0.5733,6,3.5840766346883923e-05,1.4674500461271631e-07,374,2,214.41420000000002,0.05537366858055931
109,HNEAP_RS00555,HNEAP_RS00555,1,NC_013422.1,108062,108343,+,,twin-arginine translocase subunit TatA,0.5355,3,1.1423576581245333e-05,3.302479135988579e-07,281,0,150.47549999999998,0.05172265746535759
110,HNEAP_RS12060,HNEAP_RS12060,1,NC_013422.1,108390,109016,+,,twin-arginine translocase subunit TatB,0.5598,6,1.1412008909096482e-06,4.3019698265413215e-10,626,5,350.4348,0.05406973603941584
111,HNEAP_RS00565,HNEAP_RS00565,1,NC_013422.1,109082,110113,+,,twin-arginine translocase subunit TatC,0.5601,23,1.1066710556861106e-13,6.710210176179791e-20,1031,4,577.4631,0.054098712318107915
112,HNEAP_RS00570,HNEAP_RS00570,1,NC_013422.1,110181,111722,+,,2 3-bisphosphoglycerate-independent phosphoglycerate mutase,0.5927,24,7.889637583657186e-28,3.522632053003345e-40,1541,0,913.3507,0.05724746793598029
113,HNEAP_RS00575,HNEAP_RS00575,1,NC_013422.1,111734,112534,-,,iron export ABC transporter permease subunit FetB,0.5955,12,0.2842215911903855,0.0023547351294677583,800,28,476.40000000000003,0.057517913203773016
114,HNEAP_RS00580,HNEAP_RS00580,1,NC_013422.1,112531,113148,-,,ABC transporter,0.5437,10,0.20824773852441608,0.011684201673072018,617,20,335.4629,0.052514675749607706
115,HNEAP_RS00585,HNEAP_RS00585,1,NC_013422.1,113272,114618,-,,hypothetical protein,0.5828,22,0.764204533878809,0.017655389073033635,1346,58,784.4488,0.05629125073914174
116,HNEAP_RS00590,HNEAP_RS00590,1,NC_013422.1,114766,116844,+,,DNA helicase RecG,0.6013,21,0.9999999999999999,0.9999967680566623,2078,171,1249.5013999999999,0.05807812125848649
117,HNEAP_RS00595,HNEAP_RS00595,1,NC_013422.1,117014,117433,+,,Hsp20/alpha crystallin family protein,0.5571,5,0.9513448376382747,0.5937988451818743,419,23,233.4249,0.053808949531187145
118,HNEAP_RS12065,HNEAP_RS12065,1,NC_013422.1,117857,118837,+,,AraC family transcriptional regulator,0.6483,14,0.9995184127151077,0.4621424595968834,980,60,635.334,0.06261773825357857
119,HNEAP_RS00605,HNEAP_RS00605,1,NC_013422.1,118927,120123,+,,OmpA family protein,0.6708,10,0.9999801197193813,0.507278054459446,1196,77,802.2768,0.06479095915548436
120,HNEAP_RS00610,HNEAP_RS00610,1,NC_013422.1,120120,121379,+,,hypothetical protein,0.7175,6,0.9999957039848516,0.3434954133539331,1259,83,903.3325,0.06930159987188435
121,HNEAP_RS00615,HNEAP_RS00615,1,NC_013422.1,121407,121916,+,,hypothetical protein,0.5529,9,0.8362561903542918,0.30597725331254155,509,24,281.42609999999996,0.05340328162949806
122,HNEAP_RS00620,HNEAP_RS00620,1,NC_013422.1,121913,122284,+,,hypothetical protein,0.6075,6,0.9580146546689022,0.48930468614827594,371,21,225.38250000000002,0.0586769643514561
123,HNEAP_RS12070,HNEAP_RS12070,1,NC_013422.1,122315,123301,+,,AraC family transcriptional regulator,0.5633,20,0.9999998849719653,0.9973895411821191,986,74,555.4138,0.054407792624156744
124,HNEAP_RS12075,HNEAP_RS12075,1,NC_013422.1,123488,126406,+,,outer membrane autotransporter barrel domain-containing protein,0.5725,68,0.9999999998934647,0.984459691408158,2918,188,1670.555,0.055296398504047106
125,HNEAP_RS00635,HNEAP_RS00635,1,NC_013422.1,126577,127962,-,,diguanylate cyclase,0.6075,17,0.9998117817114809,0.5625230833251963,1385,82,841.3875,0.0586769643514561
126,HNEAP_RS00640,HNEAP_RS00640,1,NC_013422.1,127966,128337,-,,response regulator,0.5806,2,0.9989677538529139,0.9299061247467906,371,27,215.4026,0.05607875802873318
127,HNEAP_RS00645,HNEAP_RS00645,1,NC_013422.1,128341,130917,-,,sensor histidine kinase,0.5813,35,0.9996646677744738,0.2734103487281533,2576,137,1497.4288000000001,0.05614636934568137
128,HNEAP_RS00650,HNEAP_RS00650,1,NC_013422.1,131115,131918,+,,serine/threonine-protein phosphatase,0.5908,11,0.9999526431764618,0.926356718643401,803,55,474.4124,0.057063951504263806
129,HNEAP_RS00655,HNEAP_RS00655,1,NC_013422.1,131937,133043,+,,magnesium and cobalt transport protein CorA,0.5402,25,0.9999756682915459,0.9741994355692345,1106,72,597.4612,0.052176619164866794
130,HNEAP_RS00660,HNEAP_RS00660,1,NC_013422.1,133150,134403,+,,glycosyltransferase family 1 protein,0.5789,28,0.9999999999999981,0.9999993352103181,1253,112,725.3616999999999,0.055914559116144735
131,HNEAP_RS00665,HNEAP_RS00665,1,NC_013422.1,134342,134968,+,,phosphatase PAP2 family protein,0.5694,11,0.9999999758588373,0.99970084708258,626,55,356.44440000000003,0.05499697695756231
132,HNEAP_RS00670,HNEAP_RS00670,1,NC_013422.1,135220,136077,+,,general secretion pathway protein GspC,0.5967,12,0.9999966734863133,0.9692594058215026,857,62,511.3719,0.057633818318541315
133,HNEAP_RS00675,HNEAP_RS00675,1,NC_013422.1,136074,138251,+,,type II secretion system protein GspD,0.5822,38,0.999999266713154,0.848562055522865,2177,133,1267.4494000000002,0.0562332981817576
134,HNEAP_RS00680,HNEAP_RS00680,1,NC_013422.1,138262,139770,+,,type II secretion system protein GspE,0.611,20,0.9999999995498151,0.9914996508001876,1508,111,921.388,0.059015020936196996
135,HNEAP_RS00685,HNEAP_RS00685,1,NC_013422.1,139777,141000,+,,type II secretion system protein GspF,0.5915,18,0.6743097015373525,0.009396516457813312,1223,51,723.4045,0.057131562821211984
