,locusId,old_locus_tag,gene,product,protein_id,giNum
61,HNEAP_RS00320,['Hneap_0065'],,['AMP-dependent synthetase and ligase'],WP_012822968.1,502585174
62,HNEAP_RS00325,['Hneap_0066'],,['acyl-CoA synthetase'],WP_012822969.1,502585175
63,HNEAP_RS00330,['Hneap_0067'],,['outer membrane lipoprotein carrier protein LolA'],WP_012822970.1,502585176
64,HNEAP_RS00335,['Hneap_0068'],,['MMPL domain-containing protein'],WP_012822971.1,502585177
65,HNEAP_RS00340,['Hneap_0069'],,['hypothetical protein'],WP_012822972.1,502585178
66,HNEAP_RS00345,['Hneap_0071'],,['2-hydroxyacid dehydrogenase'],WP_012822974.1,502585180
67,HNEAP_RS00350,,,['PilZ domain-containing protein'],WP_012822975.1,502585181
68,HNEAP_RS00355,['Hneap_0073'],,['glutamate racemase'],WP_012822976.1,502585182
69,HNEAP_RS00360,['Hneap_0074'],,['Txe/YoeB family addiction module toxin'],WP_012822977.1,502585183
70,HNEAP_RS00365,['Hneap_0075'],,['prevent-host-death family protein'],WP_012822978.1,502585184
71,HNEAP_RS00370,,,['hypothetical protein'],WP_041600304.1,753844687
72,HNEAP_RS00375,['Hneap_0077'],,['hypothetical protein'],WP_012822979.1,502585186
73,HNEAP_RS00380,['Hneap_0079'],,['hypothetical protein'],WP_012822981.1,502585188
74,HNEAP_RS00385,['Hneap_0080'],,['hypothetical protein'],WP_041600305.1,753844688
75,HNEAP_RS00390,['Hneap_0081'],,['hypothetical protein'],WP_012822983.1,502585190
76,HNEAP_RS00395,,,['hypothetical protein'],WP_041600306.1,753844689
77,HNEAP_RS00400,['Hneap_0084'],,['hypothetical protein'],WP_012822986.1,502585193
78,HNEAP_RS00405,['Hneap_0085'],,['hypothetical protein'],WP_012822987.1,502585194
79,HNEAP_RS00410,['Hneap_0086'],,['hypothetical protein'],WP_012822988.1,502585195
80,HNEAP_RS00415,['Hneap_0088'],,['yfeABCD locus regulator'],WP_012822990.1,502585197
81,HNEAP_RS00420,['Hneap_0089'],,['ATPase'],WP_012822991.1,502585198
82,HNEAP_RS00425,['Hneap_0092'],,['DUF1330 domain-containing protein'],WP_012822993.1,502585200
83,HNEAP_RS00430,['Hneap_0093'],,['VOC family protein'],WP_041600487.1,753844870
84,HNEAP_RS00435,['Hneap_0094'],,['cation transporter'],WP_012822995.1,502585202
85,HNEAP_RS00440,['Hneap_0095'],,['N-acetyltransferase'],WP_041600307.1,753844690
86,HNEAP_RS00445,['Hneap_0096'],,['hypothetical protein'],WP_012822997.1,502585204
87,HNEAP_RS12420,['Hneap_0097'],,['hypothetical protein'],WP_012822998.1,502585205
88,HNEAP_RS00450,['Hneap_0098'],,['mercury transporter MerC'],WP_012822999.1,502585206
89,HNEAP_RS00455,['Hneap_0099'],,['hypothetical protein'],WP_012823000.1,502585207
90,HNEAP_RS00460,,,['hypothetical protein'],WP_012823001.1,502585208
91,HNEAP_RS00465,['Hneap_0101'],,['hypothetical protein'],WP_012823002.1,502585209
92,HNEAP_RS00470,,,['integrase'],WP_041600489.1,753844872
93,HNEAP_RS00475,,,['hypothetical protein'],,
94,HNEAP_RS00480,['Hneap_0103'],,['class I SAM-dependent methyltransferase'],WP_012823003.1,502585210
95,HNEAP_RS00485,['Hneap_0104'],,['SNF2-like protein'],WP_012823004.1,502585211
96,HNEAP_RS00490,['Hneap_0105'],,['ferrous iron transport protein A'],WP_012823005.1,502585212
97,HNEAP_RS00495,['Hneap_0106'],,['ferrous iron transport protein A'],WP_012823006.1,502585213
98,HNEAP_RS00500,['Hneap_0107'],,['Fe(2+) transporter permease subunit FeoB'],WP_012823007.1,502585214
99,HNEAP_RS12055,['Hneap_0108'],,['hypothetical protein'],WP_012823008.1,502585215
100,HNEAP_RS00510,['Hneap_0109'],,['molecular chaperone DnaJ'],WP_012823009.1,502585216
101,HNEAP_RS00515,['Hneap_0110'],,['50S ribosomal protein L36'],WP_012823010.1,502585217
102,HNEAP_RS00525,['Hneap_0111'],,['imidazoleglycerol-phosphate dehydratase HisB'],WP_012823011.1,502585218
103,HNEAP_RS00530,['Hneap_0112'],,['imidazole glycerol phosphate synthase subunit HisH'],WP_012823012.1,502585219
104,HNEAP_RS00535,['Hneap_0113'],,['1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase'],WP_012823013.1,502585220
105,HNEAP_RS00540,['Hneap_0114'],,['imidazole glycerol phosphate synthase subunit HisF'],WP_012823014.1,502585221
106,HNEAP_RS00545,['Hneap_0115'],['hisI'],['phosphoribosyl-AMP cyclohydrolase'],WP_012823015.1,502585222
107,HNEAP_RS00550,['Hneap_0116'],,['phosphoribosyl-ATP diphosphatase'],WP_012823016.1,502585223
108,HNEAP_RS00555,['Hneap_0117'],,['twin-arginine translocase subunit TatA'],WP_012823017.1,502585225
109,HNEAP_RS12060,['Hneap_0118'],,['twin-arginine translocase subunit TatB'],WP_012823018.1,502585226
110,HNEAP_RS00565,,,['twin-arginine translocase subunit TatC'],WP_081441171.1,1174219990
111,HNEAP_RS00570,['Hneap_0120'],,"['2,3-bisphosphoglycerate-independent phosphoglycerate mutase']",WP_012823020.1,502585228
112,HNEAP_RS00575,['Hneap_0121'],,['iron export ABC transporter permease subunit FetB'],WP_012823021.1,502585229
113,HNEAP_RS00580,['Hneap_0122'],,['ABC transporter'],WP_012823022.1,502585230
114,HNEAP_RS00585,['Hneap_0123'],,['hypothetical protein'],WP_041600309.1,753844692
115,HNEAP_RS00590,['Hneap_0124'],,['DNA helicase RecG'],WP_012823024.1,502585232
116,HNEAP_RS00595,['Hneap_0125'],,['Hsp20/alpha crystallin family protein'],WP_012823025.1,502585233
117,HNEAP_RS12065,['Hneap_0126'],,['AraC family transcriptional regulator'],WP_012823026.1,502585234
118,HNEAP_RS00605,,,['OmpA family protein'],WP_081441065.1,1174219884
119,HNEAP_RS00610,['Hneap_0128'],,['hypothetical protein'],WP_012823028.1,502585236
120,HNEAP_RS00615,['Hneap_0129'],,['hypothetical protein'],WP_012823029.1,502585237
121,HNEAP_RS00620,['Hneap_0130'],,['hypothetical protein'],WP_012823030.1,502585238
122,HNEAP_RS12070,['Hneap_0131'],,['AraC family transcriptional regulator'],WP_012823031.1,502585239
123,HNEAP_RS12075,['Hneap_0132'],,['autotransporter domain-containing protein'],WP_012823032.1,502585240
124,HNEAP_RS00635,['Hneap_0133'],,['diguanylate cyclase'],WP_012823033.1,502585241
125,HNEAP_RS00640,['Hneap_0134'],,['response regulator'],WP_012823034.1,502585242
126,HNEAP_RS00645,['Hneap_0135'],,['DUF3365 domain-containing protein'],WP_012823035.1,502585243
127,HNEAP_RS00650,['Hneap_0136'],,['serine/threonine-protein phosphatase'],WP_081441066.1,1174219885
128,HNEAP_RS00655,['Hneap_0137'],,['magnesium and cobalt transport protein CorA'],WP_012823037.1,502585245
129,HNEAP_RS00660,['Hneap_0138'],,['glycosyltransferase family 1 protein'],WP_081441067.1,1174219886
130,HNEAP_RS00665,['Hneap_0139'],,['phosphatase PAP2 family protein'],WP_081441068.1,1174219887
131,HNEAP_RS00670,['Hneap_0140'],,['general secretion pathway protein GspC'],WP_012823040.1,502585248
132,HNEAP_RS00675,['Hneap_0141'],,['type II secretion system protein GspD'],WP_012823041.1,502585249
133,HNEAP_RS00680,['Hneap_0142'],,['type II secretion system protein GspE'],WP_012823042.1,502585250
134,HNEAP_RS00685,['Hneap_0143'],,['type II secretion system protein GspF'],WP_012823043.1,502585251
135,HNEAP_RS00690,['Hneap_0144'],,['type II secretion system protein GspG'],WP_012823044.1,502585252
136,HNEAP_RS12080,['Hneap_0145'],,['prepilin-type cleavage/methylation domain-containing protein'],WP_012823045.1,502585253
137,HNEAP_RS12085,['Hneap_0146'],,['type II secretion system protein GspI'],WP_012823046.1,502585254
138,HNEAP_RS00705,['Hneap_0147'],,['type II secretion system protein GspJ'],WP_012823047.1,502585255
139,HNEAP_RS00710,['Hneap_0148'],,['general secretion pathway protein GspK'],WP_012823048.1,502585256
140,HNEAP_RS00715,['Hneap_0149'],,['type II secretory pathway component PulL-like protein'],WP_012823049.1,502585257
141,HNEAP_RS00720,['Hneap_0150'],,['type II secretion system protein M'],WP_012823050.1,502585258
142,HNEAP_RS00725,['Hneap_0151'],,['type II secretion system protein N'],WP_012823051.1,502585259
143,HNEAP_RS00730,['Hneap_0152'],,['DUF4395 domain-containing protein'],WP_012823052.1,502585260
144,HNEAP_RS00735,['Hneap_0153'],,['hypothetical protein'],WP_049772433.1,908628400
145,HNEAP_RS00740,['Hneap_0154'],,['BCCT family transporter'],WP_012823054.1,502585262
146,HNEAP_RS00745,['Hneap_0155'],,['MFS transporter'],WP_012823055.1,502585263
147,HNEAP_RS00750,['Hneap_0156'],,['MFS transporter'],WP_012823056.1,502585264
148,HNEAP_RS12090,['Hneap_0157'],,['tetratricopeptide repeat protein'],WP_012823057.1,502585265
149,HNEAP_RS00760,['Hneap_0158'],,['serine/threonine protein kinase'],WP_012823058.1,502585266
150,HNEAP_RS00765,['Hneap_0159'],,['phosphopeptide-binding protein'],WP_012823059.1,502585267
151,HNEAP_RS00770,['Hneap_0160'],,['NADPH-dependent 7-cyano-7-deazaguanine reductase QueF'],WP_012823060.1,502585268
152,HNEAP_RS00775,['Hneap_0161'],,['chromosome segregation protein SMC'],WP_081441069.1,1174219888
153,HNEAP_RS00780,['Hneap_0162'],,['cell division protein ZipA'],WP_012823062.1,502585270
154,HNEAP_RS00785,['Hneap_0163'],['ligA'],['NAD-dependent DNA ligase LigA'],WP_012823063.1,502585271
155,HNEAP_RS00790,['Hneap_0164'],,['octaprenyl diphosphate synthase'],WP_041600514.1,753844897
156,HNEAP_RS00800,['Hneap_0165'],,['Lrp/AsnC family transcriptional regulator'],WP_012823065.1,502585273
157,HNEAP_RS00805,,,['2-isopropylmalate synthase'],,
158,HNEAP_RS00810,['Hneap_0167'],,['ABC transporter ATP-binding protein'],WP_012823066.1,502585274
159,HNEAP_RS00815,['Hneap_0168'],,['phosphohistidine phosphatase SixA'],WP_081441070.1,1174219889
160,HNEAP_RS00820,['Hneap_0169'],,['rhombosortase'],WP_012823068.1,502585276
161,HNEAP_RS00825,['Hneap_0170'],,['transaldolase'],WP_012823069.1,502585277
162,HNEAP_RS00830,['Hneap_0171'],,['hypothetical protein'],WP_012823070.1,502585278
163,HNEAP_RS00835,['Hneap_0172'],,['RNA polymerase sigma factor'],WP_041600516.1,753844899
164,HNEAP_RS00840,['Hneap_0173'],,['hypothetical protein'],WP_012823072.1,502585280
165,HNEAP_RS00845,['Hneap_0174'],,['phosphate porin'],WP_012823073.1,502585281
166,HNEAP_RS00850,['Hneap_0175'],,['sensor domain-containing diguanylate cyclase'],WP_012823074.1,502585282
167,HNEAP_RS00855,,,['protein disulfide oxidoreductase'],WP_012823075.1,502585283
168,HNEAP_RS00860,['Hneap_0177'],,['bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC'],WP_012823076.1,502585284
169,HNEAP_RS00865,['Hneap_0178'],,['dUTP diphosphatase'],WP_012823077.1,502585285
170,HNEAP_RS00870,['Hneap_0179'],,['acetylglutamate kinase'],WP_012823078.1,502585286
171,HNEAP_RS00875,,,['hypothetical protein'],WP_049772550.1,908628517
172,HNEAP_RS00880,['Hneap_0181'],,['DUF4124 domain-containing protein'],WP_081441071.1,1174219890
173,HNEAP_RS00885,['Hneap_0182'],,['MFS transporter'],WP_012823081.1,502585290
174,HNEAP_RS00890,['Hneap_0183'],,['ArsR family transcriptional regulator'],WP_012823082.1,502585291
175,HNEAP_RS00895,['Hneap_0184'],,['ATPase AAA'],WP_012823083.1,502585292
176,HNEAP_RS00900,['Hneap_0185'],,['DUF58 domain-containing protein'],WP_012823084.1,502585293
177,HNEAP_RS00905,['Hneap_0186'],,['hypothetical protein'],WP_041600313.1,753844696
178,HNEAP_RS00910,['Hneap_0187'],,['VWA domain-containing protein'],WP_012823086.1,502585295
179,HNEAP_RS00915,['Hneap_0188'],,['hypothetical protein'],WP_012823087.1,502585296
180,HNEAP_RS00920,['Hneap_0189'],,['hypothetical protein'],WP_041600314.1,753844697
181,HNEAP_RS00925,['Hneap_0190'],,['hypothetical protein'],WP_081441072.1,1174219891
182,HNEAP_RS00930,['Hneap_0191'],,['High potential iron-sulfur protein'],WP_012823090.1,502585299
183,HNEAP_RS00935,['Hneap_0192'],,['YdiU family protein'],WP_012823091.1,502585300
184,HNEAP_RS00940,['Hneap_0193'],,['hypothetical protein'],WP_012823092.1,502585301
185,HNEAP_RS00945,['Hneap_0194'],,['diaminobutyrate acetyltransferase'],WP_012823093.1,502585302
186,HNEAP_RS00950,['Hneap_0195'],,['diaminobutyrate--2-oxoglutarate transaminase'],WP_012823094.1,502585303
187,HNEAP_RS00955,['Hneap_0196'],['ectC'],['ectoine synthase'],WP_012823095.1,502585304
188,HNEAP_RS00960,['Hneap_0197'],,['inositol monophosphatase family protein'],WP_012823096.1,502585305
189,HNEAP_RS00965,['Hneap_0198'],,['rhodanese'],WP_012823097.1,502585306
190,HNEAP_RS00970,,,['DUF2076 domain-containing protein'],WP_081441073.1,1174219892
191,HNEAP_RS00975,['Hneap_0200'],,['bifunctional riboflavin kinase/FAD synthetase'],WP_012823099.1,502585308
192,HNEAP_RS00980,['Hneap_0201'],,['type II restriction endonuclease'],WP_012823100.1,502585309
193,HNEAP_RS00985,['Hneap_0202'],,['DNA adenine methylase'],WP_012823101.1,502585310
194,HNEAP_RS00990,['Hneap_0203'],,['DUF3240 domain-containing protein'],WP_012823102.1,502585311
195,HNEAP_RS00995,['Hneap_0204'],,['CusA/CzcA family heavy metal efflux RND transporter'],WP_012823103.1,502585312
196,HNEAP_RS01000,['Hneap_0205'],,['efflux RND transporter periplasmic adaptor subunit'],WP_012823104.1,502585313
197,HNEAP_RS01005,['Hneap_0206'],,['TolC family protein'],WP_081441074.1,1174219893
198,HNEAP_RS01010,['Hneap_0207'],,['DNA-binding response regulator'],WP_012823106.1,502585315
199,HNEAP_RS01015,['Hneap_0208'],,['HAMP domain-containing protein'],WP_012823107.1,502585316
200,HNEAP_RS01020,['Hneap_0209'],,['glutamate--ammonia ligase'],WP_012823108.1,502585317
201,HNEAP_RS01025,['Hneap_0210'],,['tryptophan-rich sensory protein'],WP_012823109.1,502585318
202,HNEAP_RS01030,['Hneap_0211'],,['DUF2309 domain-containing protein'],WP_012823110.1,502585319
203,HNEAP_RS01035,['Hneap_0212'],,['NADH dehydrogenase subunit 5'],WP_012823111.1,502585320
204,HNEAP_RS01040,['Hneap_0213'],,['LysR family transcriptional regulator'],WP_012823112.1,502585321
205,HNEAP_RS01045,['Hneap_0214'],,['DUF3817 domain-containing protein'],WP_012823113.1,502585322
206,HNEAP_RS01050,['Hneap_0215'],,['aminoacyl-tRNA hydrolase'],WP_012823114.1,502585323
207,HNEAP_RS01055,['Hneap_0216'],,['hypothetical protein'],WP_012823115.1,502585324
208,HNEAP_RS01060,['Hneap_0217'],,['thioredoxin domain-containing protein'],WP_012823116.1,502585325
209,HNEAP_RS01065,['Hneap_0218'],,['DUF839 domain-containing protein'],WP_012823117.1,502585326
210,HNEAP_RS01070,['Hneap_0219'],,['hypothetical protein'],WP_012823118.1,502585327
211,HNEAP_RS12425,['Hneap_0220'],,['PKD domain-containing protein'],WP_012823119.1,502585328
212,HNEAP_RS01080,['Hneap_0221'],,['hypothetical protein'],WP_041600317.1,753844700
213,HNEAP_RS01085,['Hneap_0222'],,['DUF2892 domain-containing protein'],WP_012823121.1,502585330
214,HNEAP_RS01090,['Hneap_0223'],,['hypothetical protein'],WP_012823122.1,502585331
215,HNEAP_RS01095,['Hneap_0224'],,['lipoprotein-releasing system transmembrane subunit LolC'],WP_012823123.1,502585332
216,HNEAP_RS01100,['Hneap_0225'],,['ABC transporter ATP-binding protein'],WP_012823124.1,502585333
217,HNEAP_RS01105,['Hneap_0226'],,['alkaline invertase'],WP_012823125.1,502585334
218,HNEAP_RS01110,['Hneap_0227'],,['sucrose-phosphate synthase'],WP_012823126.1,502585335
219,HNEAP_RS01115,['Hneap_0228'],,['haloacid dehalogenase'],WP_012823127.1,502585336
220,HNEAP_RS01120,,,['Small-conductance mechanosensitive channel-like protein'],WP_012823128.1,502585337
221,HNEAP_RS01125,['Hneap_0230'],,['pilin'],WP_012823129.1,502585338
222,HNEAP_RS01130,,,['monofunctional biosynthetic peptidoglycan transglycosylase'],WP_081441172.1,1174219991
223,HNEAP_RS01135,['Hneap_0232'],,['Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB'],WP_012823131.1,502585340
224,HNEAP_RS01140,['Hneap_0233'],,['nucleotidyltransferase domain-containing protein'],WP_012823132.1,502585341
225,HNEAP_RS01145,['Hneap_0234'],,['hypothetical protein'],WP_012823133.1,502585342
226,HNEAP_RS12100,['Hneap_0235'],,['class I SAM-dependent methyltransferase'],WP_081441075.1,1174219894
227,HNEAP_RS01155,['Hneap_0236'],,['group 1 glycosyl transferase'],WP_012823135.1,502585344
228,HNEAP_RS12105,['Hneap_0237'],,['methyltransferase domain-containing protein'],WP_012823136.1,502585346
229,HNEAP_RS01165,['Hneap_0238'],,['hypothetical protein'],WP_012823137.1,502585347
230,HNEAP_RS12430,['Hneap_0239'],,['acyltransferase'],WP_012823138.1,502585348
231,HNEAP_RS01170,['Hneap_0240'],,['DegT/DnrJ/EryC1/StrS family aminotransferase'],WP_012823139.1,502585349
232,HNEAP_RS01175,['Hneap_0241'],,['hypothetical protein'],WP_041600537.1,753844920
233,HNEAP_RS01180,['Hneap_0242'],,['nucleotidyltransferase domain-containing protein'],WP_012823141.1,502585351
234,HNEAP_RS01185,['Hneap_0244'],,['type II toxin-antitoxin system RelE/ParE family toxin'],WP_012823143.1,502585353
235,HNEAP_RS01190,['Hneap_0245'],,['type II toxin-antitoxin system prevent-host-death family antitoxin'],WP_012823144.1,502585354
236,HNEAP_RS01195,['Hneap_0246'],,['Txe/YoeB family addiction module toxin'],WP_012823145.1,502585355
237,HNEAP_RS01200,['Hneap_0247'],,['type II toxin-antitoxin system prevent-host-death family antitoxin'],WP_012823146.1,502585356
238,HNEAP_RS01205,['Hneap_0248'],,['Uma2 family endonuclease'],WP_012823147.1,502585357
239,HNEAP_RS01210,['Hneap_0250'],,"['2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase']",WP_012823149.1,502585359
240,HNEAP_RS01215,['Hneap_0251'],,['carbohydrate porin'],WP_012823150.1,502585360
241,HNEAP_RS01220,['Hneap_0252'],,['succinyldiaminopimelate transaminase'],WP_012823151.1,502585361
242,HNEAP_RS01225,['Hneap_0253'],,['glyoxalase'],WP_041600319.1,753844702
243,HNEAP_RS12110,['Hneap_0254'],,['META domain-containing protein'],WP_081441076.1,1174219895
244,HNEAP_RS01235,['Hneap_0255'],,['ParA family protein'],WP_049772434.1,908628401
245,HNEAP_RS01240,['Hneap_0256'],,['nitrogen regulation protein NR(I)'],WP_012823155.1,502585365
246,HNEAP_RS01245,['Hneap_0257'],,['hypothetical protein'],WP_081441077.1,1174219896
247,HNEAP_RS01250,['Hneap_0258'],,['DUF4124 domain-containing protein'],WP_041600321.1,753844704
248,HNEAP_RS01255,['Hneap_0259'],,['5-(carboxyamino)imidazole ribonucleotide synthase'],WP_012823158.1,502585368
249,HNEAP_RS01260,['Hneap_0260'],,['5-(carboxyamino)imidazole ribonucleotide mutase'],WP_012823159.1,502585369
250,HNEAP_RS01265,['Hneap_0261'],,['hypothetical protein'],WP_081441078.1,1174219897
251,HNEAP_RS01270,['Hneap_0262'],,['C4-dicarboxylate ABC transporter'],WP_012823161.1,502585371
252,HNEAP_RS01275,['Hneap_0263'],,['integral membrane protein'],WP_012823162.1,502585372
253,HNEAP_RS01280,['Hneap_0264'],,['cytochrome c'],WP_012823163.1,502585373
254,HNEAP_RS01285,['Hneap_0265'],,['phosphate transport system regulatory protein PhoU'],WP_081441079.1,1174219898
255,HNEAP_RS01290,['Hneap_0266'],,['polyphosphate kinase 1'],WP_012823165.1,502585375
256,HNEAP_RS01295,['Hneap_0267'],,['glutamate 5-kinase'],WP_012823166.1,502585376
257,HNEAP_RS01300,['Hneap_0268'],['obgE'],['Obg family GTPase CgtA'],WP_012823167.1,502585377
258,HNEAP_RS01305,['Hneap_0269'],,['50S ribosomal protein L27'],WP_012823168.1,502585378
259,HNEAP_RS01310,['Hneap_0270'],,['50S ribosomal protein L21'],WP_012823169.1,502585379
260,HNEAP_RS01315,['Hneap_0271'],,['hypothetical protein'],WP_041600322.1,753844705
261,HNEAP_RS01320,['Hneap_0272'],,['copper resistance system multicopper oxidase'],WP_012823171.1,502585381
262,HNEAP_RS01325,,,['copper resistance protein B'],WP_012823172.1,502585382
263,HNEAP_RS01330,['Hneap_0274'],,['hypothetical protein'],WP_012823173.1,502585388
264,HNEAP_RS01335,['Hneap_0275'],,['bilirubin oxidase'],WP_012823174.1,502585389
265,HNEAP_RS01340,['Hneap_0276'],,['TolC family protein'],WP_081441080.1,1174219899
266,HNEAP_RS12115,['Hneap_0277'],,['efflux RND transporter periplasmic adaptor subunit'],WP_012823176.1,502585391
